Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Корсаковская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК  581	УИК  582	УИК  583	УИК  584	УИК  585					
1	"Число избирателей, внесенных в списки"	33134	566	343	1308	277	98	623	405	124	858	1078	410	173	678	1710	341	850	1503	2700	1900	2458	1372	2421	2082	1982	2288	2369	2137	21	19	20	10	10					
2	"Число бюллетеней, полученных участковыми комиссиями"	33131	595	349	1345	276	96	605	423	132	820	1109	361	180	659	1682	351	888	1541	2588	1890	2523	1346	2347	1989	1922	2311	2280	2443	21	19	20	10	10					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	19	20	10	10					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16724	373	141	821	152	78	400	267	102	615	687	247	92	338	795	194	517	711	1290	831	1288	695	1156	981	815	1005	1002	1131	0	0	0	0	0					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	576	33	11	9	39	0	22	13	0	0	35	36	15	5	8	1	12	28	97	26	28	19	42	23	24	23	10	17	0	0	0	0	0					
6	Число погашенных бюллетеней	15751	189	197	515	85	18	183	143	30	205	387	78	73	316	879	156	359	802	1201	1033	1207	632	1149	985	1083	1283	1268	1295	0	0	0	0	0					
7	Число бюллетеней в переносных ящиках для голосования	656	33	11	9	39	0	22	13	0	0	35	36	15	5	8	1	12	28	97	26	28	19	42	23	24	23	10	17	21	19	20	10	10					
8	Число бюллетеней в стационарных ящиках для голосования	16708	373	141	821	152	78	400	267	102	615	687	246	92	338	795	194	517	708	1286	831	1288	692	1156	977	815	1004	1002	1131	0	0	0	0	0					
9	Число недействительных бюллетеней	242	12	3	13	4	0	7	5	0	3	18	5	2	1	12	4	6	10	11	15	29	3	21	15	8	10	8	17	0	0	0	0	0					
10	Число действительных бюллетеней	17122	394	149	817	187	78	415	275	102	612	704	277	105	342	791	191	523	726	1372	842	1287	708	1177	985	831	1017	1004	1131	21	19	20	10	10					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	470	11	9	23	5	5	10	7	5	10	10	9	8	10	26	10	26	26	26	26	26	26	26	26	26	26	26	26	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	99	3	0	3	4	0	0	0	0	0	5	9	1	1	3	2	1	1	5	4	5	4	17	3	7	2	7	12	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	76	1	1	12	3	1	4	0	1	2	1	6	4	6	1	5	0	1	2	2	2	5	2	3	4	3	1	3	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	371	8	9	20	1	5	10	7	5	10	5	0	7	9	23	8	25	25	21	22	21	22	9	23	19	24	19	14	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
18	"1. ""ЕДИНЕНИЕ"""	197	2	2	21	5	0	9	5	1	13	4	6	2	4	8	3	5	8	7	6	11	7	17	4	11	12	9	13	1	1	0	0	0					
