Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
"Наименование Избирательной комиссии:    Владивосток, Первомайская"																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №680	УИК №681									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	111371	2231	2005	2467	2092	1872	1974	2374	1609	2376	2724	2635	2037	2359	1793	1669	2633	1663	2376	2485	1957	2299	1917	1650	1279	1823	2208	2009	1391	2586	2245	2152	2235	1518	1991	1690	2280	2065	1538	2246	2397	2262	2279	2417	2558	1762	2101	2272	1102	2059	2393	1984	1624	1602	1804	146	156									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	103135	2100	1900	2300	1900	1800	1800	2200	1500	2200	2500	2400	1900	2200	1700	1500	2400	1500	2200	2300	1800	2100	1800	1500	1200	1700	2000	1900	1300	2400	2100	2000	2100	1400	1800	1600	2100	1900	1400	2100	2200	2100	2100	2300	2400	1600	1900	2100	1000	1900	2200	1800	1500	1500	1700	175	160									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	29462	663	433	595	546	439	594	658	477	714	855	644	591	601	321	437	603	462	630	633	611	698	556	497	366	513	489	464	398	746	452	562	564	400	807	450	514	366	429	578	650	524	327	501	491	427	615	598	385	431	541	537	963	428	433	108	147									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	354	7	2	11	6	5	11	7	6	4	14	17	9	8	7	11	7	7	11	7	6	16	10	5	1	0	6	10	3	4	9	7	6	3	5	3	6	6	3	7	5	3	5	8	9	3	5	6	11	8	7	2	5	0	4	0	0									
6	Число погашенных избирательных бюллетеней	73319	1430	1465	1694	1348	1356	1195	1535	1017	1482	1631	1739	1300	1591	1372	1052	1790	1031	1559	1660	1183	1386	1234	998	833	1187	1505	1426	899	1650	1639	1431	1530	997	988	1147	1580	1528	968	1515	1545	1573	1768	1791	1900	1170	1280	1496	604	1461	1652	1261	532	1072	1263	67	13									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	354	7	2	11	6	5	11	7	6	4	14	17	9	8	7	11	7	7	11	7	6	16	10	5	1	0	6	10	3	4	9	7	6	3	5	3	6	6	3	7	5	3	5	8	9	3	5	6	11	8	7	2	5	0	4	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	29414	663	433	595	546	437	583	658	475	714	855	644	591	601	321	437	603	462	627	633	611	698	546	492	366	513	489	464	398	746	452	562	564	400	805	450	514	366	429	578	649	524	327	501	491	427	609	598	385	427	540	537	963	427	433	108	147									
9	Число недействительных избирательных бюллетеней	976	18	12	11	19	20	18	33	6	27	28	27	18	18	11	11	14	12	29	25	20	30	27	22	5	15	13	37	15	15	8	17	25	9	29	22	5	7	21	23	21	13	18	15	16	17	15	15	18	15	17	17	23	9	18	1	6									
10	Число действительных избирательных бюллетеней	28792	652	423	595	533	422	576	632	475	691	841	634	582	591	317	437	596	457	609	615	597	684	529	475	362	498	482	437	386	735	453	552	545	394	781	431	515	365	411	562	633	514	314	494	484	413	599	589	378	420	530	522	945	418	419	107	141									
