Выборы Президента Российской Федерации																																																																																																					
																																																																																																					
"Наименование Избирательной комиссии:    Омск, Советская"																																																																																																					
																																																																																																					
Итоги голосования 																																																																																																					
																																																																																																					
		Сумма	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760					
1	"Число избирателей, внесенных в список"	202004	1179	2020	2635	2801	2358	2663	1945	1674	2099	2412	2221	2527	2232	2720	2487	2873	2846	2421	2519	2564	2190	2052	2121	2368	2037	2247	2017	1918	2160	2298	2604	2398	2259	2380	2518	2392	2715	2282	2220	2047	1897	2059	2268	2350	2310	2317	2459	2577	2080	2443	2555	2423	2603	2339	2226	2426	2520	2150	1947	2612	2297	1864	2004	2234	2292	2317	2120	1472	1729	1963	2527	2464	2356	2194	2230	2662	2395	2379	1823	1860	2345	1882	1446	1333	2760	2488	1987	1434	1757	1792	77	183	186	172					
2	Число полученных избирательных бюллетеней	203530	1290	2020	2640	2820	2280	2650	1970	1770	2120	2220	2190	2490	2300	2720	2450	2810	2790	2440	2550	2590	2270	2080	2090	2400	2020	2220	2020	1930	2290	2330	2570	2400	2190	2370	2560	2400	2740	2300	2230	2080	1910	2140	2290	2380	2330	2350	2470	2580	2110	2460	2580	2460	2600	2350	2270	2470	2560	2140	1960	2630	2320	1900	2020	2260	2340	2340	2120	1430	1740	2000	2540	2460	2380	2190	2300	2660	2430	2380	1920	1950	2390	1910	1500	1350	2840	2670	1940	1410	1750	1760	100	190	200	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	118039	694	1195	1385	1575	1502	1593	1099	1133	1157	1509	1414	1478	1292	1460	1348	1337	1574	1449	1446	1640	1265	1230	1328	1471	1244	1179	1246	1074	1100	1418	1426	1414	1261	1431	1358	1364	1584	1343	1293	1092	1101	1277	1335	1388	1312	1373	1507	1391	1337	1615	1611	1475	1487	1390	1264	1337	1491	1228	1092	1403	1235	1047	1054	1291	1186	1283	1178	777	1013	1204	1478	1415	1270	1429	1275	1485	1437	1681	1073	839	1430	1014	800	804	1801	1920	1202	870	1006	1151	50	183	186	157					
5	"Число избирательных бюллетеней, выданных вне помещения"	5114	93	45	49	58	40	55	68	78	53	60	90	75	80	40	72	88	93	30	64	35	68	35	37	73	39	28	57	63	90	63	39	51	61	44	61	49	59	53	20	21	91	72	58	51	51	38	28	76	38	55	34	41	88	64	48	63	67	41	57	34	49	37	58	64	158	71	55	51	45	45	73	24	11	35	29	54	67	25	41	84	44	115	68	42	74	43	86	48	71	38	22	0	0	15					
6	Число погашенных избирательных бюллетеней	80377	503	780	1206	1187	738	1002	803	559	910	651	686	937	928	1220	1030	1385	1123	961	1040	915	937	815	725	856	737	1013	717	793	1100	849	1105	935	868	895	1141	987	1097	904	917	967	718	791	897	941	967	939	935	1113	735	790	935	944	1025	896	958	1070	1002	871	811	1193	1036	816	908	905	996	986	887	602	682	751	989	1021	1099	726	996	1121	926	674	806	1027	916	781	632	504	965	707	652	492	673	571	28	7	14	28					
7	Число избирательных бюллетеней в переносных ящиках	5114	93	45	49	58	40	55	68	78	53	60	90	75	80	40	72	88	93	30	64	35	68	35	37	73	39	28	57	63	90	63	39	51	61	44	61	49	59	53	20	21	91	72	58	51	51	38	28	76	38	55	34	41	88	64	48	63	67	41	57	34	49	37	58	64	158	71	55	51	45	45	73	24	11	35	29	54	67	25	41	84	44	115	68	42	74	43	86	48	71	38	22	0	0	15					
8	Число бюллетеней в стационарных ящиках для голосования	117773	690	1191	1385	1575	1500	1589	1098	1122	1157	1509	1411	1478	1292	1420	1346	1337	1574	1449	1446	1639	1265	1230	1328	1471	1244	1178	1246	1074	1099	1418	1426	1414	1261	1431	1337	1364	1584	1290	1293	1091	1101	1277	1328	1388	1312	1373	1507	1388	1337	1614	1611	1475	1483	1390	1264	1337	1439	1228	1092	1390	1228	1047	1053	1291	1186	1283	1176	777	1013	1204	1477	1413	1270	1429	1275	1483	1426	1680	1071	839	1428	1014	800	804	1800	1920	1202	870	1001	1151	50	183	186	157					
9	Число недействительных избирательных бюллетеней	871	12	11	16	16	4	6	8	2	5	9	11	5	11	16	2	24	23	6	9	13	16	3	11	14	8	9	14	9	13	7	23	20	15	11	14	14	7	3	11	9	15	13	3	9	19	7	10	8	8	1	14	10	12	17	12	7	15	7	6	5	8	6	5	3	7	12	18	8	6	4	8	6	7	6	7	13	9	15	6	7	12	1	12	8	14	2	5	1	6	7	3	0	0	1					
10	Число действительных избирательных бюллетеней	122016	771	1225	1418	1617	1536	1638	1158	1198	1205	1560	1490	1548	1361	1444	1416	1401	1644	1473	1501	1661	1317	1262	1354	1530	1275	1197	1289	1128	1176	1474	1442	1445	1307	1464	1384	1399	1636	1340	1302	1103	1177	1336	1383	1430	1344	1404	1525	1456	1367	1668	1631	1506	1559	1437	1300	1393	1491	1262	1143	1419	1269	1078	1106	1352	1337	1342	1213	820	1052	1245	1542	1431	1274	1458	1297	1524	1484	1690	1106	916	1460	1128	856	838	1860	1961	1283	917	1066	1182	69	183	186	171					
11	Число полученных открепительных  удостоверений	3418	30	30	23	30	70	40	30	30	30	50	30	30	40	30	40	30	30	30	40	35	60	30	35	55	30	55	30	30	40	36	44	30	30	40	45	30	40	30	30	40	30	40	30	30	30	30	30	30	30	33	30	30	30	41	30	40	42	25	30	40	35	37	30	30	30	30	30	30	30	40	30	40	30	40	35	35	30	110	50	30	70	30	30	30	50	217	40	30	30	30	0	0	0	0					
12	Число выданных открепительных удостоверений	2870	7	19	16	28	53	26	22	23	27	44	26	30	34	28	24	19	24	20	25	31	50	23	32	53	29	49	25	19	37	34	43	26	30	37	37	30	39	18	30	37	19	21	30	28	22	27	26	22	26	33	30	29	30	32	18	35	39	23	16	36	31	30	21	27	27	26	22	12	27	38	30	36	27	37	29	32	30	89	45	17	70	26	16	12	44	212	34	24	24	29	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2192	17	20	9	33	42	21	17	23	14	101	19	21	27	18	25	19	6	14	18	15	25	19	11	24	48	16	22	14	26	24	19	30	42	43	17	37	22	7	21	13	17	23	14	10	12	4	23	21	15	17	9	24	36	27	13	6	9	22	15	25	8	9	9	9	19	16	15	15	17	15	37	35	16	18	17	14	8	57	20	19	32	14	9	4	20	63	25	49	21	51	13	42	66	109					
14	Число неиспользованных открепительных удостоверений	548	23	11	7	2	17	14	8	7	3	6	4	0	6	2	16	11	6	10	15	4	10	7	3	2	1	6	5	11	3	2	1	4	0	3	8	0	1	12	0	3	11	19	0	2	8	3	4	8	4	0	0	1	0	9	12	5	3	2	14	4	4	7	9	3	3	4	8	18	3	2	0	4	3	3	6	3	0	21	5	13	0	4	14	18	6	5	6	6	6	1	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	14	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																					
18	. Глазьев Сергей Юрьевич	5875	22	42	42	71	84	70	45	73	67	79	92	78	63	82	60	40	46	73	103	83	63	73	80	65	68	40	56	65	47	54	41	60	72	64	50	42	74	71	74	43	59	68	68	69	58	48	67	71	85	116	80	68	84	63	61	62	80	75	47	64	55	59	44	50	71	75	61	39	74	53	85	81	53	71	53	83	72	59	68	46	62	54	57	31	99	95	70	64	91	64	2	15	0	9					
		4.78%	2.81%	3.40%	2.93%	4.35%	5.45%	4.26%	3.86%	6.08%	5.54%	5.04%	6.13%	5.02%	4.59%	5.62%	4.23%	2.81%	2.76%	4.94%	6.82%	4.96%	4.73%	5.77%	5.86%	4.21%	5.30%	3.32%	4.30%	5.72%	3.95%	3.65%	2.80%	4.10%	5.45%	4.34%	3.58%	2.97%	4.50%	5.29%	5.64%	3.87%	4.95%	5.04%	4.91%	4.79%	4.26%	3.40%	4.36%	4.85%	6.18%	6.95%	4.86%	4.49%	5.35%	4.33%	4.65%	4.43%	5.31%	5.91%	4.09%	4.49%	4.31%	5.44%	3.96%	3.69%	5.28%	5.54%	4.96%	4.71%	6.99%	4.24%	5.48%	5.64%	4.14%	4.85%	4.06%	5.40%	4.82%	3.46%	6.12%	4.98%	4.21%	4.78%	6.57%	3.66%	5.28%	4.84%	5.43%	6.97%	8.49%	5.38%	2.78%	8.20%	0.00%	5.23%					
19	. Малышкин Олег Александрович	3006	38	37	42	55	42	46	23	25	24	48	29	51	31	47	30	42	55	43	50	51	35	29	31	42	32	32	31	22	24	29	42	42	29	39	32	37	37	32	38	20	43	51	26	31	30	30	30	44	27	25	37	39	34	45	30	36	29	30	28	34	20	21	30	25	16	29	20	14	15	30	43	48	38	35	32	44	42	39	26	26	41	19	16	32	44	42	13	13	15	27	2	2	3	1					
		2.45%	4.85%	2.99%	2.93%	3.37%	2.73%	2.80%	1.97%	2.08%	1.98%	3.06%	1.93%	3.28%	2.26%	3.22%	2.12%	2.95%	3.30%	2.91%	3.31%	3.05%	2.63%	2.29%	2.27%	2.72%	2.49%	2.65%	2.38%	1.93%	2.02%	1.96%	2.87%	2.87%	2.19%	2.64%	2.29%	2.62%	2.25%	2.38%	2.89%	1.80%	3.61%	3.78%	1.88%	2.15%	2.20%	2.13%	1.95%	3.01%	1.96%	1.50%	2.25%	2.57%	2.16%	3.09%	2.29%	2.57%	1.93%	2.36%	2.44%	2.39%	1.57%	1.94%	2.70%	1.85%	1.19%	2.14%	1.62%	1.69%	1.42%	2.40%	2.77%	3.34%	2.97%	2.39%	2.45%	2.86%	2.81%	2.29%	2.34%	2.82%	2.79%	1.68%	1.84%	3.78%	2.35%	2.14%	1.01%	1.42%	1.40%	2.27%	2.78%	1.09%	1.61%	0.58%					
20	. Миронов Сергей Михайлович	1003	2	9	10	15	7	16	10	11	8	17	10	19	15	12	9	7	5	20	19	18	6	11	12	18	10	8	11	6	12	10	8	12	10	11	10	11	6	9	7	15	7	4	9	7	14	15	16	13	15	16	19	18	12	9	10	4	5	5	9	14	10	6	10	13	16	11	8	3	6	9	11	12	8	18	21	23	25	15	12	13	11	10	7	6	9	9	9	1	10	13	0	1	1	3					
		0.82%	0.26%	0.73%	0.70%	0.92%	0.45%	0.97%	0.86%	0.92%	0.66%	1.08%	0.67%	1.22%	1.09%	0.82%	0.63%	0.49%	0.30%	1.35%	1.26%	1.08%	0.45%	0.87%	0.88%	1.17%	0.78%	0.66%	0.84%	0.53%	1.01%	0.68%	0.55%	0.82%	0.76%	0.75%	0.72%	0.78%	0.37%	0.67%	0.53%	1.35%	0.59%	0.30%	0.65%	0.49%	1.03%	1.06%	1.04%	0.89%	1.09%	0.96%	1.16%	1.19%	0.76%	0.62%	0.76%	0.29%	0.33%	0.39%	0.78%	0.98%	0.78%	0.55%	0.90%	0.96%	1.19%	0.81%	0.65%	0.36%	0.57%	0.72%	0.71%	0.84%	0.62%	1.23%	1.61%	1.50%	1.67%	0.88%	1.08%	1.41%	0.75%	0.89%	0.81%	0.71%	0.48%	0.46%	0.70%	0.11%	0.93%	1.09%	0.00%	0.55%	0.54%	1.74%					
21	. Путин Владимир Владимирович	80862	527	855	963	1126	1022	1086	769	748	758	1011	879	941	921	951	943	923	1135	971	941	1118	941	829	844	994	831	842	856	735	838	1029	987	969	895	1019	935	939	1103	882	856	757	781	892	895	918	868	925	1062	1005	886	1099	1090	995	1029	943	873	931	1001	818	778	935	855	739	720	893	915	891	820	570	669	811	999	957	859	982	860	983	920	1239	729	582	946	731	532	578	1141	1369	808	587	632	719	55	110	149	119					
