Выборы Президента Российской Федерации																																																																																																						
Дата голосования: 02.03.2008																																																																																																						
																																																																																																						
"Наименование Избирательной комиссии:    Омск, Советская"																																																																																																						
																																																																																																						
Сводная таблица результатов выборов																																																																																																						
																																																																																																						
	Число участковых избирательных комиссий	95																																																																																																				
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	95																																																																																																				
																																																																																																						
		Сумма	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343					
1	"Число избирателей, включенных в списки избирателей"	201147	1648	2321	2444	2482	2446	2026	1969	2262	1977	2199	2685	2701	444	1929	1762	2472	2269	2628	2305	2053	2250	2533	2578	2448	2423	2363	2403	2379	2236	2267	2465	2420	2040	2510	2663	2161	2407	2430	2145	2264	2177	2426	2266	2796	2832	2509	2474	2437	2280	2409	2470	2665	2804	1992	1575	1937	2007	2745	2388	2790	2106	2468	2470	2254	2064	2530	2330	2450	2605	2305	1800	2276	1397	2553	2219	2466	2514	2169	1818	2294	1865	1408	1263	1496	1642	1165	1086	2172	2769	1887	215	155	198	228	124					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	180280	1320	2150	2190	2250	2090	1780	1770	2040	1750	1960	2300	2330	380	1730	1580	2220	2020	2390	2090	1840	2070	2300	2330	2170	2180	2130	2140	2060	1990	2060	2250	2120	1860	2140	2400	1960	2110	2190	1970	1970	1800	2190	2040	2540	2540	2280	2060	2170	1960	2100	2120	2400	2490	1750	1390	1740	1810	2440	2230	2460	1880	2300	2250	2060	1930	2270	2100	2260	2370	2130	1630	2020	1180	2300	2000	2200	2220	1940	1580	2070	1620	1280	1260	1300	1490	1310	1200	1960	2470	1710	214	161	188	228	109					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	173156	1242	2085	2131	2203	1956	1719	1716	1967	1685	1898	2218	2192	340	1662	1498	2164	1961	2317	2007	1757	1991	2222	2254	2136	2089	2041	2062	1981	1921	1986	2198	2033	1806	2083	2354	1874	2039	2103	1883	1903	1707	2094	1955	2483	2444	2199	1975	2076	1883	2020	2060	2321	2419	1646	1302	1661	1723	2363	2144	2401	1805	2254	2171	2010	1874	2184	1993	2175	2301	2046	1545	1933	1126	2183	1894	2124	2118	1877	1461	2005	1538	1173	1199	1255	1448	1138	1052	1859	2379	1657	204	155	158	204	105					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	4108	62	24	42	32	96	32	28	56	33	21	66	110	29	44	46	42	31	51	56	55	45	47	39	17	56	51	52	40	45	35	28	51	28	29	29	47	45	52	49	41	64	68	65	30	59	65	56	55	35	59	24	40	28	64	70	50	50	51	37	32	56	17	23	15	18	43	58	34	27	45	52	52	27	81	67	35	48	21	94	38	64	84	42	29	27	7	13	68	60	21	10	0	24	24	0					
6	Число погашенных избирательных бюллетеней	3016	16	41	17	15	38	29	26	17	32	41	16	28	11	24	36	14	28	22	27	28	34	31	37	17	35	38	26	39	24	39	24	36	26	28	17	39	26	35	38	26	29	28	20	27	37	16	29	39	42	21	36	39	43	40	18	29	37	26	49	27	19	29	56	35	38	43	49	51	42	39	33	35	27	36	39	41	54	42	25	27	18	23	19	16	15	165	135	33	31	32	0	6	6	0	4					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4106	62	24	42	32	96	32	28	56	33	21	66	110	29	44	46	42	31	51	56	55	45	47	39	17	56	51	52	40	45	35	27	51	28	29	29	46	45	52	49	41	64	68	65	30	59	65	56	55	35	59	24	40	28	64	70	50	50	51	37	32	56	17	23	15	18	43	58	34	27	45	52	52	27	81	67	35	48	21	94	38	64	84	42	29	27	7	13	68	60	21	10	0	24	24	0					
8	Число бюллетеней в стационарных ящиках для голосования	172956	1242	2085	2131	2203	1956	1715	1716	1964	1682	1898	2218	2192	340	1661	1496	2164	1961	2316	2005	1757	1991	2220	2254	2136	2087	2039	2056	1981	1918	1979	2169	2033	1803	2081	2354	1874	2037	2102	1882	1901	1701	2084	1955	2483	2443	2199	1975	2076	1880	2017	2057	2319	2419	1646	1301	1661	1723	2356	2107	2399	1805	2254	2171	2010	1871	2183	1992	2174	2296	2044	1545	1933	1126	2178	1893	2113	2118	1875	1461	2002	1537	1173	1199	1254	1447	1131	1052	1858	2379	1656	204	155	158	204	105					
9	Число недействительных избирательных бюллетеней	2614	15	29	23	41	23	22	28	40	31	23	37	43	7	31	15	15	28	34	32	24	28	37	27	34	22	31	21	22	27	17	40	31	30	35	38	24	23	23	25	44	27	35	46	43	19	30	42	27	25	17	34	62	26	25	20	18	24	59	35	34	24	38	32	48	27	23	34	27	31	28	23	35	18	35	27	30	31	36	22	34	28	20	13	20	20	17	17	30	41	25	1	1	3	6	1					
10	Число действительных избирательных бюллетеней	174448	1289	2080	2150	2194	2029	1725	1716	1980	1684	1896	2247	2259	362	1674	1527	2191	1964	2333	2029	1788	2008	2230	2266	2119	2121	2059	2087	1999	1936	1997	2156	2053	1801	2075	2345	1896	2059	2131	1906	1898	1738	2117	1974	2470	2483	2234	1989	2104	1890	2059	2047	2297	2421	1685	1351	1693	1749	2348	2109	2397	1837	2233	2162	1977	1862	2203	2016	2181	2292	2061	1574	1950	1135	2224	1933	2118	2135	1860	1533	2006	1573	1237	1228	1263	1454	1121	1048	1896	2398	1652	213	154	179	222	104					
11	Число полученных открепительных  удостоверений	3890	30	38	33	55	143	27	41	38	36	46	39	19	5	34	24	26	35	38	36	28	38	37	43	33	44	37	39	33	31	38	38	44	46	50	35	35	36	33	34	45	38	42	50	48	32	56	37	27	28	52	52	110	52	32	39	38	37	70	40	43	40	65	46	63	50	40	38	42	41	39	32	41	27	40	33	34	34	53	33	60	29	22	16	28	33	210	100	48	47	43	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	3681	24	38	31	51	116	25	41	38	36	46	38	19	3	31	24	24	35	37	33	28	38	36	43	32	43	37	38	32	31	38	38	44	46	50	34	35	36	33	33	45	38	42	50	47	31	55	37	27	28	48	50	108	51	30	38	38	36	68	40	43	40	65	45	62	44	40	38	40	40	39	30	40	21	39	33	29	34	46	29	60	28	22	15	24	32	132	93	47	46	43	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	3638	94	18	36	24	37	32	29	34	58	35	20	18	20	56	32	42	42	39	48	49	37	38	29	49	34	30	49	17	51	18	20	39	36	27	35	29	100	43	53	138	42	27	52	37	28	35	88	49	28	27	36	60	33	31	29	27	22	81	32	35	38	40	13	39	34	22	14	31	36	23	16	40	44	26	23	46	39	48	18	3	95	23	12	31	14	55	32	45	67	54	92	31	11	14	35					
