Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																													
Дата голосования: 02.12.2007																													
																													
Наименование Избирательной комиссии:    Шелопугинская																													
																													
Сводная таблица результатов выборов																													
																													
		Сумма	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853					
1	"Число избирателей, внесенных в списки избирателей"	6637	288	88	49	387	157	119	304	75	253	171	98	157	111	1031	527	192	892	108	130	176	195	1129					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	6651	310	90	47	400	153	117	300	80	260	170	100	170	110	1020	515	200	870	110	129	170	195	1135					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4346	206	69	38	246	101	91	205	53	213	117	68	109	86	613	307	119	559	87	103	141	144	671					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	517	31	4	4	49	11	0	42	4	6	21	8	15	7	56	50	28	48	11	4	18	26	74					
6	Число погашенных избирательных бюллетеней	1788	73	17	5	105	41	26	53	23	41	32	24	46	17	351	158	53	263	12	22	11	25	390					
7	Число избирательных бюллетеней в переносных ящиках для голосования	517	31	4	4	49	11	0	42	4	6	21	8	15	7	56	50	28	48	11	4	18	26	74					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4346	206	69	38	246	101	91	205	53	213	117	68	109	86	613	307	119	559	87	103	141	144	671					
9	Число недействительных избирательных бюллетеней	64	5	2	0	4	0	2	5	1	0	2	6	1	1	18	1	1	6	1	0	0	0	8					
10	Число действительных избирательных бюллетеней	4799	232	71	42	291	112	89	242	56	219	136	70	123	92	651	356	146	601	97	107	159	170	737					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	293	8	5	5	19	10	5	15	5	10	10	5	10	5	40	20	10	30	5	5	10	10	51					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	78	3	0	0	3	0	0	3	0	0	0	0	1	0	14	8	1	21	2	1	2	2	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	50	1	2	1	1	1	1	1	1	1	1	4	3	1	4	2	3	11	1	1	1	3	5					
14	Число погашенных неиспользованных открепительных удостоверений	215	5	5	5	16	10	5	12	5	10	10	5	9	5	26	12	9	9	3	4	8	8	34					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	3	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	1.Политическая партия «Аграрная партия России»	141	6	7	1	21	1	0	8	1	15	3	5	5	5	13	9	2	19	6	4	1	1	8					
		2.90%	2.53%	9.59%	2.38%	7.12%	0.89%	0.00%	3.24%	1.75%	6.85%	2.17%	6.58%	4.03%	5.38%	1.94%	2.52%	1.36%	3.13%	6.12%	3.74%	0.63%	0.59%	1.07%					
19	2.Всероссийская политическая партия «Гражданская Сила»	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2					
		0.12%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.27%					
20	3.Политическая партия «Демократическая партия России»	13	0	0	0	0	0	0	2	2	0	0	0	0	0	1	2	0	1	2	0	1	0	2					
		0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.81%	3.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.56%	0.00%	0.16%	2.04%	0.00%	0.63%	0.00%	0.27%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	660	33	3	2	38	6	8	17	14	14	11	6	13	9	129	76	22	104	9	10	28	12	96					
		13.57%	13.92%	4.11%	4.76%	12.88%	5.36%	8.79%	6.88%	24.56%	6.39%	7.97%	7.89%	10.48%	9.68%	19.28%	21.29%	14.97%	17.13%	9.18%	9.35%	17.61%	7.06%	12.89%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	5	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	1	0	0	0					
		0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.63%	0.00%	1.08%	0.00%	0.00%	0.00%	0.16%	0.00%	0.93%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	5	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1					
		0.10%	0.00%	0.00%	0.00%	0.00%	0.89%	0.00%	0.40%	1.75%	0.00%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%					
24	7.Политическая партия «Либерально-демократическая партия России»	651	34	3	1	44	11	16	26	2	29	9	14	17	4	102	45	22	99	8	25	17	13	110					
		13.39%	14.35%	4.11%	2.38%	14.92%	9.82%	17.58%	10.53%	3.51%	13.24%	6.52%	18.42%	13.71%	4.30%	15.25%	12.61%	14.97%	16.31%	8.16%	23.36%	10.69%	7.65%	14.77%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	244	7	2	3	15	3	5	15	1	6	6	3	13	5	45	12	10	46	6	2	5	5	29					
		5.02%	2.95%	2.74%	7.14%	5.08%	2.68%	5.49%	6.07%	1.75%	2.74%	4.35%	3.95%	10.48%	5.38%	6.73%	3.36%	6.80%	7.58%	6.12%	1.87%	3.14%	2.94%	3.89%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	25	0	0	0	1	0	1	0	0	1	3	0	1	0	6	1	1	2	0	0	0	3	5					
		0.51%	0.00%	0.00%	0.00%	0.34%	0.00%	1.10%	0.00%	0.00%	0.46%	2.17%	0.00%	0.81%	0.00%	0.90%	0.28%	0.68%	0.33%	0.00%	0.00%	0.00%	1.76%	0.67%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3040	152	56	35	171	89	59	170	35	152	104	40	73	68	353	210	89	327	66	65	107	135	484					
		62.51%	64.14%	76.71%	83.33%	57.97%	79.46%	64.84%	68.83%	61.40%	69.41%	75.36%	52.63%	58.87%	73.12%	52.77%	58.82%	60.54%	53.87%	67.35%	60.75%	67.30%	79.41%	64.97%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	9	0	0	0	0	1	0	3	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0					
		0.19%	0.00%	0.00%	0.00%	0.00%	0.89%	0.00%	1.21%	0.00%	0.91%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.59%	0.00%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
