Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Спасская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24441	987	1326	992	578	592	671	1103	461	342	350	1525	181	390	206	760	639	754	591	260	350	220	804	527	143	631	225	555	190	433	377	133	580	216	210	275	171	307	1098	662	467	259	304	685	318	814	82	230	467									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24178	980	1300	980	570	580	650	1100	450	340	350	1500	176	380	190	760	640	750	580	255	350	220	800	520	140	630	230	550	191	430	370	135	580	215	205	270	170	300	1130	640	460	255	295	680	310	800	81	230	460									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8739	347	467	362	172	192	162	310	303	100	164	558	66	165	69	218	195	257	185	123	163	75	307	203	44	228	83	164	45	231	106	58	168	75	55	103	29	75	546	232	160	115	105	287	128	253	41	62	183									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2195	17	20	19	17	12	29	23	50	50	61	104	29	50	40	54	30	20	35	58	69	63	18	22	40	35	24	60	24	35	63	19	55	23	42	23	19	69	158	43	41	36	65	79	67	171	26	33	55									
6	Число погашенных избирательных бюллетеней	13244	616	813	599	381	376	459	767	97	190	125	838	81	165	81	488	415	473	360	74	118	82	475	295	56	367	123	326	122	164	201	58	357	117	108	144	122	156	426	365	259	104	125	314	115	376	14	135	222									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2195	17	20	19	17	12	29	23	50	50	61	104	29	50	40	54	30	20	35	58	69	63	18	22	40	35	24	60	24	35	63	19	55	23	42	23	19	69	158	43	41	36	65	79	67	171	26	33	55									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8739	347	467	362	172	192	162	310	303	100	164	558	66	165	69	218	195	257	185	123	163	75	307	203	44	228	83	164	45	231	106	58	168	75	55	103	29	75	546	232	160	115	105	287	128	253	41	62	183									
9	Число недействительных избирательных бюллетеней	130	8	9	3	4	4	1	7	5	1	1	11	0	3	0	10	6	5	0	2	4	0	5	1	0	8	2	4	0	5	0	0	1	1	2	1	1	2	4	1	0	0	0	3	2	0	0	2	1									
10	Число действительных избирательных бюллетеней	10804	356	478	378	185	200	190	326	348	149	224	651	95	212	109	262	219	272	220	179	228	138	320	224	84	255	105	220	69	261	169	77	222	97	95	125	47	142	700	274	201	151	170	363	193	424	67	93	237									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	334	12	12	12	11	11	9	13	4	6	2	15	2	3	2	10	10	10	10	2	2	9	15	10	4	10	3	9	3	10	2	2	5	2	2	2	2	4	40	5	3	2	2	10	2	7	2	2	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	183	12	12	11	4	2	4	6	1	2	0	10	1	3	1	2	6	1	2	0	0	9	4	0	3	10	2	2	0	3	0	1	2	1	0	0	1	2	40	2	0	1	0	7	2	7	1	1	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	196	5	13	5	3	5	5	3	8	1	0	4	8	8	5	0	2	4	0	4	3	5	6	1	4	0	0	2	3	5	4	3	8	4	2	2	4	6	7	5	7	2	5	3	6	5	4	1	6									
14	Число погашенных неиспользованных открепительных удостоверений	151	0	0	1	7	9	5	7	3	4	2	5	1	0	1	8	4	9	8	2	2	0	11	10	1	0	1	7	3	7	2	1	3	1	2	2	1	2	0	3	3	1	2	3	0	0	1	1	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	1	0	2	1	0	3	2	0	0	1	0	0	0	0	2	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	154	5	7	5	2	4	4	6	1	1	3	9	1	2	5	1	3	12	3	3	2	2	2	2	1	5	0	3	0	0	1	2	0	3	2	0	2	10	9	2	5	0	4	7	1	6	1	1	4									
		1.41%	1.37%	1.44%	1.31%	1.06%	1.96%	2.09%	1.80%	0.28%	0.67%	1.33%	1.36%	1.05%	0.93%	4.59%	0.37%	1.33%	4.33%	1.36%	1.66%	0.86%	1.45%	0.62%	0.89%	1.19%	1.90%	0.00%	1.34%	0.00%	0.00%	0.59%	2.60%	0.00%	3.06%	2.06%	0.00%	4.17%	6.94%	1.28%	0.73%	2.49%	0.00%	2.35%	1.91%	0.51%	1.42%	1.49%	1.05%	1.68%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	304	12	13	4	4	7	4	10	8	3	4	11	5	5	0	13	4	15	5	2	7	6	22	6	3	9	9	8	0	10	11	2	7	5	3	1	0	6	12	9	2	5	5	9	4	8	1	3	2									
