Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Коченевская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	35287	925	291	200	61	1014	170	53	451	231	756	81	949	78	438	119	953	91	2580	937	1171	244	401	472	206	208	279	180	263	97	289	567	92	586	187	133	63	176	555	532	649	155	163	1851	1914	2034	1527	2443	2152	1596	1595	2129									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35683	940	300	200	64	1050	176	59	500	240	800	88	1010	85	450	126	950	88	2580	930	1170	240	400	470	210	206	280	186	271	90	351	580	79	630	198	139	67	170	580	540	665	160	165	1840	1910	2050	1540	2400	2160	1570	1600	2130									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11643	317	130	101	41	372	65	37	161	91	278	30	312	40	141	45	526	40	746	173	248	80	93	109	60	71	100	93	102	45	100	360	56	263	92	76	17	106	248	201	262	48	41	625	551	486	466	1055	609	458	358	518									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1257	74	9	10	0	34	7	0	47	15	69	9	96	6	33	11	47	0	60	29	35	3	14	10	14	22	17	7	33	5	2	45	21	42	11	6	4	5	10	16	38	18	11	25	24	30	24	5	83	22	41	58									
6	Число погашенных избирательных бюллетеней	22783	549	161	89	23	644	104	22	292	134	453	49	602	39	276	70	377	48	1774	728	887	157	293	351	136	113	163	86	136	40	249	175	2	325	95	57	46	59	322	323	365	94	113	1190	1335	1534	1050	1340	1468	1090	1201	1554									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1257	74	9	10	0	34	7	0	47	15	69	9	96	6	33	11	47	0	60	29	35	3	14	10	14	22	17	7	33	5	2	45	21	42	11	6	4	5	10	16	38	18	11	25	24	30	24	5	83	22	41	58									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11642	317	130	101	41	372	65	37	161	91	278	30	312	40	141	45	526	40	746	173	248	80	93	109	60	71	100	93	102	45	100	360	56	263	92	76	17	106	248	201	262	48	41	625	550	486	466	1055	609	458	358	518									
9	Число недействительных избирательных бюллетеней	396	10	3	1	0	11	2	0	15	4	12	2	7	0	3	0	29	2	20	13	12	0	2	2	2	5	0	5	4	1	5	8	0	20	2	5	2	2	8	5	4	4	0	11	16	12	19	31	29	15	11	20									
10	Число действительных избирательных бюллетеней	12503	381	136	110	41	395	70	37	193	102	335	37	401	46	171	56	544	38	786	189	271	83	105	117	72	88	117	95	131	49	97	397	77	285	101	77	19	109	250	212	296	62	52	639	558	504	471	1029	663	465	388	556									
