Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    район Текстильщики     																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК  3128	УИК  3129	УИК  3130					
1	"Число избирателей, внесенных в список"	57564	1945	2547	2303	2363	2352	2346	2820	2156	2458	2075	2492	2096	1707	1666	2679	1740	1945	1523	2387	1604	1735	2183	1635	2682	2159	1532	1621	101	151	561					
2	Число полученных избирательных бюллетеней	54684	1850	2370	2100	2260	2210	2280	2550	2070	2260	1880	2260	1980	1650	1590	2490	1610	1840	1420	2260	1630	1790	2130	1690	2480	2170	1470	1580	102	151	561					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	34274	1047	1482	1345	1362	1311	1400	1510	1230	1563	1145	1471	1294	1003	993	1773	1018	1138	863	1732	991	1149	1449	1071	1555	1316	927	884	101	151	0					
5	"Число избирательных бюллетеней, выданных вне помещения"	1227	0	37	35	17	28	33	34	26	51	24	17	15	32	25	35	18	37	32	17	28	24	30	16	23	25	0	7	0	0	561					
6	Число погашенных избирательных бюллетеней	19183	803	851	720	881	871	847	1006	814	646	711	772	671	615	572	682	574	665	525	511	611	617	651	603	902	829	543	689	1	0	0					
7	Число избирательных бюллетеней в переносных ящиках	1226	0	37	35	17	28	33	34	26	51	24	17	14	32	25	35	18	37	32	17	28	24	30	16	23	25	0	7	0	0	561					
8	Число бюллетеней в стационарных ящиках для голосования	34036	1047	1482	1308	1346	1311	1400	1507	1230	1563	1143	1452	1283	971	991	1773	1015	1138	863	1715	972	1113	1449	1055	1555	1291	927	884	101	151	0					
9	Число недействительных избирательных бюллетеней	472	9	8	8	12	10	7	34	11	8	12	63	18	12	18	16	12	15	8	14	13	34	17	39	20	24	5	14	3	3	5					
10	Число действительных избирательных бюллетеней	34790	1038	1511	1335	1351	1329	1426	1507	1245	1606	1155	1406	1279	991	998	1792	1021	1160	887	1718	987	1103	1462	1032	1558	1292	922	877	98	148	556					
11	Число полученных открепительных  удостоверений	1500	60	60	50	50	50	60	70	70	70	50	70	70	50	30	70	60	40	30	70	50	60	80	50	50	50	30	50	0	0	0					
12	Число выданных открепительных удостоверений	1218	46	54	38	47	48	48	66	50	50	30	55	52	33	22	57	52	32	27	63	34	41	71	43	47	50	28	34	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	935	17	28	40	15	16	30	75	39	47	37	25	24	31	31	28	37	28	11	62	57	30	25	24	70	27	43	14	15	1	8					
14	Число неиспользованных открепительных удостоверений	282	14	6	12	3	2	12	4	20	20	20	15	18	17	8	13	8	8	3	7	16	19	9	7	3	0	2	16	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	22	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	5	0	1	10	1	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																					
18	. Глазьев Сергей Юрьевич	2038	60	88	67	77	73	81	119	54	90	74	60	75	66	48	85	55	73	78	90	69	70	82	33	97	84	98	58	7	7	20					
		5.78%	5.73%	5.79%	4.99%	5.65%	5.45%	5.65%	7.72%	4.30%	5.58%	6.34%	4.08%	5.78%	6.58%	4.72%	4.70%	5.32%	6.21%	8.72%	5.20%	6.90%	6.16%	5.54%	3.08%	6.15%	6.38%	10.57%	6.51%	6.93%	4.64%	3.57%					
19	. Малышкин Олег Александрович	465	20	25	20	17	25	12	27	23	20	11	18	12	14	7	19	12	11	6	16	20	6	18	18	23	20	14	13	3	8	7					
		1.32%	1.91%	1.65%	1.49%	1.25%	1.87%	0.84%	1.75%	1.83%	1.24%	0.94%	1.23%	0.93%	1.40%	0.69%	1.05%	1.16%	0.94%	0.67%	0.92%	2.00%	0.53%	1.22%	1.68%	1.46%	1.52%	1.51%	1.46%	2.97%	5.30%	1.25%					
20	. Миронов Сергей Михайлович	179	4	7	8	5	6	2	4	6	11	7	9	10	4	1	5	4	10	5	2	9	10	8	4	17	7	7	1	0	1	5					
		0.51%	0.38%	0.46%	0.60%	0.37%	0.45%	0.14%	0.26%	0.48%	0.68%	0.60%	0.61%	0.77%	0.40%	0.10%	0.28%	0.39%	0.85%	0.56%	0.12%	0.90%	0.88%	0.54%	0.37%	1.08%	0.53%	0.76%	0.11%	0.00%	0.66%	0.89%					
21	. Путин Владимир Владимирович	24988	754	1090	983	952	939	1013	1068	945	1190	825	1011	906	697	741	1331	744	813	637	1193	697	811	1040	813	1073	920	577	614	70	112	429					
		70.86%	72.02%	71.76%	73.19%	69.85%	70.13%	70.69%	69.31%	75.24%	73.73%	70.69%	68.82%	69.85%	69.49%	72.93%	73.62%	72.02%	69.19%	71.17%	68.88%	69.70%	71.33%	70.32%	75.91%	68.00%	69.91%	62.24%	68.91%	69.31%	74.17%	76.47%					
22	. Хакамада Ирина Муцуовна	2381	54	104	103	99	87	107	103	70	104	77	107	113	72	65	151	73	68	49	95	59	64	105	62	127	88	71	76	8	2	18					
		6.75%	5.16%	6.85%	7.67%	7.26%	6.50%	7.47%	6.68%	5.57%	6.44%	6.60%	7.28%	8.71%	7.18%	6.40%	8.35%	7.07%	5.79%	5.47%	5.48%	5.90%	5.63%	7.10%	5.79%	8.05%	6.69%	7.66%	8.53%	7.92%	1.32%	3.21%					
23	. Харитонов Николай Михайлович	2762	87	112	91	117	105	117	100	87	106	102	120	81	83	88	105	75	108	63	239	68	98	122	62	124	100	88	70	2	5	37					
