Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
"Наименование Избирательной комиссии:    Новороссийск, Южная"																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №5801	УИК №5802	УИК №5803	УИК №5804	УИК №5805	УИК №5806	УИК №5807	УИК №5808	УИК №5809	УИК №5810	УИК №5811	УИК №5812	УИК №5813	УИК №5814	УИК №5815	УИК №5816	УИК №5817	УИК №5818	УИК №5819	УИК №5820	УИК №5821	УИК №5822	УИК №5823	УИК №5824	УИК №5825									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	46789	1450	1068	1750	1100	1633	1988	1245	2531	1692	1759	1228	1680	1505	1927	2540	1825	1906	2412	2378	2159	2629	1709	1502	2755	2418									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	45880	1400	1115	1800	1000	1500	2000	1200	2500	1700	1700	1200	1700	1565	1900	2500	1800	1900	2400	2300	2000	2600	1700	1400	2700	2300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	30808	1081	646	1109	641	924	1257	1125	1495	973	1138	705	1318	1349	1263	1408	1271	1024	1603	1483	1539	2242	1064	1120	1652	1378									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1693	147	27	17	5	112	30	20	49	13	25	168	60	48	35	116	6	132	226	71	47	18	54	115	50	102									
6	Число погашенных избирательных бюллетеней	13379	172	442	674	354	464	713	55	956	714	537	327	322	168	602	976	523	744	571	746	414	340	582	165	998	820									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1693	147	27	17	5	112	30	20	49	13	25	168	60	48	35	116	6	132	226	71	47	18	54	115	50	102									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	30806	1081	646	1109	641	924	1257	1125	1495	973	1138	705	1318	1349	1263	1408	1271	1024	1603	1483	1539	2242	1062	1120	1652	1378									
9	Число недействительных избирательных бюллетеней	241	10	12	23	0	17	7	6	12	13	3	5	12	22	0	23	8	0	2	7	11	10	11	4	23	0									
10	Число действительных избирательных бюллетеней	32258	1218	661	1103	646	1019	1280	1139	1532	973	1160	868	1366	1375	1298	1501	1269	1156	1827	1547	1575	2250	1105	1231	1679	1480									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	770	20	20	20	20	20	20	45	30	20	46	20	34	20	38	42	30	20	40	40	44	40	31	20	40	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	755	20	5	20	20	20	20	45	30	20	46	20	34	20	38	42	30	20	40	40	44	40	31	20	40	50									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	221	1	8	8	5	9	7	2	11	18	4	3	5	0	2	22	16	0	0	5	21	9	6	5	38	16									
14	Число погашенных неиспользованных открепительных удостоверений	15	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	143	4	2	4	5	2	1	3	9	2	4	5	5	2	7	8	8	4	18	10	4	5	4	2	13	12									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	249	17	8	22	17	8	11	2	3	2	14	12	4	15	3	3	15	8	7	26	9	0	2	4	32	5									
		0.77%	1.38%	1.19%	1.95%	2.63%	0.77%	0.85%	0.17%	0.19%	0.20%	1.20%	1.37%	0.29%	1.07%	0.23%	0.20%	1.17%	0.69%	0.38%	1.67%	0.57%	0.00%	0.18%	0.32%	1.88%	0.34%									
