Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																											
Дата голосования: 07.12.2003 0:00:00																																																											
																																																											
Наименование Избирательной комиссии:    Устьянская																																																											
																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																											
																																																											
		Сумма	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944					
1	"Число избирателей, внесенных в списки"	27028	392	151	377	711	50	132	213	325	187	146	685	604	543	142	367	166	587	1020	1003	558	518	2870	2232	2735	264	122	132	54	108	496	93	82	472	577	166	184	404	609	130	109	1264	1586	507	659	226	390	171	107	100	603	198	501					
2	"Число бюллетеней, полученных участковыми комиссиями"	26561	394	149	404	709	59	122	204	336	202	160	712	607	558	141	337	176	566	987	984	550	478	2779	2102	2614	247	149	120	74	109	487	87	81	455	574	182	188	392	598	129	109	1267	1497	488	653	223	370	165	125	112	614	228	508					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	7	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15143	269	89	234	311	45	91	149	213	102	96	449	300	348	97	231	107	356	629	587	291	268	1533	1250	1307	142	98	67	42	65	320	45	56	176	252	81	117	236	324	102	67	645	885	310	349	77	234	123	78	91	360	139	310					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1464	10	18	11	70	4	10	35	9	32	2	25	33	34	9	33	23	25	16	34	80	7	36	51	33	11	0	19	12	13	45	12	16	117	153	53	11	6	8	0	2	42	59	6	20	42	32	2	9	0	69	4	61					
6	Число погашенных бюллетеней	9947	115	42	159	328	10	21	20	114	68	62	231	274	176	35	73	46	185	342	363	179	203	1210	801	1274	94	51	34	20	31	122	30	9	162	169	48	60	150	266	27	40	580	553	172	284	104	104	40	38	21	185	85	137					
7	Число бюллетеней в переносных ящиках для голосования	1471	10	18	11	70	4	10	35	9	32	2	32	33	34	9	33	23	25	16	34	80	7	36	51	33	11	0	19	12	13	45	12	16	117	153	53	11	6	8	0	2	42	59	6	20	42	32	2	9	0	69	4	61					
8	Число бюллетеней в стационарных ящиках для голосования	15136	268	89	234	311	45	91	149	213	102	96	449	300	348	97	231	107	356	629	587	291	267	1532	1246	1307	142	98	67	42	65	320	45	56	176	252	81	117	236	324	102	67	645	885	310	349	77	234	123	78	91	360	139	310					
9	Число недействительных бюллетеней	267	8	2	8	4	0	5	0	7	5	3	6	12	9	4	1	3	10	7	7	8	1	20	10	14	1	1	2	3	2	5	2	1	8	4	0	4	5	4	4	0	15	7	8	8	3	2	3	1	5	6	2	7					
10	Число действительных бюллетеней	16340	270	105	237	377	49	96	184	215	129	95	475	321	373	102	263	127	371	638	614	363	273	1548	1287	1326	152	97	84	51	76	360	55	71	285	401	134	124	237	328	98	69	672	937	308	361	116	264	122	86	86	423	141	364					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	550	12	8	10	12	6	10	10	8	8	7	12	12	12	6	12	8	12	18	18	12	10	20	20	20	8	6	8	5	6	12	6	5	12	14	7	8	12	12	8	7	15	14	13	12	8	12	8	8	7	12	10	12					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	108	1	2	5	2	0	1	0	1	2	1	9	1	3	0	3	0	3	1	3	3	1	5	9	5	0	0	1	3	0	4	0	0	2	1	0	0	1	5	1	0	4	6	2	5	0	2	0	2	0	5	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	68	0	1	0	1	0	1	0	1	1	0	3	2	1	0	1	0	0	2	2	0	2	11	13	5	0	1	1	1	0	2	0	1	0	1	2	0	1	0	1	0	1	3	1	1	0	0	1	0	1	2	0	0					
14	Число погашенных открепительных удостоверений	442	11	6	5	10	6	9	10	7	6	6	3	11	9	6	9	8	9	17	15	9	9	15	11	15	8	6	7	2	6	8	6	5	10	13	7	8	11	7	7	7	11	8	11	7	8	10	8	6	7	7	10	9					
15	Число открепительных удостоверений выданных ТИК	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																											
