Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																		
Дата голосования: 07.12.2003 0:00:00																																																		
																																																		
Наименование Избирательной комиссии:    Абдулинская																																																		
																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																		
																																																		
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43					
1	"Число избирателей, внесенных в списки"	26777	1967	1601	1594	1543	1652	1779	1766	1367	1770	1485	283	291	186	506	153	235	355	205	314	80	211	171	225	136	233	68	396	71	773	284	360	402	362	195	837	107	548	558	153	510	473	153	419					
2	"Число бюллетеней, полученных участковыми комиссиями"	26029	1907	1555	1542	1449	1604	1672	1704	1286	1705	1431	280	287	182	491	159	253	358	203	314	77	207	171	214	136	233	68	392	71	768	284	355	402	360	195	816	99	548	547	154	511	473	150	416					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13904	856	629	577	646	752	741	774	595	863	661	181	220	116	274	73	165	234	141	194	58	162	143	164	103	140	34	272	65	373	217	208	301	220	152	594	64	339	295	89	417	367	105	330					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	659	29	34	29	35	42	15	33	37	18	43	3	8	3	26	16	0	25	7	0	9	0	2	8	1	27	11	36	0	30	0	47	0	7	0	47	2	11	11	7	0	0	0	0					
6	Число погашенных бюллетеней	11466	1022	892	936	768	810	916	897	654	824	727	96	59	63	191	70	88	99	55	120	10	45	26	42	32	66	23	84	6	365	67	100	101	133	43	175	33	198	241	58	94	106	45	86					
7	Число бюллетеней в переносных ящиках для голосования	659	29	34	29	35	42	15	33	37	18	43	3	8	3	26	16	0	25	7	0	9	0	2	8	1	27	11	36	0	30	0	47	0	7	0	47	2	11	11	7	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	13901	856	629	577	646	749	741	774	595	863	661	181	220	116	274	73	165	234	141	194	58	162	143	164	103	140	34	272	65	373	217	208	301	220	152	594	64	339	295	89	417	367	105	330					
9	Число недействительных бюллетеней	368	13	7	14	34	13	5	12	9	15	12	12	11	3	13	0	4	18	2	5	0	0	1	9	3	7	4	4	0	4	6	18	18	11	0	25	2	12	17	9	1	10	3	2					
10	Число действительных бюллетеней	14192	872	656	592	647	778	751	795	623	866	692	172	217	116	287	89	161	241	146	189	67	162	144	163	101	160	41	304	65	399	211	237	283	216	152	616	64	338	289	87	416	357	102	328					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	199	10	11	5	10	10	10	10	5	10	10	5	3	3	3	3	3	3	5	3	0	3	3	3	3	5	5	5	0	5	3	3	5	3	3	3	3	3	6	3	5	5	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	28	1	1	3	0	1	3	0	3	3	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	1	2	0	0	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	32	2	1	3	2	1	4	0	2	2	2	0	0	0	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	0	0	1	1	0	0	1	0	0	0	1					
14	Число погашенных открепительных удостоверений	171	9	10	2	10	9	7	10	2	7	10	5	3	2	2	3	3	2	5	3	0	3	3	3	3	5	5	5	0	5	3	3	1	3	2	3	3	2	4	3	5	3	0	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																		
18	"1. ""ЕДИНЕНИЕ"""	180	9	12	7	8	8	7	3	2	9	3	2	5	2	5	0	1	3	6	0	0	0	0	3	0	3	2	4	0	5	0	3	1	4	0	30	0	6	7	2	4	7	1	6					
