Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
Наименование Избирательной комиссии:    Мичуринская																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК  64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113					
1	"Число избирателей, внесенных в списки"	26778	1424	1626	1418	1538	956	72	459	435	581	340	482	636	1333	1204	136	229	128	1243	455	169	559	745	347	780	393	410	236	445	106	398	287	133	348	460	182	342	106	143	454	671	426	186	477	555	301	662	486	396	697	183					
2	"Число бюллетеней, полученных участковыми комиссиями"	26601	1440	1570	1470	1500	925	73	450	430	570	330	490	600	1340	1200	149	180	128	1210	460	162	540	720	330	770	380	430	230	440	111	390	295	133	300	400	178	520	105	145	450	690	420	192	470	590	295	670	450	425	670	185					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12348	587	685	609	706	503	36	261	168	268	143	224	303	494	588	72	81	69	529	244	85	237	286	150	430	192	134	92	233	59	162	110	68	188	214	127	321	55	88	218	323	130	98	237	260	127	273	248	231	325	77					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1452	48	38	20	79	33	13	18	56	7	9	28	39	78	0	14	38	0	86	65	22	41	128	25	20	12	14	35	10	17	27	48	14	10	33	13	21	17	18	16	18	82	10	11	19	34	0	19	25	24	0					
6	Число погашенных бюллетеней	12801	805	847	841	715	389	24	171	206	295	178	238	258	768	612	63	61	59	595	151	55	262	306	155	320	176	282	103	197	35	201	137	51	102	153	38	178	33	39	216	349	208	84	222	311	134	397	183	169	321	108					
7	Число бюллетеней в переносных ящиках для голосования	1452	48	38	20	79	33	13	18	56	7	9	28	39	78	0	14	38	0	86	65	22	41	128	25	20	12	14	35	10	17	27	48	14	10	33	13	21	17	18	16	18	82	10	11	19	34	0	19	25	24	0					
8	Число бюллетеней в стационарных ящиках для голосования	12342	587	684	609	706	503	36	261	168	263	143	224	303	494	588	72	81	69	529	244	85	237	286	150	430	192	134	92	233	59	162	110	68	188	214	127	321	55	88	218	323	130	98	237	260	127	273	248	231	325	77					
9	Число недействительных бюллетеней	568	28	26	18	26	23	2	9	15	11	11	23	9	15	15	5	4	3	35	12	4	23	0	10	22	9	8	23	12	0	12	2	6	3	1	0	23	0	4	11	10	2	6	6	25	2	7	16	11	18	2					
10	Число действительных бюллетеней	13226	607	696	611	759	513	47	270	209	259	141	229	333	557	573	81	115	66	580	297	103	255	414	165	428	195	140	104	231	76	177	156	76	195	246	140	319	72	102	223	331	210	102	242	254	159	266	251	245	331	75					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	20	2	1	2	3	0	0	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	50	2	3	1	2	4	1	0	1	3	0	0	0	1	3	2	2	1	1	0	0	1	2	2	0	2	3	1	2	0	2	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	2	0	1	0					
14	Число погашенных открепительных удостоверений	280	4	5	4	3	6	6	5	5	5	6	6	6	5	5	6	6	5	5	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	6	3	6	6					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																									
18	"1. ""ЕДИНЕНИЕ"""	281	22	9	11	10	2	1	6	7	8	1	8	5	3	10	5	5	2	15	7	3	7	11	5	5	6	0	6	6	3	3	1	8	2	7	0	7	2	5	6	9	4	2	9	3	1	9	0	4	6	4					
		2.03%	3.46%	1.24%	1.74%	1.27%	0.37%	2.04%	2.15%	3.12%	2.96%	0.65%	3.17%	1.46%	0.52%	1.70%	5.81%	4.20%	2.89%	2.43%	2.26%	2.80%	2.51%	2.65%	2.85%	1.11%	2.94%	0.0%	4.72%	2.46%	3.94%	1.58%	0.63%	9.75%	1.01%	2.83%	0.0%	2.04%	2.77%	4.71%	2.56%	2.63%	1.88%	1.85%	3.62%	1.07%	0.62%	3.29%	0.0%	1.56%	1.71%	5.19%					
