Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Бурейская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246					
1	"Число избирателей, внесенных в список"	20221	946	919	2025	2006	598	764	132	2972	1343	620	525	1176	866	979	832	488	105	305	194	93	454	579	149	386	397	55	104	209					
2	Число полученных избирательных бюллетеней	19570	940	905	1960	1950	575	750	125	2730	1170	620	505	1170	865	930	850	430	105	310	245	95	455	585	150	390	385	60	105	210					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11340	502	383	1129	1086	277	403	86	1549	809	282	229	579	433	552	440	402	80	206	187	79	350	402	95	255	304	40	72	129					
5	"Число избирательных бюллетеней, выданных вне помещения"	675	16	76	64	32	27	37	0	16	17	32	7	39	28	28	72	19	6	2	7	0	19	24	7	46	31	5	1	17					
6	Число погашенных избирательных бюллетеней	7555	422	446	767	832	271	310	39	1165	344	306	269	552	404	350	338	9	19	102	51	16	86	159	48	89	50	15	32	64					
7	Число избирательных бюллетеней в переносных ящиках	675	16	76	64	32	27	37	0	16	17	32	7	39	28	28	72	19	6	2	7	0	19	24	7	46	31	5	1	17					
8	Число бюллетеней в стационарных ящиках для голосования	11323	502	383	1129	1086	277	403	86	1549	792	282	229	579	433	552	440	402	80	206	187	79	350	402	95	255	304	40	72	129					
9	Число недействительных избирательных бюллетеней	110	7	2	7	5	4	1	1	9	4	6	4	6	6	2	11	5	0	1	0	0	5	8	2	1	8	0	2	3					
10	Число действительных избирательных бюллетеней	11888	511	457	1186	1113	300	439	85	1556	805	308	232	612	455	578	501	416	86	207	194	79	364	418	100	300	327	45	71	143					
11	Число полученных открепительных  удостоверений	296	13	14	20	20	8	8	5	25	14	9	9	17	15	17	15	7	7	6	6	6	7	9	6	7	7	6	6	7					
12	Число выданных открепительных удостоверений	111	7	9	8	9	2	3	0	21	8	0	0	3	2	3	3	6	1	3	4	0	3	6	0	0	3	5	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	203	4	0	4	8	1	1	3	38	42	3	4	1	0	5	1	62	1	1	3	2	3	4	0	3	3	4	1	1					
14	Число неиспользованных открепительных удостоверений	185	6	5	12	11	6	5	5	4	6	9	9	14	13	14	12	1	6	3	2	6	4	3	6	7	4	1	6	5					
15	"Число открепительных удостоверений, выданных в ТИК"	4	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	598	23	36	99	91	20	17	1	55	19	15	26	28	20	20	31	9	1	6	5	0	17	19	1	13	12	4	4	6					
		4.98%	4.44%	7.84%	8.30%	8.14%	6.58%	3.86%	1.16%	3.51%	2.35%	4.78%	11.02%	4.53%	4.34%	3.45%	6.05%	2.14%	1.16%	2.88%	2.58%	0.00%	4.61%	4.46%	0.98%	4.32%	3.58%	8.89%	5.48%	4.11%					
19	. Малышкин Олег Александрович	481	28	17	37	43	19	19	6	54	23	20	14	28	21	24	18	23	3	3	8	0	16	12	5	15	13	3	3	6					
		4.01%	5.41%	3.70%	3.10%	3.85%	6.25%	4.32%	6.98%	3.45%	2.84%	6.37%	5.93%	4.53%	4.56%	4.14%	3.52%	5.46%	3.49%	1.44%	4.12%	0.00%	4.34%	2.82%	4.90%	4.98%	3.88%	6.67%	4.11%	4.11%					
20	. Миронов Сергей Михайлович	112	4	4	10	15	2	7	1	9	9	8	2	5	1	6	3	1	0	3	2	0	5	3	3	4	1	2	1	1					
		0.93%	0.77%	0.87%	0.84%	1.34%	0.66%	1.59%	1.16%	0.58%	1.11%	2.55%	0.85%	0.81%	0.22%	1.03%	0.59%	0.24%	0.00%	1.44%	1.03%	0.00%	1.36%	0.70%	2.94%	1.33%	0.30%	4.44%	1.37%	0.68%					
21	. Путин Владимир Владимирович	7983	300	307	773	652	213	301	62	1172	634	188	136	397	304	377	331	277	68	160	127	67	244	251	62	203	211	25	48	93					
		66.54%	57.92%	66.88%	64.79%	58.32%	70.07%	68.41%	72.09%	74.89%	78.37%	59.87%	57.63%	64.24%	65.94%	65.00%	64.65%	65.80%	79.07%	76.92%	65.46%	84.81%	66.12%	58.92%	60.78%	67.44%	62.99%	55.56%	65.75%	63.70%					
22	. Хакамада Ирина Муцуовна	327	20	16	47	32	5	7	3	60	23	6	6	17	12	10	9	12	2	5	5	2	4	5	4	5	3	1	0	6					
		2.73%	3.86%	3.49%	3.94%	2.86%	1.64%	1.59%	3.49%	3.83%	2.84%	1.91%	2.54%	2.75%	2.60%	1.72%	1.76%	2.85%	2.33%	2.40%	2.58%	2.53%	1.08%	1.17%	3.92%	1.66%	0.90%	2.22%	0.00%	4.11%					
23	. Харитонов Николай Михайлович	2156	127	66	193	253	36	82	10	153	71	65	44	129	96	137	102	88	12	22	45	10	74	123	25	57	83	10	12	31					
		17.97%	24.52%	14.38%	16.18%	22.63%	11.84%	18.64%	11.63%	9.78%	8.78%	20.70%	18.64%	20.87%	20.82%	23.62%	19.92%	20.90%	13.95%	10.58%	23.20%	12.66%	20.05%	28.87%	24.51%	18.94%	24.78%	22.22%	16.44%	21.23%					
																																			
24	Против всех	231	9	11	27	27	5	6	2	53	26	6	4	8	1	4	7	6	0	8	2	0	4	5	0	3	4	0	3	0					
		1.93%	1.74%	2.40%	2.26%	2.42%	1.64%	1.36%	2.33%	3.39%	3.21%	1.91%	1.69%	1.29%	0.22%	0.69%	1.37%	1.43%	0.00%	3.85%	1.03%	0.00%	1.08%	1.17%	0.00%	1.00%	1.19%	0.00%	4.11%	0.00%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
