Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																	
Дата голосования: 07.12.2003 0:00:00																	
																	
Наименование Избирательной комиссии:    Щигровская городская																	
																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																	
																	
		Сумма	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182					
1	"Число избирателей, внесенных в списки"	16124	1873	1724	1665	1691	1775	1670	1895	987	882	1962					
2	"Число бюллетеней, полученных участковыми комиссиями"	15183	1772	1629	1591	1577	1672	1582	1753	928	836	1843					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7808	873	887	872	814	787	765	1047	461	329	973					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	440	37	31	48	26	48	57	57	50	49	37					
6	Число погашенных бюллетеней	6935	862	711	671	737	837	760	649	417	458	833					
7	Число бюллетеней в переносных ящиках для голосования	440	37	31	48	26	48	57	57	50	49	37					
8	Число бюллетеней в стационарных ящиках для голосования	7807	873	887	872	814	786	765	1047	461	329	973					
9	Число недействительных бюллетеней	179	24	17	12	5	21	25	23	12	17	23					
10	Число действительных бюллетеней	8068	886	901	908	835	813	797	1081	499	361	987					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	11	11	11	11	11	11	11	6	6	11					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	52	1	3	10	7	10	8	8	1	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	16	5	0	4	0	1	0	6	0	0	0					
14	Число погашенных открепительных удостоверений	48	10	8	1	4	1	3	3	5	6	7					
15	Число открепительных удостоверений выданных ТИК	1	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
																	
18	"1. ""ЕДИНЕНИЕ"""	76	5	6	8	4	6	10	8	7	7	15					
		0.92%	0.54%	0.65%	0.86%	0.47%	0.71%	1.21%	0.72%	1.36%	1.85%	1.48%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	151	24	15	12	18	22	18	22	7	1	12					
		1.83%	2.63%	1.63%	1.30%	2.14%	2.63%	2.18%	1.99%	1.36%	0.26%	1.18%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	192	24	17	26	14	17	25	24	22	3	20					
		2.32%	2.63%	1.85%	2.82%	1.66%	2.03%	3.04%	2.17%	4.30%	0.79%	1.98%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	117	8	18	14	16	11	18	10	3	5	14					
		1.41%	0.87%	1.96%	1.52%	1.90%	1.31%	2.18%	0.90%	0.58%	1.32%	1.38%					
22	"5. ""За Русь Святую"""	62	8	6	8	7	4	6	7	3	6	7					
		0.75%	0.87%	0.65%	0.86%	0.83%	0.47%	0.72%	0.63%	0.58%	1.58%	0.69%					
23	"6. ""Объединенная Российская партия ""Русь"""	10	1	0	2	1	2	0	0	1	1	2					
		0.12%	0.10%	0.0%	0.21%	0.11%	0.23%	0.0%	0.0%	0.19%	0.26%	0.19%					
24	"7. ""Новый курс - Автомобильная Россия"""	64	8	7	6	6	7	13	6	2	6	3					
		0.77%	0.87%	0.76%	0.65%	0.71%	0.83%	1.58%	0.54%	0.39%	1.58%	0.29%					
25	"8. ""Народно-республиканская партия России"""	12	3	1	2	2	0	2	1	1	0	0					
		0.14%	0.32%	0.10%	0.21%	0.23%	0.0%	0.24%	0.09%	0.19%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	14	0	1	3	1	2	0	1	1	1	4					
		0.16%	0.0%	0.10%	0.32%	0.11%	0.23%	0.0%	0.09%	0.19%	0.26%	0.39%					
27	"10. ""Аграрная партия России"""	273	24	32	26	41	34	21	33	28	10	24					
		3.31%	2.63%	3.48%	2.82%	4.88%	4.07%	2.55%	2.98%	5.47%	2.64%	2.37%					
28	"11. ""Истинные патриоты России"""	3	0	0	0	0	2	0	1	0	0	0					
		0.03%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.09%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	187	22	20	18	20	10	20	37	14	7	19					
		2.26%	2.41%	2.17%	1.95%	2.38%	1.19%	2.43%	3.35%	2.73%	1.85%	1.88%					
30	"13. ""Демократическая партия России"""	15	4	1	2	2	1	0	2	0	0	3					
		0.18%	0.43%	0.10%	0.21%	0.23%	0.11%	0.0%	0.18%	0.0%	0.0%	0.29%					
31	"14. ""Великая Россия - Евразийский Союз"""	130	13	13	15	12	7	6	22	6	4	32					
		1.57%	1.42%	1.41%	1.63%	1.42%	0.83%	0.72%	1.99%	1.17%	1.05%	3.16%					
32	"15. ""Партия СЛОН"""	12	0	3	4	3	0	0	1	0	0	1					
		0.14%	0.0%	0.32%	0.43%	0.35%	0.0%	0.0%	0.09%	0.0%	0.0%	0.09%					
33	"16. ""Родина"" (народно-патриотический союз)"""	876	88	91	113	128	76	90	117	56	27	90					
		10.62%	9.67%	9.91%	12.28%	15.23%	9.11%	10.94%	10.59%	10.95%	7.14%	8.91%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	20	2	1	5	3	2	1	2	2	0	2					
		0.24%	0.21%	0.10%	0.54%	0.35%	0.23%	0.12%	0.18%	0.39%	0.0%	0.19%					
35	"18. ""ЛДПР"""	1250	139	148	121	147	161	135	145	77	45	132					
		15.15%	15.27%	16.12%	13.15%	17.5%	19.30%	16.42%	13.13%	15.06%	11.90%	13.06%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	178	20	30	19	13	11	21	22	12	8	22					
		2.15%	2.19%	3.26%	2.06%	1.54%	1.31%	2.55%	1.99%	2.34%	2.11%	2.17%					
37	"20. ""Политическая партия ""Единая Россия"""	2225	243	267	248	211	223	197	311	139	118	268					
		26.97%	26.70%	29.08%	26.95%	25.11%	26.73%	23.96%	28.17%	27.20%	31.21%	26.53%					
38	"21. ""Российская Конституционно-демократическая партия"""	16	1	2	2	3	0	1	1	4	0	2					
		0.19%	0.10%	0.21%	0.21%	0.35%	0.0%	0.12%	0.09%	0.78%	0.0%	0.19%					
39	"22. ""Развитие предпринимательства"""	11	2	1	1	0	0	1	1	2	0	3					
		0.13%	0.21%	0.10%	0.10%	0.0%	0.0%	0.12%	0.09%	0.39%	0.0%	0.29%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1894	208	180	224	148	191	195	264	100	105	279					
		22.96%	22.85%	19.60%	24.34%	17.61%	22.90%	23.72%	23.91%	19.56%	27.77%	27.62%					
																	
41	Против всех	280	39	41	29	35	24	17	43	12	7	33					
		3.39%	4.28%	4.46%	3.15%	4.16%	2.87%	2.06%	3.89%	2.34%	1.85%	3.26%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
