Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																				
Дата голосования: 07.12.2003 0:00:00																				
																				
Наименование Избирательной комиссии:    Дульдургинская																				
																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																				
																				
		Сумма	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29	УИК  30	УИК  31	УИК  32	УИК  33	УИК  34					
1	"Число избирателей, внесенных в списки"	9887	801	1304	2349	691	239	568	152	248	535	1079	716	494	711					
2	"Число бюллетеней, полученных участковыми комиссиями"	9794	722	1153	2270	736	239	560	155	256	536	1109	709	620	729					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5913	502	653	1162	437	178	367	119	176	340	683	420	360	516					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	983	23	86	66	106	17	29	16	22	73	196	112	134	103					
6	Число погашенных бюллетеней	2898	197	414	1042	193	44	164	20	58	123	230	177	126	110					
7	Число бюллетеней в переносных ящиках для голосования	983	23	86	66	106	17	29	16	22	73	196	112	134	103					
8	Число бюллетеней в стационарных ящиках для голосования	5909	501	652	1162	437	178	367	119	176	340	683	420	358	516					
9	Число недействительных бюллетеней	96	4	10	16	12	7	0	0	3	3	15	6	7	13					
10	Число действительных бюллетеней	6796	520	728	1212	531	188	396	135	195	410	864	526	485	606					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	99	5	5	10	12	5	7	3	5	7	20	6	7	7					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	81	5	4	9	12	3	5	1	4	2	20	4	5	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	35	0	4	9	0	0	0	0	6	6	5	1	1	3					
14	Число погашенных открепительных удостоверений	18	0	1	1	0	2	2	2	1	5	0	2	2	0					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	"1. ""ЕДИНЕНИЕ"""	158	6	24	18	17	2	4	2	5	10	28	6	15	21					
		2.29%	1.14%	3.25%	1.46%	3.13%	1.02%	1.01%	1.48%	2.52%	2.42%	3.18%	1.12%	3.04%	3.39%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	32	5	3	7	0	2	0	0	2	2	5	2	0	4					
		0.46%	0.95%	0.40%	0.57%	0.0%	1.02%	0.0%	0.0%	1.01%	0.48%	0.56%	0.37%	0.0%	0.64%					
