Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Киселевская городская																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	76227	1187	612	858	1625	1253	1666	1133	2759	811	2008	1992	2266	1096	205	1179	716	1809	1977	1485	1074	1002	1019	1904	1735	1364	430	1945	1020	2152	915	2000	1801	1517	278	1786	1674	1217	1442	1686	1801	1387	1786	1271	1709	1545	651	1150	1078	2054	796	1000	1143	944	1806	1508									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	78925	1205	620	900	1700	1290	1825	1165	2800	825	1995	2055	2430	1100	250	1185	720	2020	2040	1550	1080	1045	1030	1945	1735	1410	455	1950	1060	2205	920	2070	1855	1585	300	1850	1750	1350	1480	1730	1860	1425	1830	1320	1750	1590	690	1330	1180	2105	820	1035	1160	955	1885	1510									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	63212	1096	548	771	1340	991	1340	940	2434	696	1569	1663	1821	950	196	988	511	1591	1659	1251	990	878	934	1588	1373	1173	363	1580	867	1715	739	1525	1634	1212	229	1344	1446	1158	1336	1494	1766	888	1277	1111	1414	1059	557	1057	803	1553	680	764	941	700	1521	1188									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3503	0	8	20	122	52	70	34	77	25	100	43	103	12	9	69	123	50	15	55	36	10	39	9	90	22	45	90	53	60	70	37	29	21	41	95	51	58	47	87	17	38	40	134	66	287	20	57	182	194	65	87	74	100	76	89									
6	Число погашенных избирательных бюллетеней	12210	109	64	109	238	247	415	191	289	104	326	349	506	138	45	128	86	379	366	244	54	157	57	348	272	215	47	280	140	430	111	508	192	352	30	411	253	134	97	149	77	499	513	75	270	244	113	216	195	358	75	184	145	155	288	233									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3494	0	8	20	122	51	70	34	77	25	100	43	102	12	9	69	123	50	15	55	36	10	39	8	88	22	45	90	53	60	70	37	29	21	41	95	51	58	47	87	17	38	40	134	66	286	20	57	182	193	65	87	74	99	76	88									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	63023	1072	548	771	1340	990	1337	932	2434	694	1562	1658	1811	950	196	987	511	1582	1641	1251	990	874	934	1581	1371	1173	362	1580	867	1713	739	1520	1634	1212	229	1344	1432	1158	1336	1494	1766	856	1277	1111	1404	1053	554	1056	803	1553	680	764	941	695	1520	1180									
9	Число недействительных избирательных бюллетеней	68	0	0	0	2	0	0	0	2	0	7	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	10	3	0	0	3	0	21	0	0	0	0	1	0	2	1	5	0	0	2	1	0									
10	Число действительных избирательных бюллетеней	66449	1072	556	791	1460	1041	1407	966	2509	719	1655	1699	1913	962	205	1056	634	1632	1655	1306	1026	884	973	1589	1457	1195	407	1670	920	1772	809	1555	1663	1233	270	1429	1480	1216	1383	1578	1783	873	1317	1245	1470	1339	573	1113	983	1745	740	851	1015	792	1595	1268									
