Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																												
Дата голосования: 04.12.2011																																												
																																												
Наименование Избирательной комиссии:    Балейская																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514					
1	"Число избирателей, внесенных в список избирателей"	16536	394	779	1312	957	1108	791	835	762	414	357	774	765	732	255	964	379	178	166	92	218	157	203	435	92	113	96	894	657	246	293	120	121	495	45	85	92	160					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16809	399	805	1328	925	1124	767	919	781	425	364	784	788	765	257	968	381	179	167	95	226	162	203	441	109	115	101	906	657	248	291	120	120	499	50	87	90	163					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8618	162	341	629	353	496	378	364	292	132	188	290	292	330	121	569	262	157	112	71	173	114	142	230	88	88	65	458	490	224	171	88	101	366	40	62	58	121					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	820	24	45	8	77	40	15	16	35	13	7	32	63	28	8	123	15	5	16	3	2	10	13	33	4	9	5	55	17	19	34	2	5	15	0	7	10	7					
6	Число погашенных избирательных бюллетеней	7371	213	419	691	495	588	374	539	454	280	169	462	433	407	128	276	104	17	39	21	51	38	48	178	17	18	31	393	150	5	86	30	14	118	10	18	22	35					
7	Число избирательных бюллетеней в переносных ящиках для голосования	820	24	45	8	77	40	15	16	35	13	7	32	63	28	8	123	15	5	16	3	2	10	13	33	4	9	5	55	17	19	34	2	5	15	0	7	10	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8618	162	341	629	353	496	378	364	292	132	188	290	292	330	121	569	262	157	112	71	173	114	142	230	88	88	65	458	490	224	171	88	101	366	40	62	58	121					
9	Число недействительных избирательных бюллетеней	135	2	1	10	10	16	3	1	7	5	0	5	4	2	0	11	2	1	2	0	0	0	2	4	7	0	0	11	10	1	4	0	2	8	0	3	0	1					
10	Число действительных избирательных бюллетеней	9303	184	385	627	420	520	390	379	320	140	195	317	351	356	129	681	275	161	126	74	175	124	153	259	85	97	70	502	497	242	201	90	104	373	40	66	68	127					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	379	9	21	29	20	25	20	19	17	10	8	19	17	18	6	21	8	4	4	2	5	3	5	10	2	3	2	20	15	5	6	3	3	11	1	2	2	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	160	3	21	8	9	6	11	11	12	6	5	5	6	5	0	8	0	0	0	0	4	3	0	7	2	0	2	8	5	1	0	0	2	4	0	1	2	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	52	2	0	2	3	2	4	1	5	0	0	0	2	1	0	3	1	1	1	0	1	0	3	1	1	0	1	0	1	1	0	1	1	9	1	1	0	2					
14	Число погашенных неиспользованных открепительных удостоверений	219	6	0	21	11	19	9	8	5	4	3	14	11	13	6	13	8	4	4	2	1	0	5	3	0	3	0	12	10	4	6	3	1	7	1	1	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	0	1	1	1	2	1	3	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
