Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																						
Дата голосования: 02.12.2007																																																						
																																																						
Наименование Избирательной комиссии:    Тальменская																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548					
1	"Число избирателей, внесенных в списки избирателей"	37351	1248	292	321	569	353	702	89	282	602	303	1653	158	91	194	956	360	350	201	1569	533	295	1700	1704	1596	1401	429	271	1480	369	146	528	386	201	51	1290	1282	1334	1310	1258	1349	1111	1185	1167	1272	1173	1138	1099					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	34544	1100	300	320	550	350	680	84	270	600	305	1600	152	93	190	940	350	350	198	1500	510	290	1500	1500	1400	1300	445	250	1300	380	145	510	380	200	52	1150	1150	1200	1200	1200	1200	1050	1050	1050	1150	1050	1050	950					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	20665	626	179	191	387	215	416	70	190	430	204	1098	111	68	128	562	209	185	97	781	313	210	883	965	763	745	176	144	1011	239	95	300	232	134	30	738	632	696	708	661	515	621	632	597	608	566	723	581					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2201	83	16	53	27	38	52	6	8	46	20	59	19	4	11	43	38	30	29	64	61	9	36	33	43	41	187	27	48	32	6	51	17	15	7	47	49	122	33	36	333	33	25	46	59	59	38	62					
6	Число погашенных избирательных бюллетеней	11678	391	105	76	136	97	212	8	72	124	81	443	22	21	51	335	103	135	72	655	136	71	581	502	594	514	82	79	241	109	44	159	131	51	15	365	469	382	459	503	352	396	393	407	483	425	289	307					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2201	83	16	53	27	38	52	6	8	46	20	59	19	4	11	43	38	30	29	64	61	9	36	33	43	41	187	27	48	32	6	51	17	15	7	47	49	122	33	36	333	33	25	46	59	59	38	62					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20664	626	179	191	387	215	416	70	190	430	204	1098	111	68	128	562	209	185	97	781	313	210	883	965	763	745	176	144	1011	239	95	300	232	134	30	738	632	696	707	661	515	621	632	597	608	566	723	581					
9	Число недействительных избирательных бюллетеней	204	3	6	2	5	5	9	2	2	8	2	4	0	0	0	3	0	1	0	7	6	1	10	3	11	16	10	0	5	3	2	4	0	3	0	5	8	14	7	4	5	3	5	5	0	3	6	6					
10	Число действительных избирательных бюллетеней	22661	706	189	242	409	248	459	74	196	468	222	1153	130	72	139	602	247	214	126	838	368	218	909	995	795	770	353	171	1054	268	99	347	249	146	37	780	673	804	733	693	843	651	652	638	667	622	755	637					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	499	10	10	5	5	5	23	2	5	5	5	15	5	5	5	15	10	5	5	15	10	5	20	20	25	20	5	5	20	15	5	5	5	5	5	16	10	30	20	10	10	12	10	10	10	5	16	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	333	10	10	1	2	0	20	0	3	0	0	6	0	0	1	12	0	0	0	7	10	2	17	10	19	14	2	2	17	13	5	4	0	0	0	16	10	27	19	7	5	12	6	10	5	4	15	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	277	7	2	2	3	2	9	1	11	4	1	9	3	0	2	6	2	1	2	7	4	4	11	5	9	6	4	7	14	10	3	0	3	2	3	14	9	17	5	13	11	7	1	6	9	3	19	4					
14	Число погашенных неиспользованных открепительных удостоверений	166	0	0	4	3	5	3	2	2	5	5	9	5	5	4	3	10	5	5	8	0	3	3	10	6	6	3	3	3	2	0	1	5	5	5	0	0	3	1	3	5	0	4	0	5	1	1	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																						
18	1.Политическая партия «Аграрная партия России»	842	39	5	38	25	15	12	2	9	14	6	30	0	1	4	21	11	15	3	50	18	1	35	37	20	15	20	2	33	9	0	40	10	11	2	21	14	26	27	19	29	9	27	20	17	31	21	28					
		3.68%	5.50%	2.56%	15.57%	6.04%	5.93%	2.56%	2.63%	4.55%	2.94%	2.68%	2.59%	0.00%	1.39%	2.88%	3.47%	4.45%	6.98%	2.38%	5.92%	4.81%	0.46%	3.81%	3.71%	2.48%	1.91%	5.51%	1.17%	3.12%	3.32%	0.00%	11.40%	4.02%	7.38%	5.41%	2.68%	2.06%	3.18%	3.65%	2.73%	3.42%	1.38%	4.11%	3.11%	2.55%	4.96%	2.76%	4.35%					
19	2.Всероссийская политическая партия «Гражданская Сила»	96	1	1	0	3	6	0	1	0	1	0	0	0	0	1	3	1	0	0	10	0	1	5	7	0	0	5	1	2	0	0	0	3	2	2	2	3	5	6	5	3	2	4	0	1	0	9	0					
		0.42%	0.14%	0.51%	0.00%	0.72%	2.37%	0.00%	1.32%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.72%	0.50%	0.40%	0.00%	0.00%	1.18%	0.00%	0.46%	0.54%	0.70%	0.00%	0.00%	1.38%	0.58%	0.19%	0.00%	0.00%	0.00%	1.20%	1.34%	5.41%	0.25%	0.44%	0.61%	0.81%	0.72%	0.35%	0.31%	0.61%	0.00%	0.15%	0.00%	1.18%	0.00%					
20	3.Политическая партия «Демократическая партия России»	27	0	0	0	1	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	3	1	1	0	2	0	1	1	0	0	1	1	0	0	0	1	0	2	0	0	2	0	0	2	0	0					
		0.12%	0.00%	0.00%	0.00%	0.24%	0.79%	0.21%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.37%	0.33%	0.10%	0.12%	0.00%	0.55%	0.00%	0.09%	0.37%	0.00%	0.00%	0.40%	0.67%	0.00%	0.00%	0.00%	0.12%	0.00%	0.29%	0.00%	0.00%	0.30%	0.00%	0.00%	0.32%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3815	92	39	31	51	25	47	12	28	40	19	90	8	6	15	106	36	79	9	154	64	23	146	233	119	164	61	51	189	29	15	58	43	10	4	184	124	192	134	96	168	119	93	131	108	113	114	143					
		16.68%	12.98%	20.00%	12.70%	12.32%	9.88%	10.04%	15.79%	14.14%	8.40%	8.48%	7.78%	6.15%	8.33%	10.79%	17.52%	14.57%	36.74%	7.14%	18.22%	17.11%	10.50%	15.89%	23.35%	14.76%	20.87%	16.80%	29.82%	17.85%	10.70%	14.85%	16.52%	17.27%	6.71%	10.81%	23.44%	18.21%	23.47%	18.11%	13.77%	19.81%	18.20%	14.16%	20.37%	16.19%	18.08%	14.98%	22.24%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	153	2	0	0	2	1	3	0	2	5	0	11	0	0	1	7	2	1	0	6	5	0	5	2	8	12	2	0	4	0	0	1	1	1	0	8	7	6	5	3	2	9	3	10	4	0	7	5					
		0.67%	0.28%	0.00%	0.00%	0.48%	0.40%	0.64%	0.00%	1.01%	1.05%	0.00%	0.95%	0.00%	0.00%	0.72%	1.16%	0.81%	0.47%	0.00%	0.71%	1.34%	0.00%	0.54%	0.20%	0.99%	1.53%	0.55%	0.00%	0.38%	0.00%	0.00%	0.28%	0.40%	0.67%	0.00%	1.02%	1.03%	0.73%	0.68%	0.43%	0.24%	1.38%	0.46%	1.56%	0.60%	0.00%	0.92%	0.78%					
