Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																														
Дата голосования: 04.12.2011																														
																														
Наименование Избирательной комиссии:    Андроповская																														
																														
Сводная таблица результатов выборов																														
																														
		Сумма	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193					
1	"Число избирателей, внесенных в список избирателей"	24528	2402	878	2810	2427	714	1603	291	433	767	927	298	1061	327	570	1010	461	291	1329	976	1417	1091	1239	1206					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24400	2400	900	2800	2350	700	1600	290	425	775	930	295	1050	320	575	1000	450	280	1320	975	1400	1090	1250	1225					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10470	1104	342	1105	990	296	680	124	190	353	427	83	531	129	277	438	215	123	569	417	666	457	467	487					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1433	38	36	64	172	42	160	38	51	64	37	25	74	24	32	36	17	10	45	115	72	83	100	98					
6	Число погашенных избирательных бюллетеней	12497	1258	522	1631	1188	362	760	128	184	358	466	187	445	167	266	526	218	147	706	443	662	550	683	640					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1433	38	36	64	172	42	160	38	51	64	37	25	74	24	32	36	17	10	45	115	72	83	100	98					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10468	1104	342	1105	990	296	679	124	190	353	427	83	531	129	277	438	215	123	569	417	666	457	467	486					
9	Число недействительных избирательных бюллетеней	308	28	15	32	26	6	19	5	11	10	12	3	12	4	8	17	4	4	12	11	23	12	11	23					
10	Число действительных избирательных бюллетеней	11593	1114	363	1137	1136	332	820	157	230	407	452	105	593	149	301	457	228	129	602	521	715	528	556	561					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	285	30	10	25	25	5	15	5	5	10	15	5	15	5	10	15	5	5	15	10	15	15	15	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	113	25	7	11	6	3	15	1	0	5	4	0	9	0	0	3	0	0	3	5	9	2	0	5					
