Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																									
Дата голосования: 07.12.2003 0:00:00																									
																									
Наименование Избирательной комиссии:    Кочковская																									
																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																									
																									
		Сумма	УИК  472	УИК  473	УИК  474	УИК  475	УИК  476	УИК  477	УИК  478	УИК  479	УИК  480	УИК  481	УИК  482	УИК  483	УИК  484	УИК  485	УИК  486	УИК  487	УИК  488	УИК  489					
1	"Число избирателей, внесенных в списки"	11875	1085	731	303	982	897	477	109	79	333	1408	203	700	228	294	221	582	2155	1088					
2	"Число бюллетеней, полученных участковыми комиссиями"	12000	1076	1059	294	965	905	465	116	91	341	1410	204	694	231	288	217	576	2031	1037					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7950	699	697	214	653	567	363	109	70	244	780	133	523	150	199	151	404	1319	675					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	722	70	34	16	59	78	13	0	9	27	176	30	37	16	11	21	48	64	13					
6	Число погашенных бюллетеней	3328	307	328	64	253	260	89	7	12	70	454	41	134	65	78	45	124	648	349					
7	Число бюллетеней в переносных ящиках для голосования	722	70	34	16	59	78	13	0	9	27	176	30	37	16	11	21	48	64	13					
8	Число бюллетеней в стационарных ящиках для голосования	7945	699	697	214	653	567	363	109	70	244	775	133	523	150	199	151	404	1319	675					
9	Число недействительных бюллетеней	238	10	27	5	34	16	4	0	12	12	16	9	17	13	8	5	11	28	11					
10	Число действительных бюллетеней	8429	759	704	225	678	629	372	109	67	259	935	154	543	153	202	167	441	1355	677					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	5	5	3	5	5	5	3	3	5	5	3	3	3	3	3	5	21	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	61	2	2	0	0	3	0	0	1	5	1	3	2	0	1	1	4	21	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	33	0	1	1	5	2	1	0	3	2	2	1	4	0	2	1	1	6	1					
14	Число погашенных открепительных удостоверений	34	3	3	3	0	2	5	3	2	0	4	0	1	3	2	2	1	0	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
18	"1. ""ЕДИНЕНИЕ"""	157	5	15	12	14	10	6	3	1	9	13	4	10	2	11	4	7	20	11					
		1.81%	0.65%	2.05%	5.21%	1.96%	1.55%	1.59%	2.75%	1.26%	3.32%	1.36%	2.45%	1.78%	1.20%	5.23%	2.32%	1.54%	1.44%	1.59%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	155	13	14	5	10	17	4	1	2	0	13	1	5	2	2	1	4	48	13					
		1.78%	1.69%	1.91%	2.17%	1.40%	2.63%	1.06%	0.91%	2.53%	0.0%	1.36%	0.61%	0.89%	1.20%	0.95%	0.58%	0.88%	3.47%	1.88%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	240	21	14	6	23	15	11	1	1	8	23	7	12	5	8	6	12	50	17					
		2.76%	2.73%	1.91%	2.60%	3.23%	2.32%	2.92%	0.91%	1.26%	2.95%	2.41%	4.29%	2.14%	3.01%	3.80%	3.48%	2.65%	3.61%	2.47%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	164	10	13	6	17	11	6	0	1	2	11	0	6	2	6	1	5	46	21					
