Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
"Наименование Избирательной комиссии:    Прокопьевск, Центральная"																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917					
1	"Число избирателей, внесенных в списки"	57229	1611	2045	44	83	2447	2007	2437	2365	619	152	48	1538	2453	724	2447	66	1020	2147	64	1192	1342	1638	2031	2319	2426	1911	40	2089	2556	2060	1065	1803	192	2719	1480	1792	2031	2226					
2	"Число бюллетеней, полученных участковыми комиссиями"	55175	1600	2000	45	90	2400	2000	2400	2300	550	200	60	1400	2300	700	2300	70	1000	2000	100	1100	1300	1600	2000	2200	2400	1900	50	2000	2400	2000	1000	1800	210	2600	1400	1700	1900	2100					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	25962	912	1044	44	58	1301	926	1129	1113	288	152	48	712	1054	262	1174	66	494	830	64	501	453	594	683	963	864	848	40	962	1042	1111	405	797	192	1188	639	938	1057	1014					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1395	21	41	0	25	58	33	21	43	6	0	0	27	54	32	40	0	28	48	0	34	33	25	60	72	29	84	0	72	36	87	19	42	0	108	18	57	74	68					
6	Число погашенных бюллетеней	27818	667	915	1	7	1041	1041	1250	1144	256	48	12	661	1192	406	1086	4	478	1122	36	565	814	981	1257	1165	1507	968	10	966	1322	802	576	961	18	1304	743	705	769	1018					
7	Число бюллетеней в переносных ящиках для голосования	1395	21	41	0	25	58	33	21	43	6	0	0	27	54	32	40	0	28	48	0	34	33	25	60	72	29	84	0	72	36	87	19	42	0	108	18	57	74	68					
8	Число бюллетеней в стационарных ящиках для голосования	25883	912	1044	44	58	1301	920	1126	1113	288	152	48	712	1054	262	1173	66	494	830	64	501	453	566	683	891	891	848	40	962	1042	1111	405	797	192	1188	639	938	1061	1014					
9	Число недействительных бюллетеней	423	0	18	0	0	23	7	1	20	6	4	3	9	27	3	20	0	6	10	1	10	10	21	24	19	32	3	0	32	20	8	15	0	0	13	6	19	14	19					
10	Число действительных бюллетеней	26855	933	1067	44	83	1336	946	1146	1136	288	148	45	730	1081	291	1193	66	516	868	63	525	476	570	719	944	888	929	40	1002	1058	1190	409	839	192	1283	651	976	1121	1063					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	636	20	23	0	0	31	22	24	23	12	0	0	18	24	18	25	0	18	20	0	18	18	18	24	24	20	18	0	20	25	20	18	20	0	25	15	29	24	22					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	424	9	23	0	0	30	15	13	10	3	0	0	7	9	2	19	0	3	15	0	7	11	13	10	13	15	14	0	13	21	20	10	15	0	21	11	27	24	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	560	1	12	26	49	10	0	9	2	8	68	12	1	3	2	15	43	3	10	45	0	10	6	6	8	8	4	20	6	11	7	5	7	55	2	23	29	22	12					
14	Число погашенных открепительных удостоверений	212	11	0	0	0	1	7	11	13	9	0	0	11	15	16	6	0	15	5	0	11	7	5	14	11	5	4	0	7	4	0	8	5	0	4	4	2	0	1					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
18	"1. ""ЕДИНЕНИЕ"""	260	1	11	0	0	16	4	2	16	4	2	0	12	11	1	3	0	4	9	0	3	5	10	12	13	9	11	0	16	3	12	6	12	2	13	8	8	12	9					
