Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																								
Дата голосования: 02.12.2007																																								
																																								
Наименование Избирательной комиссии:    Михайловская																																								
																																								
Сводная таблица результатов выборов																																								
																																								
		Сумма	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460					
1	"Число избирателей, внесенных в списки избирателей"	12541	546	1164	660	1488	739	1194	615	219	54	195	277	86	231	59	69	80	264	113	47	370	41	92	576	121	98	262	518	161	642	633	158	86	683					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11636	500	1000	600	1030	700	1000	615	223	57	200	280	84	235	60	67	82	280	112	49	380	40	95	580	123	111	271	506	160	657	616	155	88	680					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9492	381	738	401	959	534	899	448	192	53	160	246	77	184	50	59	73	221	93	42	315	40	90	467	113	89	201	448	151	508	508	152	67	533					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	938	47	91	69	68	62	90	77	14	1	15	25	7	28	4	8	7	32	11	5	20	0	2	39	4	6	23	24	3	67	28	1	9	51					
6	Число погашенных избирательных бюллетеней	1206	72	171	130	3	104	11	90	17	3	25	9	0	23	6	0	2	27	8	2	45	0	3	74	6	16	47	34	6	82	80	2	12	96					
7	Число избирательных бюллетеней в переносных ящиках для голосования	938	47	91	69	68	62	90	77	14	1	15	25	7	28	4	8	7	32	11	5	20	0	2	39	4	6	23	24	3	67	28	1	9	51					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9492	381	738	401	959	534	899	448	192	53	160	246	77	184	50	59	73	221	93	42	315	40	90	467	113	89	201	448	151	508	508	152	67	533					
9	Число недействительных избирательных бюллетеней	81	3	5	0	7	8	11	4	1	2	2	6	1	0	0	0	0	0	0	0	7	0	2	0	0	0	0	3	0	6	5	6	0	2					
10	Число действительных избирательных бюллетеней	10349	425	824	470	1020	588	978	521	205	52	173	265	83	212	54	67	80	253	104	47	328	40	90	506	117	95	224	469	154	569	531	147	76	582					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	99	4	1	0	9	8	7	8	3	0	4	3	0	4	0	2	0	3	0	0	3	0	1	4	1	3	2	5	2	8	5	2	2	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	89	4	0	0	8	8	7	7	3	0	4	3	0	4	0	0	0	3	0	0	1	0	1	4	1	3	1	5	0	8	5	2	2	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	17	2	1	0	2	0	4	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	10	0	1	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
