Выборы Президента Российской Федерации																																																																																					
Дата голосования: 18.03.2018																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №20																																																																																					
																																																																																					
Сводная таблица итогов голосования																																																																																					
																																																																																					
	Число участковых избирательных комиссий	74																																																																																			
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	74																																																																																			
																																																																																					
		Сумма	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022									
1	"Число избирателей, включенных в список избирателей"	150228	2119	2420	2318	1748	2649	2283	2044	1443	2619	2511	1307	2426	2528	2519	2656	1394	2013	2694	2270	2576	2178	1582	1849	1697	1722	2179	1396	2095	2737	2529	2035	1448	1613	1760	184	2399	1961	1585	351	1649	1537	1156	1051	2160	887	2339	2506	3099	1301	2181	2035	2465	2593	1392	2502	2321	2247	2013	1732	2391	2190	2487	2702	2518	2274	2670	2544	2145	2195	2789	2096	1901	1956	367									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	142307	1800	2500	2000	1500	2500	2500	2000	1000	2500	2500	1000	2500	2500	2500	2500	1300	2000	2500	2000	2500	2000	1500	2000	1500	1500	2000	1000	2000	2500	2500	2000	1500	1500	2000	185	2000	1500	1500	352	1500	1200	1000	1000	1500	800	2000	2000	3000	1500	2000	2000	2500	2500	1100	2500	2500	2500	2500	1700	2500	2000	2000	2500	2500	2500	2500	2500	2000	2000	2500	2000	2000	2000	370									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	95756	1548	1551	1455	1110	1680	1538	1316	876	1589	1560	827	1492	1628	1512	1688	924	1176	1592	1377	1610	1478	1099	1201	1148	1077	1454	750	1539	1849	1587	1294	1064	1004	1163	121	1581	1238	1090	168	1065	978	720	571	1331	576	1381	1463	2181	811	1546	1283	1273	1542	948	1465	1560	1614	1561	1246	1770	1582	1634	1618	1635	1378	1535	1364	1448	1486	1805	790	1220	1230	192									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3585	41	58	43	54	35	58	39	10	66	57	21	78	53	49	55	53	53	41	106	117	48	72	10	7	129	70	99	37	45	16	25	6	26	71	63	42	54	55	173	31	128	66	36	42	41	40	41	15	53	23	44	58	79	27	3	24	4	1	41	33	55	52	4	3	11	8	61	9	8	9	125	73	49	153									
6	Число погашенных избирательных бюллетеней	42964	211	891	502	336	785	904	645	114	845	883	152	930	819	939	757	323	771	867	517	773	474	329	789	345	294	476	151	424	606	897	681	430	470	766	1	377	208	355	11	404	94	214	393	125	183	579	496	804	636	431	673	1169	879	125	1032	916	882	938	413	697	363	314	878	862	1111	957	1075	543	506	686	1085	707	721	25									
7	Число избирательных бюллетеней в переносных ящиках для голосования	3583	41	57	43	54	35	58	39	10	66	57	21	78	53	49	55	53	53	41	106	117	48	72	10	7	129	70	99	37	45	16	25	6	26	71	63	42	54	55	173	31	128	66	36	42	41	40	41	15	53	23	44	58	79	27	3	23	4	1	41	33	55	52	4	3	11	8	61	9	8	9	125	73	49	153									
8	Число бюллетеней в стационарных ящиках для голосования	95672	1548	1551	1452	1110	1680	1538	1316	876	1585	1554	825	1492	1628	1512	1683	924	1176	1589	1377	1610	1477	1099	1199	1148	1076	1454	750	1539	1849	1585	1294	1062	1004	1160	121	1580	1236	1088	168	1065	976	720	571	1331	575	1381	1463	2166	811	1546	1280	1273	1542	948	1465	1560	1614	1561	1246	1770	1582	1631	1609	1634	1378	1535	1364	1447	1481	1800	790	1220	1230	192									
