Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
Наименование Избирательной комиссии:    Мариинская 																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	39076	1354	1517	1324	1290	1793	1312	1171	1540	1216	1501	1238	1418	1069	1486	1323	1485	1509	1641	535	1507	483	520	90	830	227	178	198	279	281	127	1004	143	132	738	206	267	820	114	250	79	216	80	174	121	460	197	309	45	109	470	123	1039	1070	159	224	85									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39250	1356	1550	1330	1290	1800	1320	1160	1530	1220	1500	1330	1430	1100	1470	1240	1490	1590	1650	520	1380	460	531	89	837	236	191	198	287	280	125	1026	155	130	752	203	271	838	117	264	77	217	77	178	118	473	193	309	47	105	488	128	1049	1073	158	230	84									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31837	1123	1241	1104	1150	1376	1140	918	1305	989	1284	982	1220	783	1108	1015	1308	1047	1110	421	964	338	420	88	815	206	161	177	262	204	59	929	103	117	685	199	251	581	99	212	77	200	76	168	115	402	182	292	45	96	452	75	876	865	125	213	84									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3960	61	85	104	37	40	40	68	66	37	82	157	80	212	264	211	59	280	359	45	416	103	86	0	5	9	14	15	16	74	66	45	37	11	38	0	11	189	6	31	0	9	0	0	0	44	8	15	0	9	9	46	141	184	28	8	0									
6	Число погашенных избирательных бюллетеней	3453	172	224	122	103	384	140	174	159	194	134	191	130	105	98	14	123	263	181	54	0	19	25	1	17	21	16	6	9	2	0	52	15	2	29	4	9	68	12	21	0	8	1	10	3	27	3	2	2	0	27	7	32	24	5	9	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3960	61	85	104	37	40	40	68	66	37	82	157	80	212	264	211	59	280	359	45	416	103	86	0	5	9	14	15	16	74	66	45	37	11	38	0	11	189	6	31	0	9	0	0	0	44	8	15	0	9	9	46	141	184	28	8	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31797	1123	1241	1104	1150	1336	1140	918	1305	989	1284	982	1220	783	1108	1015	1308	1047	1110	421	964	338	420	88	815	206	161	177	262	204	59	929	103	117	685	199	251	581	99	212	77	200	76	168	115	402	182	292	45	96	452	75	876	865	125	213	84									
9	Число недействительных избирательных бюллетеней	240	8	0	20	7	32	16	2	0	11	22	14	18	9	18	5	12	16	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0									
10	Число действительных избирательных бюллетеней	35517	1176	1326	1188	1180	1344	1164	984	1371	1015	1344	1125	1282	986	1354	1221	1355	1311	1469	466	1380	441	506	88	820	215	174	192	278	278	125	964	140	128	723	199	262	757	105	243	77	209	76	168	115	445	190	307	45	105	461	121	1017	1049	153	216	84									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	982	30	30	30	30	35	30	30	31	30	25	30	30	30	30	35	33	33	33	19	19	19	20	10	15	15	10	10	10	10	10	20	10	10	10	10	10	10	5	10	5	10	5	10	10	10	10	10	5	10	10	10	15	15	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	273	5	6	14	14	14	6	7	6	6	13	7	9	4	6	13	5	9	13	7	5	2	0	0	15	0	1	0	4	1	0	20	10	2	6	0	6	10	5	10	0	0	2	0	0	1	2	0	0	0	0	0	6	1	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	171	1	3	6	3	0	0	3	2	12	6	5	3	1	6	8	4	2	5	3	11	1	4	3	1	1	1	5	3	3	2	2	0	3	1	3	1	5	3	0	2	3	3	0	4	5	5	1	2	3	6	1	3	4	2	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	709	25	24	16	16	21	24	23	25	24	12	23	21	26	24	22	28	24	20	12	14	17	20	10	0	15	9	10	6	9	10	0	0	8	4	10	4	0	0	0	5	10	3	10	10	9	8	10	5	10	10	10	9	14	10	10	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	1	1	0	1	0	1	2	1	0	0	4	0	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0									
