Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Спасская городская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899					
1	"Число избирателей, внесенных в список"	38766	1841	2360	1638	2029	1031	1492	1912	986	1715	2441	1245	644	490	640	1225	249	767	347	298	1207	1097	1348	1644	1416	1929	823	1848	1941	581	1582					
2	Число полученных избирательных бюллетеней	36660	1600	2100	1500	2000	1000	1500	1800	900	1800	2300	1200	600	450	600	1200	210	700	300	300	1100	1000	1100	1500	1400	1900	800	1900	1800	600	1500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23386	1136	1594	1070	1118	610	907	1161	594	1110	1424	790	280	216	369	798	127	412	198	166	672	607	933	1033	902	1167	496	1027	1071	318	1080					
5	"Число избирательных бюллетеней, выданных вне помещения"	1719	69	66	66	140	15	61	48	23	41	83	75	130	114	44	12	23	93	64	40	24	23	24	35	33	42	16	107	117	66	25					
6	Число погашенных избирательных бюллетеней	11555	395	440	364	742	375	532	591	283	649	793	335	190	120	187	390	60	195	38	94	404	370	143	432	465	691	288	766	612	216	395					
7	Число избирательных бюллетеней в переносных ящиках	1719	69	66	66	140	15	61	48	23	41	83	75	130	114	44	12	23	93	64	40	24	23	24	35	33	42	16	107	117	66	25					
8	Число бюллетеней в стационарных ящиках для голосования	23375	1136	1592	1070	1118	610	901	1161	594	1110	1424	790	280	216	368	798	127	412	198	166	672	607	933	1031	902	1167	496	1027	1071	318	1080					
9	Число недействительных избирательных бюллетеней	299	20	20	13	20	10	11	15	3	6	11	10	1	2	6	13	0	22	5	1	5	6	10	6	15	22	5	14	9	8	10					
10	Число действительных избирательных бюллетеней	24795	1185	1638	1123	1238	615	951	1194	614	1145	1496	855	409	328	406	797	150	483	257	205	691	624	947	1060	920	1187	507	1120	1179	376	1095					
11	Число полученных открепительных  удостоверений	924	35	55	25	50	33	48	50	39	50	50	42	15	5	13	22	5	12	5	10	20	25	30	39	48	53	20	35	35	14	41					
12	Число выданных открепительных удостоверений	773	28	42	25	50	25	33	45	24	48	47	33	10	3	11	22	2	11	5	6	20	21	22	36	35	45	18	30	24	13	39					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	594	43	39	158	14	15	10	25	8	6	28	20	5	9	13	13	1	7	2	4	14	5	14	10	4	20	15	11	70	5	6					
14	Число неиспользованных открепительных удостоверений	151	7	13	0	0	8	15	5	15	2	3	9	5	2	2	0	3	1	0	4	0	4	8	3	13	8	2	5	11	1	2					
15	"Число открепительных удостоверений, выданных в ТИК"	13	0	0	1	0	0	1	0	0	2	2	1	0	0	0	0	0	0	0	0	1	0	2	1	1	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																					
18	. Глазьев Сергей Юрьевич	1193	70	68	67	55	45	37	43	28	68	68	49	20	17	18	34	9	38	10	11	21	24	41	44	48	73	25	58	51	21	32					
		4.75%	5.81%	4.10%	5.90%	4.37%	7.20%	3.85%	3.56%	4.54%	5.91%	4.51%	5.66%	4.88%	5.15%	4.37%	4.20%	6.00%	7.52%	3.82%	5.34%	3.02%	3.81%	4.28%	4.13%	5.13%	6.04%	4.88%	5.11%	4.29%	5.47%	2.90%					
19	. Малышкин Олег Александрович	1285	52	89	57	68	29	71	66	33	42	59	33	21	24	32	49	8	29	27	16	33	38	45	54	42	49	18	60	65	13	63					
		5.12%	4.32%	5.37%	5.02%	5.41%	4.64%	7.38%	5.46%	5.35%	3.65%	3.92%	3.82%	5.12%	7.27%	7.77%	6.05%	5.33%	5.74%	10.31%	7.77%	4.74%	6.03%	4.70%	5.07%	4.49%	4.05%	3.52%	5.29%	5.47%	3.39%	5.70%					
20	. Миронов Сергей Михайлович	326	13	20	15	19	12	13	22	7	11	20	11	4	4	3	8	0	12	5	4	8	15	7	18	14	10	6	14	11	6	14					
		1.30%	1.08%	1.21%	1.32%	1.51%	1.92%	1.35%	1.82%	1.13%	0.96%	1.33%	1.27%	0.98%	1.21%	0.73%	0.99%	0.00%	2.38%	1.91%	1.94%	1.15%	2.38%	0.73%	1.69%	1.50%	0.83%	1.17%	1.23%	0.93%	1.56%	1.27%					
21	. Путин Владимир Владимирович	12663	589	828	553	630	275	436	568	317	582	745	439	215	203	232	433	92	239	135	112	409	347	595	522	434	518	245	530	603	217	620					
		50.46%	48.88%	49.94%	48.68%	50.08%	44.00%	45.32%	46.98%	51.38%	50.56%	49.44%	50.75%	52.44%	61.52%	56.31%	53.46%	61.33%	47.33%	51.53%	54.37%	58.76%	55.08%	62.17%	48.97%	46.42%	42.85%	47.85%	46.74%	50.76%	56.51%	56.11%					
22	. Хакамада Ирина Муцуовна	1212	54	96	57	56	34	63	80	43	64	68	37	28	16	13	30	5	20	2	13	30	27	37	63	43	51	25	55	37	19	46					
		4.83%	4.48%	5.79%	5.02%	4.45%	5.44%	6.55%	6.62%	6.97%	5.56%	4.51%	4.28%	6.83%	4.85%	3.16%	3.70%	3.33%	3.96%	0.76%	6.31%	4.31%	4.29%	3.87%	5.91%	4.60%	4.22%	4.88%	4.85%	3.11%	4.95%	4.16%					
23	. Харитонов Николай Михайлович	6544	325	406	293	341	184	257	306	154	301	452	244	106	55	90	203	30	121	72	42	142	130	170	292	290	430	156	342	354	85	171					
		26.08%	26.97%	24.49%	25.79%	27.11%	29.44%	26.72%	25.31%	24.96%	26.15%	29.99%	28.21%	25.85%	16.67%	21.84%	25.06%	20.00%	23.96%	27.48%	20.39%	20.40%	20.63%	17.76%	27.39%	31.02%	35.57%	30.47%	30.16%	29.80%	22.14%	15.48%					
																																					
24	Против всех	1572	82	131	81	69	36	74	109	32	77	84	42	15	9	18	40	6	24	6	7	48	43	52	67	49	56	32	61	58	15	149					
		6.26%	6.80%	7.90%	7.13%	5.48%	5.76%	7.69%	9.02%	5.19%	6.69%	5.57%	4.86%	3.66%	2.73%	4.37%	4.94%	4.00%	4.75%	2.29%	3.40%	6.90%	6.83%	5.43%	6.29%	5.24%	4.63%	6.25%	5.38%	4.88%	3.91%	13.48%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
