Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Аркадакская																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587					
1	"Число избирателей, внесенных в списки"	23223	1848	1429	804	1344	1475	1154	1178	2317	138	732	510	371	267	89	657	410	245	548	272	953	646	179	194	727	271	199	556	82	517	391	151	525	259	740	104	672	140	129					
2	"Число бюллетеней, полученных участковыми комиссиями"	22870	1790	1400	790	1310	1370	1120	1130	2270	135	720	525	365	270	115	625	410	240	535	275	950	650	180	200	725	265	200	565	85	525	375	155	525	250	750	100	685	160	130					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13904	1084	834	392	624	708	692	568	1870	116	419	385	212	121	77	437	276	169	364	156	583	399	112	88	298	165	101	324	66	316	273	96	271	164	366	89	465	128	96					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1654	71	9	37	27	38	28	123	12	19	16	0	93	72	12	61	43	25	107	78	69	15	14	20	67	17	29	26	7	80	37	23	92	10	144	7	92	12	22					
6	Число погашенных бюллетеней	7312	635	557	361	659	624	400	439	388	0	285	140	60	77	26	127	91	46	64	41	298	236	54	92	360	83	70	215	12	129	65	36	162	76	240	4	128	20	12					
7	Число бюллетеней в переносных ящиках для голосования	1654	71	9	37	27	38	28	123	12	19	16	0	93	72	12	61	43	25	107	78	69	15	14	20	67	17	29	26	7	80	37	23	92	10	144	7	92	12	22					
8	Число бюллетеней в стационарных ящиках для голосования	13898	1083	829	392	624	708	692	568	1870	116	419	385	212	121	77	437	276	169	364	156	583	399	112	88	298	165	101	324	66	316	273	96	271	164	366	89	465	128	96					
9	Число недействительных бюллетеней	271	25	0	2	7	19	1	30	0	2	16	34	2	3	1	3	0	0	8	0	6	6	0	0	7	3	0	7	0	6	3	27	16	2	15	0	14	4	2					
10	Число действительных бюллетеней	15281	1129	838	427	644	727	719	661	1882	133	419	351	303	190	88	495	319	194	463	234	646	408	126	108	358	179	130	343	73	390	307	92	347	172	495	96	543	136	116					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	594	35	45	30	45	45	45	45	54	5	10	10	15	10	5	10	10	5	10	10	10	10	5	5	10	5	10	10	5	10	10	5	10	10	10	5	10	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	228	21	34	4	11	15	23	9	32	0	1	7	13	7	0	2	1	0	8	7	6	3	0	0	3	0	0	3	0	3	2	0	2	1	3	1	5	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	119	5	7	16	12	7	5	9	15	6	2	0	1	0	1	1	1	1	0	2	6	1	1	2	1	1	0	0	2	1	0	1	1	1	2	4	2	1	1					
