Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																						
Дата голосования: 02.12.2007																						
																						
Наименование Избирательной комиссии:    Тогульская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563					
1	"Число избирателей, внесенных в списки избирателей"	7463	1293	679	1122	688	128	108	54	392	174	122	203	951	1174	221	154					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	7600	1300	685	1150	710	130	130	55	365	185	120	200	1005	1205	210	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4826	787	383	781	444	90	106	45	262	125	76	154	635	663	161	114					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	387	83	32	44	35	15	2	6	20	7	4	14	60	53	7	5					
6	Число погашенных избирательных бюллетеней	2387	430	270	325	231	25	22	4	83	53	40	32	310	489	42	31					
7	Число избирательных бюллетеней в переносных ящиках для голосования	387	83	32	44	35	15	2	6	20	7	4	14	60	53	7	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4826	787	383	781	444	90	106	45	262	125	76	154	635	663	161	114					
9	Число недействительных избирательных бюллетеней	46	5	4	3	3	0	2	0	2	4	0	0	10	8	1	4					
10	Число действительных избирательных бюллетеней	5167	865	411	822	476	105	106	51	280	128	80	168	685	708	167	115					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	97	14	7	17	7	3	3	2	5	3	3	4	10	12	4	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	52	12	3	15	5	1	0	1	1	1	0	0	3	9	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	37	13	1	9	0	0	2	1	0	1	3	3	2	0	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	45	2	4	2	2	2	3	1	4	2	3	4	7	3	3	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
18	1.Политическая партия «Аграрная партия России»	244	42	15	53	27	5	5	1	15	2	5	2	35	34	1	2					
		4.68%	4.83%	3.61%	6.42%	5.64%	4.76%	4.63%	1.96%	5.32%	1.52%	6.25%	1.19%	5.04%	4.75%	0.60%	1.68%					
19	2.Всероссийская политическая партия «Гражданская Сила»	18	3	2	7	0	1	0	0	0	0	0	0	2	3	0	0					
		0.35%	0.34%	0.48%	0.85%	0.00%	0.95%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.42%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	4	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0					
		0.08%	0.11%	0.24%	0.00%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1147	223	105	184	135	18	10	14	49	6	2	32	161	165	27	16					
		22.00%	25.63%	25.30%	22.30%	28.18%	17.14%	9.26%	27.45%	17.38%	4.55%	2.50%	19.05%	23.17%	23.04%	16.07%	13.45%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	42	11	4	5	7	1	1	0	2	0	0	0	6	1	2	2					
		0.81%	1.26%	0.96%	0.61%	1.46%	0.95%	0.93%	0.00%	0.71%	0.00%	0.00%	0.00%	0.86%	0.14%	1.19%	1.68%					
23	6.Политическая партия «Партия социальной справедливости»	10	1	1	3	1	0	0	0	0	1	0	0	3	0	0	0					
		0.19%	0.11%	0.24%	0.36%	0.21%	0.00%	0.00%	0.00%	0.00%	0.76%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	481	56	54	64	42	4	26	4	15	14	15	31	58	58	28	12					
		9.23%	6.44%	13.01%	7.76%	8.77%	3.81%	24.07%	7.84%	5.32%	10.61%	18.75%	18.45%	8.35%	8.10%	16.67%	10.08%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	375	65	35	61	30	7	20	6	10	6	7	19	47	41	12	9					
		7.19%	7.47%	8.43%	7.39%	6.26%	6.67%	18.52%	11.76%	3.55%	4.55%	8.75%	11.31%	6.76%	5.73%	7.14%	7.56%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	36	7	2	7	1	0	0	0	0	2	2	0	2	10	3	0					
		0.69%	0.80%	0.48%	0.85%	0.21%	0.00%	0.00%	0.00%	0.00%	1.52%	2.50%	0.00%	0.29%	1.40%	1.79%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2784	450	191	436	230	67	43	26	189	96	47	84	371	388	93	73					
		53.40%	51.72%	46.02%	52.85%	48.02%	63.81%	39.81%	50.98%	67.02%	72.73%	58.75%	50.00%	53.38%	54.19%	55.36%	61.34%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	26	6	1	2	3	2	0	0	0	1	2	0	0	8	0	1					
		0.50%	0.69%	0.24%	0.24%	0.63%	1.90%	0.00%	0.00%	0.00%	0.76%	2.50%	0.00%	0.00%	1.12%	0.00%	0.84%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
