Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																										
Дата голосования: 04.12.2011																										
																										
Наименование Избирательной комиссии:    Перевозская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1947	УИК №1948	УИК №1950	УИК №1951					
1	"Число избирателей, внесенных в список избирателей"	13231	1498	1676	1509	1535	271	313	667	209	674	197	1004	226	251	670	539	398	345	887	362					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13110	1490	1690	1510	1490	270	300	660	200	660	190	1010	220	240	670	520	400	350	890	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7222	906	1013	871	902	144	158	342	134	258	64	669	126	148	327	205	203	169	421	162					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	948	26	30	12	72	17	25	79	19	142	65	28	23	28	84	101	23	42	69	63					
6	Число погашенных избирательных бюллетеней	4940	558	647	627	516	109	117	239	47	260	61	313	71	64	259	214	174	139	400	125					
7	Число избирательных бюллетеней в переносных ящиках для голосования	948	26	30	12	72	17	25	79	19	142	65	28	23	28	84	101	23	42	69	63					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7221	906	1013	871	902	144	158	342	134	258	64	669	126	148	326	205	203	169	421	162					
9	Число недействительных избирательных бюллетеней	107	10	15	5	8	2	3	10	1	17	1	15	2	0	3	1	2	3	7	2					
10	Число действительных избирательных бюллетеней	8062	922	1028	878	966	159	180	411	152	383	128	682	147	176	407	305	224	208	483	223					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	400	30	30	30	30	10	10	20	10	30	10	30	20	10	20	20	20	10	40	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	142	25	30	14	13	5	6	2	2	10	2	13	0	3	3	4	4	4	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	96	4	13	6	12	2	5	4	0	5	6	11	4	3	4	4	3	2	4	4					
14	Число погашенных неиспользованных открепительных удостоверений	258	5	0	16	17	5	4	18	8	20	8	17	20	7	17	16	16	6	38	20					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	2	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	523	74	44	44	68	10	18	30	4	28	4	54	13	13	19	37	16	9	26	12					
		6.40%	7.94%	4.22%	4.98%	6.98%	6.21%	9.84%	7.13%	2.61%	7.00%	3.10%	7.75%	8.72%	7.39%	4.63%	12.09%	7.08%	4.27%	5.31%	5.33%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	900	120	87	77	114	16	25	37	17	53	12	72	11	17	60	28	45	30	57	22					
		11.02%	12.88%	8.34%	8.72%	11.70%	9.94%	13.66%	8.79%	11.11%	13.25%	9.30%	10.33%	7.38%	9.66%	14.63%	9.15%	19.91%	14.22%	11.63%	9.78%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	51	10	11	2	4	0	2	2	1	2	1	4	1	0	2	2	1	3	1	2					
		0.62%	1.07%	1.05%	0.23%	0.41%	0.00%	1.09%	0.48%	0.65%	0.50%	0.78%	0.57%	0.67%	0.00%	0.49%	0.65%	0.44%	1.42%	0.20%	0.89%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2692	411	431	201	248	82	60	124	47	96	23	303	41	70	121	78	54	72	180	50					
		32.95%	44.10%	41.32%	22.76%	25.46%	50.93%	32.79%	29.45%	30.72%	24.00%	17.83%	43.47%	27.52%	39.77%	29.51%	25.49%	23.89%	34.12%	36.73%	22.22%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	85	19	6	5	14	1	2	2	1	3	1	10	4	1	2	1	7	2	3	1					
		1.04%	2.04%	0.58%	0.57%	1.44%	0.62%	1.09%	0.48%	0.65%	0.75%	0.78%	1.43%	2.68%	0.57%	0.49%	0.33%	3.10%	0.95%	0.61%	0.44%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3792	283	448	548	514	50	73	216	82	201	86	238	77	75	201	158	99	92	215	136					
		46.42%	30.36%	42.95%	62.06%	52.77%	31.06%	39.89%	51.31%	53.59%	50.25%	66.67%	34.15%	51.68%	42.61%	49.02%	51.63%	43.81%	43.60%	43.88%	60.44%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	19	5	1	1	4	0	0	0	0	0	1	1	0	0	2	1	2	0	1	0					
		0.23%	0.54%	0.10%	0.11%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.14%	0.00%	0.00%	0.49%	0.33%	0.88%	0.00%	0.20%	0.00%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
