Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																			
Дата голосования: 02.12.2007																																			
																																			
Наименование Избирательной комиссии:    Большемуртинская																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1038	УИК №1039	УИК №1040					
1	"Число избирателей, внесенных в списки избирателей"	14840	2514	1810	2365	1359	152	233	648	350	377	122	267	95	375	345	526	269	405	103	113	114	418	183	51	633	128	403	209	273					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	14965	2479	1838	2299	1457	159	232	668	355	372	130	262	91	374	354	512	289	407	108	115	141	424	178	51	650	132	412	211	265					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8082	1252	974	1314	522	114	154	393	137	284	104	185	76	212	190	225	158	251	69	56	80	252	135	42	353	86	222	116	126					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1342	61	68	59	328	12	11	29	75	22	14	12	6	63	23	133	37	30	11	10	34	40	18	3	104	6	57	26	50					
6	Число погашенных избирательных бюллетеней	5541	1166	796	926	607	33	67	246	143	66	12	65	9	99	141	154	94	126	28	49	27	132	25	6	193	40	133	69	89					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1342	61	68	59	328	12	11	29	75	22	14	12	6	63	23	133	37	30	11	10	34	40	18	3	104	6	57	26	50					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8080	1252	974	1312	522	114	154	393	137	284	104	185	76	212	190	225	158	251	69	56	80	252	135	42	353	86	222	116	126					
9	Число недействительных избирательных бюллетеней	75	14	7	13	5	3	5	2	3	0	0	2	0	1	0	2	4	0	0	1	0	6	3	0	0	0	1	1	2					
10	Число действительных избирательных бюллетеней	9347	1299	1035	1358	845	123	160	420	209	306	118	195	82	274	213	356	191	281	80	65	114	286	150	45	457	92	278	141	174					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	298	25	30	20	15	5	5	19	4	15	8	8	5	12	8	15	8	12	5	5	5	14	7	4	15	5	11	5	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	244	25	30	20	7	5	5	19	4	15	8	3	0	12	8	1	8	2	5	1	5	14	6	4	15	5	11	2	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	99	11	9	8	5	1	2	2	4	4	3	7	0	3	3	6	4	2	1	1	1	2	3	2	3	0	5	1	6					
14	Число погашенных неиспользованных открепительных удостоверений	54	0	0	0	8	0	0	0	0	0	0	5	5	0	0	14	0	10	0	4	0	0	1	0	0	0	0	3	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
