Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Старошайговская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №789	УИК №790	УИК №791	УИК №792									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10155	552	197	180	221	404	250	699	720	168	381	417	308	164	627	271	499	741	254	235	766	654	712	735									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10430	561	202	188	228	416	259	710	730	170	394	430	315	166	640	270	528	770	257	239	788	681	731	757									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8951	326	188	159	205	335	202	525	659	145	362	368	285	162	597	270	424	692	204	220	653	611	672	687									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	852	166	6	19	15	65	37	57	47	18	15	44	22	0	12	0	54	30	39	13	98	36	26	33									
6	Число погашенных избирательных бюллетеней	627	69	8	10	8	16	20	128	24	7	17	18	8	4	31	0	50	48	14	6	37	34	33	37									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	852	166	6	19	15	65	37	57	47	18	15	44	22	0	12	0	54	30	39	13	98	36	26	33									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8951	326	188	159	205	335	202	525	659	145	362	368	285	162	597	270	424	692	204	220	653	611	672	687									
9	Число недействительных избирательных бюллетеней	13	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	3	0	0	0	3	0									
10	Число действительных избирательных бюллетеней	9790	492	194	178	220	400	239	582	706	163	377	412	307	162	607	270	478	717	240	233	751	647	695	720									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	181	5	5	10	5	5	5	8	7	5	10	10	5	5	10	5	10	18	5	5	10	10	13	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	133	4	3	10	5	5	4	3	7	0	10	2	1	0	6	0	10	18	3	2	9	10	11	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	39	4	1	6	1	2	2	5	0	1	2	2	0	0	2	0	1	0	4	1	2	1	0	2									
14	Число погашенных неиспользованных открепительных удостоверений	48	1	2	0	0	0	1	5	0	5	0	8	4	5	4	5	0	0	2	3	1	0	2	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	4	0	0	0	2	5	2	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	9	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	0	0	1	0									
		0.09%	0.00%	0.00%	0.00%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.28%	0.00%	0.86%	0.00%	0.00%	0.14%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	33	0	0	0	0	8	0	5	0	2	0	0	0	0	0	0	0	6	0	2	7	0	2	1									
		0.34%	0.00%	0.00%	0.00%	0.00%	2.00%	0.00%	0.86%	0.00%	1.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.83%	0.00%	0.86%	0.93%	0.00%	0.29%	0.14%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0									
