Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																													
Дата голосования: 02.12.2007																																													
																																													
"Наименование Избирательной комиссии:    Ульяновск, Заволжская N1"																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825					
1	"Число избирателей, внесенных в списки избирателей"	89255	2898	2835	2764	2756	2092	2313	2805	2268	2785	2838	2137	2602	2496	2156	2433	2812	2625	2632	2631	1806	2450	2062	2365	500	1178	2135	2371	1860	2584	2544	2371	2548	2779	2304	2367	2686	2751	716					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	86800	2850	2800	2700	2700	2000	2250	2750	2150	2650	2750	2050	2550	2400	2100	2350	2750	2550	2600	2550	1750	2400	2000	2300	500	1300	2050	2200	1750	2550	2450	2300	2450	2700	2250	2300	2650	2700	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	47963	1587	1550	1471	1328	972	1148	1341	1129	1275	1441	1181	1439	1301	1301	1269	1146	1539	1252	1439	934	1405	1195	1374	336	909	1031	1683	923	1373	1408	1246	1404	1539	1294	1249	1533	1568	450					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1769	27	39	63	57	50	63	55	42	101	40	20	42	52	44	54	30	65	62	53	36	41	28	26	156	228	35	53	16	22	12	11	26	13	22	21	31	11	22					
6	Число погашенных избирательных бюллетеней	37068	1236	1211	1166	1315	978	1039	1354	979	1274	1269	849	1069	1047	755	1027	1574	946	1286	1058	780	954	777	900	8	163	984	464	811	1155	1030	1043	1020	1148	934	1030	1086	1121	228					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1768	27	39	63	57	50	63	55	42	101	39	20	42	52	44	54	30	65	62	53	36	41	28	26	156	228	35	53	16	22	12	11	26	13	22	21	31	11	22					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	47945	1584	1550	1468	1328	972	1148	1341	1129	1274	1441	1179	1439	1301	1301	1269	1146	1538	1251	1439	934	1405	1194	1373	336	909	1030	1683	922	1372	1407	1246	1404	1538	1294	1249	1533	1568	450					
9	Число недействительных избирательных бюллетеней	453	17	10	19	14	9	20	9	7	7	18	14	13	15	15	6	15	15	15	14	14	20	17	12	7	9	10	27	3	8	9	3	0	20	9	10	8	13	2					
10	Число действительных избирательных бюллетеней	49260	1594	1579	1512	1371	1013	1191	1387	1164	1368	1462	1185	1468	1338	1330	1317	1161	1588	1298	1478	956	1426	1205	1387	485	1128	1055	1709	935	1386	1410	1254	1430	1531	1307	1260	1556	1566	470					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1467	55	55	55	55	35	55	55	35	35	35	35	45	35	35	35	35	55	35	35	25	50	35	50	25	0	35	55	40	35	35	35	35	45	35	35	37	35	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1199	50	42	55	43	17	35	29	25	23	35	28	45	34	35	31	21	55	35	35	24	50	34	50	0	0	28	37	23	28	25	25	26	41	35	24	37	34	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1226	9	10	42	14	14	24	11	35	21	30	20	10	16	9	22	13	32	9	16	15	20	27	16	1	545	27	26	19	20	36	9	16	27	12	11	20	17	5					
14	Число погашенных неиспользованных открепительных удостоверений	268	5	13	0	12	18	20	26	10	12	0	7	0	1	0	4	14	0	0	0	1	0	1	0	25	0	7	18	17	7	10	10	9	4	0	11	0	1	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	0	0	0	1	0	0	0	1	1	0	0	2	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
18	1.Политическая партия «Аграрная партия России»	943	43	28	27	13	20	23	31	20	25	22	25	31	20	29	27	20	32	43	25	22	35	22	19	12	18	25	13	14	23	27	25	40	35	23	23	29	30	4					
		1.90%	2.67%	1.76%	1.76%	0.94%	1.96%	1.90%	2.22%	1.71%	1.82%	1.49%	2.09%	2.09%	1.48%	2.16%	2.04%	1.70%	1.99%	3.27%	1.68%	2.27%	2.42%	1.80%	1.36%	2.44%	1.58%	2.35%	0.75%	1.49%	1.65%	1.90%	1.99%	2.80%	2.26%	1.75%	1.81%	1.85%	1.90%	0.85%					
