Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																						
Дата голосования: 02.12.2007																						
																						
Наименование Избирательной комиссии:    Романовская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346					
1	"Число избирателей, внесенных в списки избирателей"	12135	936	409	947	523	839	418	289	159	247	343	1700	1826	1481	1232	786					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11860	914	402	954	514	834	410	290	150	244	335	1650	1725	1460	1218	760					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7877	578	297	629	358	562	329	218	104	172	223	1060	1135	894	803	515					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	640	121	21	46	18	47	18	12	10	13	19	54	98	57	53	53					
6	Число погашенных избирательных бюллетеней	3343	215	84	279	138	225	63	60	36	59	93	536	492	509	362	192					
7	Число избирательных бюллетеней в переносных ящиках для голосования	640	121	21	46	18	47	18	12	10	13	19	54	98	57	53	53					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7877	578	297	629	358	562	329	218	104	172	223	1060	1135	894	803	515					
9	Число недействительных избирательных бюллетеней	91	2	3	18	1	6	3	4	1	2	1	10	16	4	16	4					
10	Число действительных избирательных бюллетеней	8426	697	315	657	375	603	344	226	113	183	241	1104	1217	947	840	564					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	100	8	5	8	5	6	6	4	4	4	4	8	12	12	8	6					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	68	2	1	7	4	3	4	3	1	3	2	8	12	10	3	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	56	2	2	5	4	5	2	2	1	2	3	7	13	4	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	32	6	4	1	1	3	2	1	3	1	2	0	0	2	5	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
18	1.Политическая партия «Аграрная партия России»	1150	81	46	90	54	84	76	25	3	13	27	149	144	118	114	126					
		13.50%	11.59%	14.47%	13.33%	14.36%	13.79%	21.90%	10.87%	2.63%	7.03%	11.16%	13.38%	11.68%	12.41%	13.32%	22.18%					
19	2.Всероссийская политическая партия «Гражданская Сила»	21	0	0	5	1	5	0	0	0	0	2	4	2	1	0	1					
		0.25%	0.00%	0.00%	0.74%	0.27%	0.82%	0.00%	0.00%	0.00%	0.00%	0.83%	0.36%	0.16%	0.11%	0.00%	0.18%					
20	3.Политическая партия «Демократическая партия России»	15	1	0	5	0	2	0	0	0	0	0	4	2	0	1	0					
		0.18%	0.14%	0.00%	0.74%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.16%	0.00%	0.12%	0.00%					
