Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																	
Дата голосования: 02.12.2007																																																																	
																																																																	
"Наименование Избирательной комиссии:    Иваново, Ленинская"																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58					
1	"Число избирателей, внесенных в списки избирателей"	126411	728	1605	1681	2282	1926	1840	1793	1565	2050	2408	1792	1999	1760	1930	2137	1718	1515	2625	2536	2568	2698	1951	1513	2221	1987	2472	2845	1891	2228	2035	2144	2178	2619	1770	2416	2704	2110	2343	2634	2431	2159	2500	1800	1851	2613	2284	2474	2662	2567	2679	1874	2122	1937	2311	2771	2917	2710	2532					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	125595	690	1640	1580	2310	1900	1870	1790	1550	2040	2400	1760	2000	1760	1910	2135	1580	1510	2600	2510	2580	2700	2000	1500	2230	1990	2450	2820	1890	2220	2020	2140	2160	2600	1750	2400	2640	2100	2390	2640	2420	2150	2480	1800	1840	2600	2290	2470	2540	2490	2660	1860	2140	1890	2310	2760	2920	2690	2530					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	65970	452	940	1027	1335	984	1017	933	802	1073	1212	802	963	918	976	1071	746	574	1510	1284	1291	1262	1015	767	1244	1084	1439	1656	1019	1118	1062	1097	1307	1400	836	1274	1468	1061	1289	1164	1233	1142	1363	968	943	1441	1099	1051	1252	1433	1384	1010	1140	1041	1210	1416	1617	1374	1381					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1963	10	92	62	28	22	16	17	45	28	40	22	12	15	29	20	120	35	24	28	25	45	32	16	26	20	36	35	16	35	34	30	27	36	24	18	33	14	37	37	44	34	28	19	33	27	32	13	172	87	71	18	16	20	33	22	13	25	15					
6	Число погашенных избирательных бюллетеней	57662	228	608	491	947	894	837	840	703	939	1148	936	1025	827	905	1044	714	901	1066	1198	1264	1393	953	717	960	886	975	1129	855	1067	924	1013	826	1164	890	1108	1139	1025	1064	1439	1143	974	1089	813	864	1132	1159	1406	1116	970	1205	832	984	829	1067	1322	1290	1291	1134					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1963	10	92	62	28	22	16	17	45	28	40	22	12	15	29	20	120	35	24	28	25	45	32	16	26	20	36	35	16	35	34	30	27	36	24	18	33	14	37	37	44	34	28	19	33	27	32	13	172	87	71	18	16	20	33	22	13	25	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	65934	452	940	1024	1335	984	1017	931	802	1072	1210	802	962	916	976	1071	744	574	1508	1284	1289	1262	1014	766	1244	1083	1437	1656	1019	1118	1062	1097	1306	1400	836	1274	1468	1061	1287	1164	1231	1141	1363	968	942	1438	1099	1051	1252	1431	1384	1010	1140	1041	1210	1416	1617	1374	1379					
9	Число недействительных избирательных бюллетеней	653	3	15	16	18	9	9	9	8	15	10	6	15	13	10	7	5	8	12	6	10	15	18	9	7	21	14	8	6	9	13	8	14	13	12	13	14	4	12	10	8	6	18	12	7	7	10	14	16	20	16	15	15	6	16	15	9	10	9					
10	Число действительных избирательных бюллетеней	67244	459	1017	1070	1345	997	1024	939	839	1085	1240	818	959	918	995	1084	859	601	1520	1306	1304	1292	1028	773	1263	1082	1459	1683	1029	1144	1083	1119	1319	1423	848	1279	1487	1071	1312	1191	1267	1169	1373	975	968	1458	1121	1050	1408	1498	1439	1013	1141	1055	1227	1423	1621	1389	1385					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1896	35	252	195	70	25	80	20	20	24	20	15	20	15	15	15	20	20	30	30	30	20	75	15	20	20	20	20	15	20	15	15	20	20	20	16	35	30	26	30	25	15	25	18	20	18	22	20	30	21	94	15	30	20	20	25	25	25	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1652	34	241	195	65	16	74	17	17	22	20	12	14	13	15	13	12	10	13	16	29	20	75	15	20	17	20	15	15	15	14	11	12	14	9	16	30	23	25	29	25	15	25	14	15	18	22	17	20	21	69	15	23	11	17	20	23	19	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	880	45	54	44	13	24	15	19	18	14	13	9	13	6	15	7	12	5	12	6	12	14	11	16	7	11	19	20	10	11	15	13	11	14	21	18	15	15	15	11	12	11	22	7	6	7	10	16	32	31	17	18	4	11	14	9	8	10	12					
14	Число погашенных неиспользованных открепительных удостоверений	244	1	11	0	5	9	6	3	3	2	0	3	6	2	0	2	8	10	17	14	1	0	0	0	0	3	0	5	0	5	1	4	8	6	11	0	5	7	1	1	0	0	0	4	5	0	0	3	10	0	25	0	7	9	3	5	2	6	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																	
18	1.Политическая партия «Аграрная партия России»	2645	21	42	40	60	35	48	30	30	46	48	32	51	32	26	42	39	27	53	58	56	41	42	28	49	39	53	73	32	41	48	51	51	60	23	52	51	52	58	53	42	60	53	46	36	71	43	33	53	72	49	27	44	34	55	75	48	36	55					
		3.90%	4.55%	4.07%	3.68%	4.40%	3.48%	4.65%	3.16%	3.54%	4.18%	3.84%	3.88%	5.24%	3.44%	2.59%	3.85%	4.51%	4.43%	3.46%	4.42%	4.26%	3.14%	4.02%	3.58%	3.86%	3.54%	3.60%	4.32%	3.09%	3.56%	4.38%	4.53%	3.83%	4.18%	2.67%	4.02%	3.40%	4.84%	4.38%	4.41%	3.29%	5.11%	3.81%	4.66%	3.69%	4.85%	3.80%	3.10%	3.72%	4.74%	3.37%	2.63%	3.81%	3.20%	4.42%	5.22%	2.94%	2.57%	3.95%					
