Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Каменская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	38102	592	451	1361	360	2016	633	117	210	466	325	356	196	720	138	135	240	1525	1719	1211	2396	2076	793	410	475	483	543	221	503	1009	858	1714	553	472	459	632	1312	1094	146	633	1994	2344	2044	518	334	593	76	320	326									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34367	540	405	1247	322	1819	561	106	185	420	288	329	177	654	123	118	215	1379	1550	1101	2144	1888	718	375	435	434	485	194	457	900	766	1543	496	420	416	579	1232	989	133	569	1768	2111	1826	464	301	532	68	293	292									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25825	433	304	961	233	1267	447	56	114	333	151	225	90	504	113	89	191	928	1371	1047	1435	1540	660	310	277	399	343	163	338	500	410	674	317	316	328	425	1148	491	64	267	1579	1870	1626	416	220	386	35	243	188									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1817	9	10	26	28	55	6	15	0	12	41	14	17	75	8	28	15	100	51	18	49	31	33	8	40	4	42	14	76	173	131	67	103	60	35	68	29	35	8	8	37	16	50	18	31	34	16	30	43									
6	Число погашенных избирательных бюллетеней	6725	98	91	260	61	497	108	35	71	75	96	90	70	75	2	1	9	351	128	36	660	317	25	57	118	31	100	17	43	227	225	802	76	44	53	86	55	463	61	294	152	225	150	30	50	112	17	20	61									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1817	9	10	26	28	55	6	15	0	12	41	14	17	75	8	28	15	100	51	18	49	31	33	8	40	4	42	14	76	173	131	67	103	60	35	68	29	35	8	8	37	16	50	18	31	34	16	30	43									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25786	432	304	961	233	1267	447	56	114	333	151	225	90	504	113	89	191	928	1371	1047	1435	1540	627	310	277	399	343	163	338	500	410	673	317	316	328	425	1148	487	64	267	1579	1870	1626	416	220	386	35	243	188									
9	Число недействительных избирательных бюллетеней	179	5	0	0	2	0	4	1	0	2	7	15	0	0	0	0	0	5	30	0	8	11	6	2	0	1	2	1	5	0	4	16	7	4	7	5	5	10	0	7	0	0	5	0	0	0	0	0	2									
10	Число действительных избирательных бюллетеней	27424	436	314	987	259	1322	449	70	114	343	185	224	107	579	121	117	206	1023	1392	1065	1476	1560	654	316	317	402	383	176	409	673	537	724	413	372	356	488	1172	512	72	268	1616	1886	1671	434	251	420	51	273	229									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	688	10	5	20	5	45	10	5	5	7	5	5	5	10	5	7	7	25	25	20	30	30	10	7	15	10	7	5	7	20	15	40	10	5	8	13	30	13	5	10	40	40	40	25	5	7	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	247	5	0	13	0	13	0	0	0	0	0	5	1	7	0	0	0	6	8	13	12	14	0	3	10	3	2	2	0	3	1	11	3	4	3	13	27	7	0	4	11	17	13	6	1	5	0	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	128	1	0	2	0	3	3	0	3	1	2	0	2	0	0	2	0	3	6	4	4	7	0	1	3	2	3	4	0	14	0	4	2	0	1	5	4	3	0	6	9	4	8	4	0	4	1	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	441	5	5	7	5	32	10	5	5	7	5	0	4	3	5	7	7	19	17	7	18	16	10	4	5	7	5	3	7	17	14	29	7	1	5	0	3	6	5	6	29	23	27	19	4	2	5	5	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	61	0	0	12	0	3	0	1	0	0	0	5	1	2	0	0	0	0	3	0	9	1	1	2	2	0	0	0	3	1	1	2	0	0	1	1	1	0	0	0	1	1	1	3	1	0	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																											
