Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																					
Дата голосования: 04.12.2011																					
																					
Наименование Избирательной комиссии:    Алтуфьевский район																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518					
1	"Число избирателей, внесенных в список избирателей"	33662	1614	2239	2440	2115	1821	1862	2393	2577	2731	2618	2836	2731	2866	2819					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24500	1200	1600	1800	1500	1300	1300	1800	1900	2000	1900	2100	2000	2100	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	17993	838	1276	1213	908	981	1107	1028	1536	1510	1500	1548	1459	1604	1485					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	711	42	82	48	47	31	87	46	59	40	35	45	28	56	65					
6	Число погашенных избирательных бюллетеней	5796	320	242	539	545	288	106	726	305	450	365	507	513	440	450					
7	Число избирательных бюллетеней в переносных ящиках для голосования	711	42	82	48	47	31	87	46	59	40	35	45	28	56	65					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17935	838	1275	1208	908	979	1105	1028	1521	1509	1495	1521	1459	1604	1485					
9	Число недействительных избирательных бюллетеней	354	23	13	25	10	97	12	18	17	30	30	20	22	19	18					
10	Число действительных избирательных бюллетеней	18292	857	1344	1231	945	913	1180	1056	1563	1519	1500	1546	1465	1641	1532					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1020	50	70	70	70	80	100	90	70	70	70	70	70	70	70					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	723	34	48	44	25	61	65	73	44	54	46	61	55	61	52					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	535	66	47	35	58	32	24	28	31	59	30	29	15	22	59					
14	Число погашенных неиспользованных открепительных удостоверений	297	16	22	26	45	19	35	17	26	16	24	9	15	9	18					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	85	0	15	1	1	3	8	8	6	11	6	4	7	11	4					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2850	125	200	186	122	162	110	169	232	283	228	278	233	243	279					
		15.28%	14.20%	14.74%	14.81%	12.77%	16.04%	9.23%	15.74%	14.68%	18.27%	14.90%	17.75%	15.67%	14.64%	18.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2543	120	177	128	98	127	171	182	213	228	217	222	198	226	236					
		13.64%	13.64%	13.04%	10.19%	10.26%	12.57%	14.35%	16.95%	13.48%	14.72%	14.18%	14.18%	13.32%	13.61%	15.23%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	306	7	25	18	22	10	14	16	28	29	35	28	21	26	27					
		1.64%	0.80%	1.84%	1.43%	2.30%	0.99%	1.17%	1.49%	1.77%	1.87%	2.29%	1.79%	1.41%	1.57%	1.74%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3922	193	332	269	221	222	185	284	310	334	325	326	301	312	308					
		21.03%	21.93%	24.47%	21.42%	23.14%	21.98%	15.52%	26.44%	19.62%	21.56%	21.24%	20.82%	20.24%	18.80%	19.87%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1571	81	136	124	41	80	56	111	138	135	148	152	135	131	103					
		8.43%	9.20%	10.02%	9.87%	4.29%	7.92%	4.70%	10.34%	8.73%	8.72%	9.67%	9.71%	9.08%	7.89%	6.65%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6954	319	465	499	436	306	639	285	627	499	530	528	561	690	570					
		37.29%	36.25%	34.27%	39.73%	45.65%	30.30%	53.61%	26.54%	39.68%	32.21%	34.64%	33.72%	37.73%	41.57%	36.77%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	146	12	9	7	5	6	5	9	15	11	17	12	16	13	9					
		0.78%	1.36%	0.66%	0.56%	0.52%	0.59%	0.42%	0.84%	0.95%	0.71%	1.11%	0.77%	1.08%	0.78%	0.58%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
