Выборы Президента Российской Федерации																																																													
																																																													
Наименование Избирательной комиссии:    Череповецкая																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953					
1	"Число избирателей, внесенных в список"	31557	743	1095	915	192	163	298	126	559	131	260	180	274	129	1020	280	2189	1179	231	243	1837	430	197	164	166	836	303	995	256	319	215	179	166	1569	1464	1482	152	204	345	310	128	495	366	337	440	451	415	368	68	140	358	1887	1749	1982	577					
2	Число полученных избирательных бюллетеней	28850	650	900	820	180	160	290	160	500	130	260	180	270	130	920	260	1950	1100	250	250	1670	400	200	170	180	720	280	910	250	330	220	170	150	1400	1300	1320	150	200	320	310	160	450	330	300	400	400	370	330	70	140	350	1700	1540	1800	500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16491	366	664	401	119	63	101	62	300	34	138	77	129	41	490	183	1497	465	57	74	1071	192	61	46	88	460	26	588	129	163	106	81	85	898	749	828	95	64	186	124	91	197	148	153	162	238	215	201	51	74	84	1117	933	1125	401					
5	"Число избирательных бюллетеней, выданных вне помещения"	3842	134	45	157	29	36	100	64	30	60	34	39	60	38	140	7	78	218	89	103	50	103	83	54	40	67	208	37	31	23	79	63	33	44	63	28	14	49	28	84	37	150	142	95	148	85	64	74	7	51	170	65	64	42	6					
6	Число погашенных избирательных бюллетеней	8517	150	191	262	32	61	89	34	170	36	88	64	81	51	290	70	375	417	104	73	549	105	56	70	52	193	46	285	90	144	35	26	32	458	488	464	41	87	106	102	32	103	40	52	90	77	91	55	12	15	96	518	543	633	93					
7	Число избирательных бюллетеней в переносных ящиках	3842	134	45	157	29	36	100	64	30	60	34	39	60	38	140	7	78	218	89	103	50	103	83	54	40	67	208	37	31	23	79	63	33	44	63	28	14	49	28	84	37	150	142	95	148	85	64	74	7	51	170	65	64	42	6					
8	Число бюллетеней в стационарных ящиках для голосования	16488	366	664	401	119	63	101	62	300	34	138	77	129	41	490	183	1494	465	57	74	1071	192	61	46	88	460	26	588	129	163	106	81	85	898	749	828	95	64	186	124	91	197	148	153	162	238	215	201	51	74	84	1117	933	1125	401					
9	Число недействительных избирательных бюллетеней	201	5	5	2	3	0	2	0	0	0	1	2	1	1	12	3	36	10	2	1	8	0	0	0	0	12	1	4	0	3	2	0	0	13	4	6	1	2	1	0	1	4	1	1	0	3	4	2	0	0	1	17	8	14	2					
10	Число действительных избирательных бюллетеней	20129	495	704	556	145	99	199	126	330	94	171	114	188	78	618	187	1536	673	144	176	1113	295	144	100	128	515	233	621	160	183	183	144	118	929	808	850	108	111	213	208	127	343	289	247	310	320	275	273	58	125	253	1165	989	1153	405					
11	Число полученных открепительных  удостоверений	996	20	20	20	15	15	15	15	20	15	15	15	15	15	20	15	61	20	15	15	30	15	15	15	15	20	15	20	15	15	15	15	15	30	30	30	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	20	30	30	20					
12	Число выданных открепительных удостоверений	364	19	17	7	0	0	14	2	12	1	2	4	1	0	7	3	61	7	2	4	16	1	0	2	1	9	0	18	3	0	10	2	1	9	5	13	1	0	9	1	3	8	12	0	0	6	9	9	8	0	11	18	6	7	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	310	7	7	9	5	6	6	8	2	2	0	1	2	3	2	3	25	12	1	0	2	4	1	1	1	15	3	8	15	4	4	5	10	19	10	8	3	1	8	2	4	8	4	6	4	8	9	4	0	3	6	10	9	2	8					
14	Число неиспользованных открепительных удостоверений	632	1	3	13	15	15	1	13	8	14	13	11	14	15	13	12	0	13	13	11	14	14	15	13	14	11	15	2	12	15	5	13	14	21	25	17	14	15	6	14	12	7	3	15	15	9	6	6	7	15	4	2	24	23	17					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
