Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва													
Дата голосования: 04.12.2011													
													
Наименование Избирательной комиссии:    Межгорьевская городская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458					
1	"Число избирателей, внесенных в список избирателей"	12542	2216	2049	2021	1982	2084	2190					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12130	2017	2013	1920	1970	2096	2114					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7525	1419	1069	1219	1310	1229	1279					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	176	40	21	18	22	28	47					
6	Число погашенных избирательных бюллетеней	4428	558	923	683	638	838	788					
7	Число избирательных бюллетеней в переносных ящиках для голосования	176	40	21	18	22	28	47					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7520	1419	1065	1219	1310	1228	1279					
9	Число недействительных избирательных бюллетеней	67	5	7	12	13	14	16					
10	Число действительных избирательных бюллетеней	7629	1454	1079	1225	1319	1242	1310					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	461	101	96	77	85	44	58					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	424	92	89	70	80	42	51					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	69	22	9	6	17	1	14					
14	Число погашенных неиспользованных открепительных удостоверений	37	9	7	7	5	2	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	29	9	4	10	3	2	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	1	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	572	136	123	69	84	89	71					
		7.43%	9.32%	11.33%	5.58%	6.31%	7.09%	5.35%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	274	12	105	25	51	36	45					
		3.56%	0.82%	9.67%	2.02%	3.83%	2.87%	3.39%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	47	5	9	4	13	8	8					
		0.61%	0.34%	0.83%	0.32%	0.98%	0.64%	0.60%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1215	232	271	172	166	163	211					
		15.79%	15.90%	24.95%	13.90%	12.46%	12.98%	15.91%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	65	4	35	4	8	5	9					
		0.84%	0.27%	3.22%	0.32%	0.60%	0.40%	0.68%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5426	1062	529	946	990	938	961					
		70.50%	72.79%	48.71%	76.48%	74.32%	74.68%	72.47%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	30	3	7	5	7	3	5					
		0.39%	0.21%	0.64%	0.40%	0.53%	0.24%	0.38%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
