Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва													
Дата голосования: 02.12.2007													
													
Наименование Избирательной комиссии:    Межгорьевская городская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455					
1	"Число избирателей, внесенных в списки избирателей"	12886	2380	1875	1561	2719	2066	2285					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	12500	2350	1800	1250	2750	2100	2250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9608	1799	1356	1207	1922	1590	1734					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	199	64	40	16	14	18	47					
6	Число погашенных избирательных бюллетеней	2693	487	404	27	814	492	469					
7	Число избирательных бюллетеней в переносных ящиках для голосования	199	64	40	16	14	18	47					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9608	1799	1356	1207	1922	1590	1734					
9	Число недействительных избирательных бюллетеней	62	8	13	5	12	10	14					
10	Число действительных избирательных бюллетеней	9745	1855	1383	1218	1924	1598	1767					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	487	110	80	50	130	60	57					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	458	110	71	50	116	54	57					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	43	19	3	8	7	5	1					
14	Число погашенных неиспользованных открепительных удостоверений	29	0	9	0	14	6	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	2	3	0	4	3	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0					
													
18	1.Политическая партия «Аграрная партия России»	34	3	7	9	5	8	2					
		0.35%	0.16%	0.50%	0.74%	0.26%	0.50%	0.11%					
19	2.Всероссийская политическая партия «Гражданская Сила»	18	6	0	3	4	5	0					
		0.18%	0.32%	0.00%	0.25%	0.21%	0.31%	0.00%					
20	3.Политическая партия «Демократическая партия России»	14	5	0	2	6	0	1					
		0.14%	0.27%	0.00%	0.16%	0.31%	0.00%	0.06%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1177	240	179	153	213	167	225					
		12.00%	12.88%	12.82%	12.51%	11.00%	10.39%	12.63%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	40	14	3	7	6	4	6					
		0.41%	0.75%	0.21%	0.57%	0.31%	0.25%	0.34%					
23	6.Политическая партия «Партия социальной справедливости»	9	1	1	2	1	3	1					
		0.09%	0.05%	0.07%	0.16%	0.05%	0.19%	0.06%					
24	7.Политическая партия «Либерально-демократическая партия России»	180	28	19	14	63	37	19					
		1.84%	1.50%	1.36%	1.14%	3.25%	2.30%	1.07%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	334	51	49	33	89	78	34					
		3.41%	2.74%	3.51%	2.70%	4.60%	4.85%	1.91%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	18	0	0	3	0	8	7					
		0.18%	0.00%	0.00%	0.25%	0.00%	0.50%	0.39%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	7902	1503	1125	986	1535	1286	1467					
		80.58%	80.68%	80.59%	80.62%	79.29%	79.98%	82.37%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	19	4	0	6	2	2	5					
		0.19%	0.21%	0.00%	0.49%	0.10%	0.12%	0.28%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
