Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Арамильская городская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №2641	УИК №2642	УИК №2643									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16519	1748	1617	2307	1934	2065	554	809	1092	717	1576	1038	1062									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16300	1700	1600	2300	1900	2050	550	800	1100	700	1550	1000	1050									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6717	616	659	830	789	1005	170	379	479	337	598	447	408									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	138	19	3	18	27	10	11	13	3	12	9	2	11									
6	Число погашенных избирательных бюллетеней	9445	1065	938	1452	1084	1035	369	408	618	351	943	551	631									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	136	19	3	18	25	10	11	13	3	12	9	2	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6711	616	658	828	789	1005	170	379	479	337	597	446	407									
9	Число недействительных избирательных бюллетеней	329	27	26	45	31	47	8	17	24	26	30	29	19									
10	Число действительных избирательных бюллетеней	6518	608	635	801	783	968	173	375	458	323	576	419	399									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	440	45	40	55	45	45	25	25	35	25	40	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	120	8	12	11	11	9	3	11	20	8	18	3	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	77	11	4	9	2	8	4	5	7	10	10	1	6									
14	Число погашенных неиспользованных открепительных удостоверений	320	37	28	44	34	36	22	14	15	17	22	27	24									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	39	1	0	6	4	15	3	2	0	0	4	0	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	134	16	13	11	25	17	2	7	7	5	21	4	6									
		1.96%	2.52%	1.97%	1.30%	3.07%	1.67%	1.10%	1.79%	1.45%	1.43%	3.47%	0.89%	1.44%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	144	11	18	15	22	10	3	13	15	6	13	11	7									
		2.10%	1.73%	2.72%	1.77%	2.70%	0.99%	1.66%	3.32%	3.11%	1.72%	2.15%	2.46%	1.67%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	336	26	27	32	38	78	9	22	24	14	25	23	18									
		4.91%	4.09%	4.08%	3.78%	4.67%	7.68%	4.97%	5.61%	4.98%	4.01%	4.13%	5.13%	4.31%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2965	285	287	359	357	396	74	177	231	167	273	186	173									
		43.30%	44.88%	43.42%	42.43%	43.86%	39.01%	40.88%	45.15%	47.93%	47.85%	45.05%	41.52%	41.39%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	88	7	8	14	12	16	1	4	1	3	7	10	5									
		1.29%	1.10%	1.21%	1.65%	1.47%	1.58%	0.55%	1.02%	0.21%	0.86%	1.16%	2.23%	1.20%									
24	"6. Политическая партия ""Гражданская Платформа"""	22	1	3	6	2	6	0	0	1	2	0	1	0									
		0.32%	0.16%	0.45%	0.71%	0.25%	0.59%	0.00%	0.00%	0.21%	0.57%	0.00%	0.22%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1153	92	136	114	156	172	30	75	90	64	94	60	70									
		16.84%	14.49%	20.57%	13.48%	19.16%	16.95%	16.57%	19.13%	18.67%	18.34%	15.51%	13.39%	16.75%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	60	7	9	10	5	9	0	3	2	3	3	5	4									
		0.88%	1.10%	1.36%	1.18%	0.61%	0.89%	0.00%	0.77%	0.41%	0.86%	0.50%	1.12%	0.96%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	179	28	11	29	19	32	8	6	6	1	17	7	15									
		2.61%	4.41%	1.66%	3.43%	2.33%	3.15%	4.42%	1.53%	1.24%	0.29%	2.81%	1.56%	3.59%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	0	1	2	1	2	0	0	1	0	1	1	1									
		0.15%	0.00%	0.15%	0.24%	0.12%	0.20%	0.00%	0.00%	0.21%	0.00%	0.17%	0.22%	0.24%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	127	13	10	17	16	17	7	2	9	4	7	8	17									
		1.85%	2.05%	1.51%	2.01%	1.97%	1.67%	3.87%	0.51%	1.87%	1.15%	1.16%	1.79%	4.07%									
