Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																			
Дата голосования: 07.12.2003 0:00:00																			
																			
Наименование Избирательной комиссии:    Верхнеландеховская																			
																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																			
																			
		Сумма	УИК  360	УИК  361	УИК  362	УИК  363	УИК  364	УИК  365	УИК  366	УИК  367	УИК  368	УИК  369	УИК  370	УИК  371					
1	"Число избирателей, внесенных в списки"	4446	794	902	162	252	166	200	251	167	633	444	247	228					
2	"Число бюллетеней, полученных участковыми комиссиями"	4065	698	830	170	218	166	201	231	161	554	399	217	220					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2211	469	528	6	110	88	101	113	103	298	128	139	128					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	877	53	51	115	50	41	57	71	56	156	131	46	50					
6	Число погашенных бюллетеней	977	176	251	49	58	37	43	47	2	100	140	32	42					
7	Число бюллетеней в переносных ящиках для голосования	877	53	51	115	50	41	57	71	56	156	131	46	50					
8	Число бюллетеней в стационарных ящиках для голосования	2211	469	528	6	110	88	101	113	103	298	128	139	128					
9	Число недействительных бюллетеней	26	0	10	3	0	1	0	2	1	5	0	4	0					
10	Число действительных бюллетеней	3062	522	569	118	160	128	158	182	158	449	259	181	178					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	45	8	8	3	3	3	3	2	3	3	3	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	26	8	8	0	2	0	1	2	1	2	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	14	3	0	0	0	2	1	1	1	0	2	3	1					
14	Число погашенных открепительных удостоверений	19	0	0	3	1	3	2	0	2	1	3	1	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	"1. ""ЕДИНЕНИЕ"""	50	8	16	2	3	1	0	2	0	7	4	5	2					
		1.61%	1.53%	2.76%	1.65%	1.87%	0.77%	0.0%	1.08%	0.0%	1.54%	1.54%	2.70%	1.12%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	26	7	3	3	1	2	1	1	0	5	1	1	1					
		0.84%	1.34%	0.51%	2.47%	0.62%	1.55%	0.63%	0.54%	0.0%	1.10%	0.38%	0.54%	0.56%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	69	9	4	13	10	2	4	5	2	13	6	1	0					
		2.23%	1.72%	0.69%	10.74%	6.25%	1.55%	2.53%	2.71%	1.25%	2.86%	2.31%	0.54%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	36	6	6	3	2	1	3	2	3	3	2	3	2					
		1.16%	1.14%	1.03%	2.47%	1.25%	0.77%	1.89%	1.08%	1.88%	0.66%	0.77%	1.62%	1.12%					
22	"5. ""За Русь Святую"""	13	0	2	0	0	1	1	0	0	3	3	3	0					
		0.42%	0.0%	0.34%	0.0%	0.0%	0.77%	0.63%	0.0%	0.0%	0.66%	1.15%	1.62%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	5	2	1	0	0	0	0	1	0	0	0	1	0					
		0.16%	0.38%	0.17%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.54%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	9	5	3	0	0	0	0	0	0	0	0	1	0					
		0.29%	0.95%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%					
25	"8. ""Народно-республиканская партия России"""	3	0	0	0	0	0	1	0	0	0	1	1	0					
		0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.63%	0.0%	0.0%	0.0%	0.38%	0.54%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	5	1	1	0	1	0	0	0	0	2	0	0	0					
		0.16%	0.19%	0.17%	0.0%	0.62%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%					
