Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																		
Дата голосования: 02.12.2007																																																																		
																																																																		
"Наименование Избирательной комиссии:    Челябинск, Тракторозаводская"																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783					
1	"Число избирателей, внесенных в списки избирателей"	126770	2285	2566	2683	1570	1908	1717	1782	1510	1445	1843	2716	1602	1789	1897	1912	2080	1631	2514	1674	1626	1964	1729	2892	2534	2825	2207	2372	2411	1162	2227	1228	2287	2703	1868	2835	2375	1608	1602	1973	2503	2441	2624	2636	2098	2689	2624	2733	2494	2451	2564	2451	2884	2629	2590	2530	2039	1815	1235	1188					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	92350	1850	1700	1900	1100	1350	1200	1300	1100	1000	1450	1900	1150	1350	1400	1400	1550	1250	1800	1200	1200	1450	1350	2000	1900	1950	1750	1800	1800	950	1600	950	1650	2000	1400	1950	1650	1150	1150	1500	1800	1750	1850	1850	1450	1900	1850	2000	1750	1850	1900	1700	2050	1950	2050	1800	1400	1250	900	1200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	82052	1577	1613	1781	989	1290	1070	1121	935	859	1356	1741	1031	1178	1312	1322	1396	1049	1706	1026	999	1260	1176	1849	1590	1733	1448	1552	1634	787	1408	824	1539	1872	1248	1847	1530	1067	1024	1309	1718	1555	1703	1564	1303	1654	1622	1833	1653	1670	1764	1590	1894	1688	1653	1642	1310	1015	685	488					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3740	46	44	63	41	24	48	37	44	57	54	23	23	32	55	13	43	8	18	37	20	37	110	10	40	62	48	68	84	44	104	40	45	52	54	74	53	38	33	78	33	57	66	90	65	79	44	51	56	43	37	49	74	82	221	51	70	94	30	644					
6	Число погашенных избирательных бюллетеней	6558	227	43	56	70	36	82	142	121	84	40	136	96	140	33	65	111	193	76	137	181	153	64	141	270	155	254	180	82	119	88	86	66	76	98	29	67	45	93	113	49	138	81	196	82	167	184	116	41	137	99	61	82	180	176	107	20	141	185	68					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3740	46	44	63	41	24	48	37	44	57	54	23	23	32	55	13	43	8	18	37	20	37	110	10	40	62	48	68	84	44	104	40	45	52	54	74	53	38	33	78	33	57	66	90	65	79	44	51	56	43	37	49	74	82	221	51	70	94	30	644					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	82001	1577	1613	1781	989	1288	1068	1121	929	859	1354	1741	1031	1178	1312	1321	1395	1049	1706	1026	998	1260	1176	1847	1585	1733	1447	1552	1632	787	1407	824	1536	1872	1246	1845	1529	1067	1024	1305	1718	1555	1694	1563	1303	1654	1622	1833	1653	1670	1764	1590	1894	1686	1653	1642	1310	1014	685	488					
9	Число недействительных избирательных бюллетеней	1262	24	9	16	19	32	12	11	13	13	20	43	18	18	20	31	29	9	23	11	10	21	16	23	30	29	19	20	32	17	23	7	29	27	21	19	27	7	17	17	16	23	27	24	24	55	32	17	32	30	28	25	29	31	18	20	21	14	7	7					
10	Число действительных избирательных бюллетеней	84479	1599	1648	1828	1011	1280	1104	1147	960	903	1388	1721	1036	1192	1347	1303	1409	1048	1701	1052	1008	1276	1270	1834	1595	1766	1476	1600	1684	814	1488	857	1552	1897	1279	1900	1555	1098	1040	1366	1735	1589	1733	1629	1344	1678	1634	1867	1677	1683	1773	1614	1939	1737	1856	1673	1359	1094	708	1125					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3465	50	110	60	45	50	60	190	40	45	50	90	60	50	50	40	95	50	60	50	80	40	45	90	65	60	50	50	50	40	50	45	50	70	45	80	50	30	40	62	56	60	64	55	50	60	50	63	85	70	70	60	70	60	75	60	40	50	30	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	3332	50	104	60	45	48	50	190	39	44	48	90	59	50	47	40	95	49	60	48	79	40	41	90	65	60	50	50	50	32	42	37	50	70	40	80	50	28	39	62	55	60	63	50	43	60	49	63	73	70	70	55	70	52	67	58	39	45	19	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2749	88	178	36	18	42	33	54	12	27	117	67	20	11	87	19	30	20	26	38	47	111	56	34	24	42	28	34	28	23	34	19	29	61	56	24	34	24	21	28	23	24	22	16	41	25	31	32	27	36	99	46	23	29	21	15	25	41	5	488					
14	Число погашенных неиспользованных открепительных удостоверений	133	0	6	0	0	2	10	0	1	1	2	0	1	0	3	0	0	1	0	2	1	0	4	0	0	0	0	0	0	8	8	8	0	0	5	0	0	2	1	0	1	0	1	5	7	0	1	0	12	0	0	5	0	8	8	2	1	5	11	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	126	1	2	5	0	2	2	3	1	4	2	2	3	3	3	2	2	4	6	2	0	1	2	8	1	1	0	2	3	0	0	2	1	1	0	3	0	3	2	2	2	1	3	1	1	5	1	5	1	1	3	0	4	3	3	3	1	3	4	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																		
18	1.Политическая партия «Аграрная партия России»	2006	48	26	42	16	41	29	42	12	22	31	34	28	28	21	45	29	22	37	22	22	21	32	92	27	47	34	39	41	20	36	28	34	70	44	65	36	37	20	31	32	31	39	48	31	41	28	42	42	33	32	38	51	18	42	17	28	20	14	28					
		2.34%	2.96%	1.57%	2.28%	1.55%	3.13%	2.60%	3.63%	1.23%	2.40%	2.20%	1.93%	2.66%	2.31%	1.54%	3.37%	2.02%	2.08%	2.15%	2.07%	2.16%	1.62%	2.49%	4.95%	1.66%	2.62%	2.27%	2.41%	2.39%	2.41%	2.38%	3.24%	2.15%	3.64%	3.38%	3.39%	2.28%	3.35%	1.89%	2.24%	1.83%	1.92%	2.22%	2.90%	2.27%	2.37%	1.68%	2.23%	2.46%	1.93%	1.78%	2.32%	2.59%	1.02%	2.24%	1.00%	2.03%	1.81%	1.96%	2.47%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1056	31	20	21	16	15	12	22	9	10	13	29	4	16	23	11	12	13	20	19	19	19	29	20	15	19	13	21	11	17	15	16	21	28	18	38	24	10	10	7	39	19	22	22	7	26	25	15	23	17	15	18	18	30	25	14	14	6	9	6					
		1.23%	1.91%	1.21%	1.14%	1.55%	1.14%	1.08%	1.90%	0.92%	1.09%	0.92%	1.64%	0.38%	1.32%	1.68%	0.82%	0.83%	1.23%	1.16%	1.79%	1.87%	1.46%	2.26%	1.08%	0.92%	1.06%	0.87%	1.30%	0.64%	2.05%	0.99%	1.85%	1.33%	1.46%	1.38%	1.98%	1.52%	0.90%	0.95%	0.51%	2.23%	1.18%	1.25%	1.33%	0.51%	1.50%	1.50%	0.80%	1.35%	0.99%	0.83%	1.10%	0.91%	1.70%	1.33%	0.83%	1.01%	0.54%	1.26%	0.53%					
20	3.Политическая партия «Демократическая партия России»	117	4	4	3	2	2	1	2	0	2	1	4	1	1	0	2	0	2	2	1	2	4	4	2	1	3	1	0	2	1	4	0	3	0	1	1	0	3	0	1	2	3	5	4	1	2	1	6	6	2	2	1	3	4	1	1	3	1	1	1					
		0.14%	0.25%	0.24%	0.16%	0.19%	0.15%	0.09%	0.17%	0.00%	0.22%	0.07%	0.23%	0.09%	0.08%	0.00%	0.15%	0.00%	0.19%	0.12%	0.09%	0.20%	0.31%	0.31%	0.11%	0.06%	0.17%	0.07%	0.00%	0.12%	0.12%	0.26%	0.00%	0.19%	0.00%	0.08%	0.05%	0.00%	0.27%	0.00%	0.07%	0.11%	0.19%	0.28%	0.24%	0.07%	0.12%	0.06%	0.32%	0.35%	0.12%	0.11%	0.06%	0.15%	0.23%	0.05%	0.06%	0.22%	0.09%	0.14%	0.09%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	10432	216	166	169	142	142	96	168	127	112	157	180	140	136	190	161	141	86	195	84	100	165	162	173	154	196	195	228	252	88	175	120	271	333	206	304	211	142	143	190	209	200	260	208	110	168	159	307	224	240	214	202	255	253	246	215	111	84	50	101					
		12.17%	13.31%	10.02%	9.16%	13.79%	10.82%	8.60%	14.51%	13.05%	12.23%	11.15%	10.20%	13.28%	11.24%	13.90%	12.07%	9.81%	8.14%	11.31%	7.90%	9.82%	12.72%	12.60%	9.32%	9.48%	10.92%	13.04%	14.07%	14.69%	10.59%	11.58%	13.89%	17.14%	17.31%	15.85%	15.84%	13.34%	12.85%	13.53%	13.74%	11.94%	12.41%	14.77%	12.58%	8.04%	9.69%	9.54%	16.30%	13.11%	14.01%	11.88%	12.32%	12.96%	14.31%	13.13%	12.70%	8.04%	7.58%	6.99%	8.92%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	893	45	18	20	19	12	16	9	13	16	16	22	7	15	24	14	6	16	16	7	8	17	26	12	16	10	12	12	10	8	21	14	18	19	27	21	25	8	13	15	13	12	30	10	9	9	20	16	17	13	11	13	13	14	23	12	18	6	3	8					
		1.04%	2.77%	1.09%	1.08%	1.84%	0.91%	1.43%	0.78%	1.34%	1.75%	1.14%	1.25%	0.66%	1.24%	1.76%	1.05%	0.42%	1.51%	0.93%	0.66%	0.79%	1.31%	2.02%	0.65%	0.98%	0.56%	0.80%	0.74%	0.58%	0.96%	1.39%	1.62%	1.14%	0.99%	2.08%	1.09%	1.58%	0.72%	1.23%	1.08%	0.74%	0.74%	1.70%	0.60%	0.66%	0.52%	1.20%	0.85%	0.99%	0.76%	0.61%	0.79%	0.66%	0.79%	1.23%	0.71%	1.30%	0.54%	0.42%	0.71%					
23	6.Политическая партия «Партия социальной справедливости»	287	8	6	11	2	2	1	4	3	3	2	3	6	0	3	2	9	4	4	11	2	5	5	7	1	6	8	5	4	2	3	3	4	7	2	7	5	5	4	4	5	5	11	7	8	2	8	7	9	8	5	8	7	4	3	6	1	3	0	7					
		0.33%	0.49%	0.36%	0.60%	0.19%	0.15%	0.09%	0.35%	0.31%	0.33%	0.14%	0.17%	0.57%	0.00%	0.22%	0.15%	0.63%	0.38%	0.23%	1.03%	0.20%	0.39%	0.39%	0.38%	0.06%	0.33%	0.54%	0.31%	0.23%	0.24%	0.20%	0.35%	0.25%	0.36%	0.15%	0.36%	0.32%	0.45%	0.38%	0.29%	0.29%	0.31%	0.63%	0.42%	0.58%	0.12%	0.48%	0.37%	0.53%	0.47%	0.28%	0.49%	0.36%	0.23%	0.16%	0.35%	0.07%	0.27%	0.00%	0.62%					
24	7.Политическая партия «Либерально-демократическая партия России»	8484	134	149	206	114	141	111	105	89	112	140	215	80	140	135	140	111	114	214	139	113	154	134	213	179	169	158	147	159	59	155	74	140	169	112	177	147	110	100	137	192	155	141	147	138	190	178	184	157	171	170	157	204	159	175	161	130	107	83	90					
		9.89%	8.26%	8.99%	11.17%	11.07%	10.75%	9.95%	9.07%	9.15%	12.23%	9.94%	12.19%	7.59%	11.57%	9.88%	10.49%	7.72%	10.79%	12.41%	13.08%	11.10%	11.87%	10.42%	11.47%	11.02%	9.42%	10.57%	9.07%	9.27%	7.10%	10.26%	8.56%	8.86%	8.78%	8.62%	9.22%	9.29%	9.95%	9.46%	9.91%	10.97%	9.62%	8.01%	8.89%	10.09%	10.96%	10.68%	9.77%	9.19%	9.98%	9.44%	9.58%	10.37%	8.99%	9.34%	9.51%	9.42%	9.66%	11.61%	7.95%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	8330	209	161	190	82	118	91	99	99	68	147	136	94	104	159	115	102	87	147	97	100	111	115	145	130	179	125	143	132	87	142	88	231	241	148	255	194	146	103	136	151	139	202	158	117	150	144	169	165	190	210	172	175	199	194	169	98	111	70	91					
		9.72%	12.88%	9.72%	10.30%	7.96%	8.99%	8.15%	8.55%	10.17%	7.42%	10.44%	7.71%	8.92%	8.60%	11.63%	8.62%	7.09%	8.23%	8.53%	9.13%	9.82%	8.56%	8.94%	7.81%	8.00%	9.97%	8.36%	8.83%	7.69%	10.47%	9.40%	10.19%	14.61%	12.53%	11.38%	13.29%	12.26%	13.21%	9.74%	9.83%	8.62%	8.62%	11.48%	9.56%	8.55%	8.66%	8.64%	8.97%	9.65%	11.09%	11.66%	10.49%	8.89%	11.26%	10.35%	9.98%	7.10%	10.02%	9.79%	8.04%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	826	22	16	28	7	16	11	15	10	9	24	22	8	13	20	13	14	5	13	8	6	16	13	25	13	13	4	11	20	6	13	5	17	15	7	21	10	9	10	14	15	4	21	18	9	25	22	17	22	13	18	17	17	11	21	13	12	8	9	12					
		0.96%	1.36%	0.97%	1.52%	0.68%	1.22%	0.99%	1.30%	1.03%	0.98%	1.70%	1.25%	0.76%	1.07%	1.46%	0.97%	0.97%	0.47%	0.75%	0.75%	0.59%	1.23%	1.01%	1.35%	0.80%	0.72%	0.27%	0.68%	1.17%	0.72%	0.86%	0.58%	1.08%	0.78%	0.54%	1.09%	0.63%	0.81%	0.95%	1.01%	0.86%	0.25%	1.19%	1.09%	0.66%	1.44%	1.32%	0.90%	1.29%	0.76%	0.99%	1.04%	0.86%	0.62%	1.12%	0.77%	0.87%	0.72%	1.26%	1.06%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	49618	753	1006	1088	588	760	717	653	561	538	808	1031	645	695	707	749	969	673	1006	636	597	690	689	1108	1019	1080	900	961	1009	504	899	481	749	947	669	971	869	601	610	804	1016	961	950	956	881	1017	1002	1058	980	955	1060	927	1143	996	1079	1024	930	731	459	753					
