Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																			
Дата голосования: 04.12.2011																																																																			
																																																																			
"Наименование Избирательной комиссии:    Челябинск, Тракторозаводская"																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
		Сумма	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №2226					
1	"Число избирателей, внесенных в список избирателей"	133007	2516	2525	2923	1523	1857	1572	1718	1467	1430	1784	2804	1689	1773	1775	1755	2220	1757	2292	1710	1698	2358	3024	2469	2917	3455	2606	2401	2479	1199	2576	1635	2124	2753	1720	2589	2863	1519	1541	2109	2437	2366	2496	2676	2092	2615	2720	2591	2656	2318	2369	2292	2753	2504	2613	2376	2340	2452	1768	1239	2209					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	119926	1950	2000	2500	1500	1750	1500	1550	1350	1300	1700	2650	1500	1700	1650	1650	2000	1500	2150	1500	1400	2200	2600	2100	2300	2500	2000	2100	2200	1050	2100	1500	2000	2500	1600	2450	2700	1450	1450	1800	2350	2300	2450	2500	1950	2450	2550	2450	2500	2200	2200	2150	2600	2350	2350	2250	2150	2150	1500	1150	1976					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	70702	1661	1514	1623	789	983	728	886	756	670	975	1357	772	887	1042	920	1082	948	1208	884	870	1572	2218	1387	1605	2054	1562	1288	1357	634	1273	873	1128	1606	890	1438	1422	757	846	1336	1208	1133	1235	1244	1001	1204	1260	1349	1261	1219	1362	1140	1391	1324	1358	1192	1124	1159	952	452	1333					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3153	38	45	46	35	19	33	42	32	24	51	15	29	31	47	17	16	10	8	80	83	29	100	13	27	40	44	59	57	28	162	30	44	47	54	58	48	37	40	41	32	43	48	67	68	35	28	36	22	40	38	31	59	66	237	54	58	54	8	54	416					
6	Число погашенных избирательных бюллетеней	46071	251	441	831	676	748	739	622	562	606	674	1278	699	782	561	713	902	542	934	536	447	599	282	700	668	406	394	753	786	388	665	597	828	847	656	954	1230	656	564	423	1110	1124	1167	1189	881	1211	1262	1065	1217	941	800	979	1150	960	755	1004	968	937	540	644	227					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3152	38	45	46	35	19	33	42	32	24	51	15	29	31	47	17	16	10	8	80	83	29	100	13	27	40	44	59	57	28	162	30	44	47	54	58	48	37	40	41	32	43	48	67	68	35	28	36	22	40	38	31	59	66	237	54	58	54	8	54	415					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	70523	1658	1513	1623	789	981	728	867	756	670	973	1355	768	887	1042	920	1080	948	1208	881	870	1526	2218	1387	1603	2051	1561	1288	1352	634	1272	873	1122	1606	889	1435	1422	757	844	1332	1205	1129	1235	1222	1001	1203	1260	1344	1239	1218	1362	1139	1389	1321	1358	1192	1124	1157	952	452	1332					
9	Число недействительных избирательных бюллетеней	1369	29	25	26	16	24	10	18	13	11	13	28	15	10	20	22	24	25	13	18	23	28	43	28	36	37	41	32	30	9	21	11	14	36	21	25	29	16	15	20	21	26	12	25	12	27	38	31	22	33	37	22	23	21	22	25	19	25	22	10	21					
10	Число действительных избирательных бюллетеней	72306	1667	1533	1643	808	976	751	891	775	683	1011	1342	782	908	1069	915	1072	933	1203	943	930	1527	2275	1372	1594	2054	1564	1315	1379	653	1413	892	1152	1617	922	1468	1441	778	869	1353	1216	1146	1271	1264	1057	1211	1250	1349	1239	1225	1363	1148	1425	1366	1573	1221	1163	1186	938	496	1726					
