Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																								
Дата голосования: 04.12.2011																																								
																																								
Наименование Избирательной комиссии:    Шушенская																																								
																																								
Сводная таблица результатов выборов																																								
																																								
		Сумма	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2266					
1	"Число избирателей, внесенных в список избирателей"	28574	713	1111	1815	1823	1591	1532	1204	1733	1450	1849	1840	397	125	261	1588	496	143	58	185	722	1855	1366	147	448	148	116	1826	260	141	1048	361	144	78					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28363	705	1040	1780	1810	1570	1530	1200	1700	1440	1850	1830	390	123	256	1590	500	142	58	184	730	1860	1370	143	450	142	118	1790	251	143	1080	360	146	82					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	14005	339	463	819	846	725	823	628	877	748	1020	912	174	66	142	765	242	54	31	86	310	772	711	68	211	73	62	957	151	64	553	167	90	56					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1001	77	98	66	19	34	66	16	30	32	65	42	32	4	9	54	19	6	4	4	64	90	50	7	13	11	4	37	6	1	29	10	0	2					
6	Число погашенных избирательных бюллетеней	13357	289	479	895	945	811	641	556	793	660	765	876	184	53	105	771	239	82	23	94	356	998	609	68	226	58	52	796	94	78	498	183	56	24					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1001	77	98	66	19	34	66	16	30	32	65	42	32	4	9	54	19	6	4	4	64	90	50	7	13	11	4	37	6	1	29	10	0	2					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13995	339	463	818	846	725	823	628	876	748	1018	911	174	66	142	765	242	54	31	86	310	772	711	68	211	73	62	952	151	64	553	167	90	56					
9	Число недействительных избирательных бюллетеней	222	6	13	6	17	9	13	10	9	12	10	8	1	1	10	14	9	0	1	2	9	9	7	1	5	6	1	13	1	3	9	3	3	1					
10	Число действительных избирательных бюллетеней	14774	410	548	878	848	750	876	634	897	768	1073	945	205	69	141	805	252	60	34	88	365	853	754	74	219	78	65	976	156	62	573	174	87	57					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	340	10	10	10	15	10	15	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	138	3	6	8	14	6	12	3	9	10	8	7	0	0	1	4	3	0	0	0	6	9	7	2	1	0	0	5	1	1	10	0	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	151	4	8	5	0	3	1	4	17	3	5	3	36	2	2	4	3	1	2	3	0	7	4	5	2	5	0	7	4	1	5	2	1	2					
14	Число погашенных неиспользованных открепительных удостоверений	202	7	4	2	1	4	3	7	1	0	2	3	10	10	9	6	7	10	10	10	4	1	3	8	9	10	10	5	9	9	0	10	10	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2159	69	79	128	147	115	169	118	156	143	177	95	14	4	7	117	38	1	3	7	35	119	145	12	30	12	0	112	12	6	54	20	5	10					
		14.40%	16.59%	14.08%	14.48%	16.99%	15.15%	19.01%	18.32%	17.22%	18.33%	16.34%	9.97%	6.80%	5.71%	4.64%	14.29%	14.56%	1.67%	8.57%	7.78%	9.36%	13.81%	19.05%	16.00%	13.39%	14.29%	0.00%	11.32%	7.64%	9.23%	9.28%	11.30%	5.56%	17.24%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2348	58	83	138	167	127	128	83	134	87	153	150	17	5	22	142	40	13	3	15	65	174	131	14	18	3	13	168	35	23	67	37	28	7					
		15.66%	13.94%	14.80%	15.61%	19.31%	16.73%	14.40%	12.89%	14.79%	11.15%	14.13%	15.74%	8.25%	7.14%	14.57%	17.34%	15.33%	21.67%	8.57%	16.67%	17.38%	20.19%	17.21%	18.67%	8.04%	3.57%	19.70%	16.99%	22.29%	35.38%	11.51%	20.90%	31.11%	12.07%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	159	6	6	15	9	12	8	5	7	13	12	7	0	0	3	5	4	1	1	1	2	10	7	0	0	0	0	15	0	0	9	1	0	0					
		1.06%	1.44%	1.07%	1.70%	1.04%	1.58%	0.90%	0.78%	0.77%	1.67%	1.11%	0.73%	0.00%	0.00%	1.99%	0.61%	1.53%	1.67%	2.86%	1.11%	0.53%	1.16%	0.92%	0.00%	0.00%	0.00%	0.00%	1.52%	0.00%	0.00%	1.55%	0.56%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3648	99	141	261	226	209	223	154	246	203	284	283	35	19	14	156	45	10	10	22	57	188	141	8	37	14	13	220	30	12	242	17	8	21					
		24.33%	23.80%	25.13%	29.52%	26.13%	27.54%	25.08%	23.91%	27.15%	26.03%	26.22%	29.70%	16.99%	27.14%	9.27%	19.05%	17.24%	16.67%	28.57%	24.44%	15.24%	21.81%	18.53%	10.67%	16.52%	16.67%	19.70%	22.24%	19.11%	18.46%	41.58%	9.60%	8.89%	36.21%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	342	11	11	25	20	16	37	22	28	32	40	20	1	0	0	4	1	0	0	1	1	22	5	2	3	2	1	14	2	1	15	0	1	4					
		2.28%	2.64%	1.96%	2.83%	2.31%	2.11%	4.16%	3.42%	3.09%	4.10%	3.69%	2.10%	0.49%	0.00%	0.00%	0.49%	0.38%	0.00%	0.00%	1.11%	0.27%	2.55%	0.66%	2.67%	1.34%	2.38%	1.52%	1.42%	1.27%	1.54%	2.58%	0.00%	1.11%	6.90%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6032	166	221	304	274	266	306	252	317	285	401	379	138	41	95	377	124	35	15	41	204	335	322	38	130	47	38	444	76	20	182	99	45	15					
		40.22%	39.90%	39.39%	34.39%	31.68%	35.05%	34.42%	39.13%	34.99%	36.54%	37.03%	39.77%	66.99%	58.57%	62.91%	46.03%	47.51%	58.33%	42.86%	45.56%	54.55%	38.86%	42.31%	50.67%	58.04%	55.95%	57.58%	44.89%	48.41%	30.77%	31.27%	55.93%	50.00%	25.86%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	86	1	7	7	5	5	5	0	9	5	6	11	0	0	0	4	0	0	2	1	1	5	3	0	1	0	0	3	1	0	4	0	0	0					
		0.57%	0.24%	1.25%	0.79%	0.58%	0.66%	0.56%	0.00%	0.99%	0.64%	0.55%	1.15%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	5.71%	1.11%	0.27%	0.58%	0.39%	0.00%	0.45%	0.00%	0.00%	0.30%	0.64%	0.00%	0.69%	0.00%	0.00%	0.00%					
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
