Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Базарносызганская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7081	1216	1145	1389	203	283	94	246	53	233	343	91	140	442	124	54	335	55	238	118	82	197									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7164	1200	1100	1400	210	280	98	260	58	250	360	90	140	460	130	61	350	59	240	120	88	210									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4623	636	654	708	153	207	77	202	45	190	267	60	98	338	117	47	277	30	192	85	67	173									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	585	73	52	134	30	21	4	20	3	15	31	17	25	69	2	2	30	19	12	18	7	1									
6	Число погашенных избирательных бюллетеней	1956	491	394	558	27	52	17	38	10	45	62	13	17	53	11	12	43	10	36	17	14	36									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	585	73	52	134	30	21	4	20	3	15	31	17	25	69	2	2	30	19	12	18	7	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4623	636	654	708	153	207	77	202	45	190	267	60	98	338	117	47	277	30	192	85	67	173									
9	Число недействительных избирательных бюллетеней	54	7	4	2	3	0	1	0	0	11	18	0	0	0	0	0	0	3	2	0	0	3									
10	Число действительных избирательных бюллетеней	5154	702	702	840	180	228	80	222	48	194	280	77	123	407	119	49	307	46	202	103	74	171									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	400	40	40	60	10	15	10	15	5	15	25	10	10	30	10	5	30	5	25	10	5	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	254	40	14	30	10	5	6	15	5	15	14	5	1	30	10	5	16	5	10	10	5	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	86	16	5	8	3	7	4	1	2	5	1	6	1	4	0	0	0	1	6	2	2	12									
14	Число погашенных неиспользованных открепительных удостоверений	146	0	26	30	0	10	4	0	0	0	11	5	9	0	0	0	14	0	15	0	0	22									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	54	18	11	11	1	0	0	2	0	1	4	0	1	1	0	0	0	0	0	1	1	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	32	9	8	2	3	0	1	0	0	0	2	0	2	0	0	0	1	0	3	1	0	0									
		0.61%	1.27%	1.13%	0.24%	1.64%	0.00%	1.23%	0.00%	0.00%	0.00%	0.67%	0.00%	1.63%	0.00%	0.00%	0.00%	0.33%	0.00%	1.47%	0.97%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	154	27	15	18	4	12	4	0	1	5	33	3	5	0	3	0	7	2	6	0	1	8									
		2.96%	3.81%	2.12%	2.14%	2.19%	5.26%	4.94%	0.00%	2.08%	2.44%	11.07%	3.90%	4.07%	0.00%	2.52%	0.00%	2.28%	4.08%	2.94%	0.00%	1.35%	4.60%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	78	18	15	10	1	1	1	2	0	1	0	1	1	8	0	1	6	0	4	6	1	1									
		1.50%	2.54%	2.12%	1.19%	0.55%	0.44%	1.23%	0.90%	0.00%	0.49%	0.00%	1.30%	0.81%	1.97%	0.00%	2.04%	1.95%	0.00%	1.96%	5.83%	1.35%	0.57%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3475	379	446	538	108	171	51	178	38	133	200	61	82	311	111	40	243	35	136	73	61	80									
		66.72%	53.46%	63.17%	63.90%	59.02%	75.00%	62.96%	80.18%	79.17%	64.88%	67.11%	79.22%	66.67%	76.41%	93.28%	81.63%	79.15%	71.43%	66.67%	70.87%	82.43%	45.98%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	8	1	2	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0									
		0.15%	0.14%	0.28%	0.12%	0.00%	0.00%	3.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.10%	0.14%	0.28%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	711	115	107	128	37	11	11	15	3	32	32	10	21	54	5	3	28	1	26	11	2	59									
		13.65%	16.22%	15.16%	15.20%	20.22%	4.82%	13.58%	6.76%	6.25%	15.61%	10.74%	12.99%	17.07%	13.27%	4.20%	6.12%	9.12%	2.04%	12.75%	10.68%	2.70%	33.91%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	9	3	2	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0									
		0.17%	0.42%	0.28%	0.00%	0.55%	0.00%	1.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	1.35%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	14	0	6	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1									
		0.27%	0.00%	0.85%	0.36%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.94%	0.00%	0.57%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1									
		0.10%	0.14%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	33	7	6	6	1	1	0	0	1	3	1	0	1	3	0	0	2	0	0	0	0	1									
		0.63%	0.99%	0.85%	0.71%	0.55%	0.44%	0.00%	0.00%	2.08%	1.46%	0.34%	0.00%	0.81%	0.74%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.57%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	526	129	80	115	20	28	7	16	4	11	4	2	7	31	0	5	12	7	23	3	5	17									
		10.10%	18.19%	11.33%	13.66%	10.93%	12.28%	8.64%	7.21%	8.33%	5.37%	1.34%	2.60%	5.69%	7.62%	0.00%	10.20%	3.91%	14.29%	11.27%	2.91%	6.76%	9.77%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	8	1	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0									
		0.15%	0.14%	0.28%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	1.35%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	96	11	11	12	4	4	1	11	1	9	6	0	4	0	0	0	7	1	2	7	2	3									
		1.84%	1.55%	1.56%	1.43%	2.19%	1.75%	1.23%	4.95%	2.08%	4.39%	2.01%	0.00%	3.25%	0.00%	0.00%	0.00%	2.28%	2.04%	0.98%	6.80%	2.70%	1.72%									
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
