Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																												
Дата голосования: 18.09.2016																																																																												
																																																																												
Наименование Избирательной комиссии:    Копейская городская																																																																												
																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																												
																																																																												
		Сумма	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №2276	УИК №2277	УИК №2400									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	111284	2302	1064	895	962	2613	2144	2611	547	2507	2472	2689	2047	967	2222	2477	1525	1617	1141	1630	871	1296	1727	1213	541	1231	1156	2382	2123	2361	2316	1979	2609	1480	2496	2043	889	1574	2321	1899	2294	1747	564	2046	1063	2330	1383	2308	2266	1232	2386	1028	417	2925	1216	1524	2413	1878	2277	299	2629	327	1224	1021	2438	1110									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	102650	2100	1000	850	900	2400	2000	2400	500	2300	2300	2500	1850	850	2000	2300	1400	1500	1050	1400	800	1200	1600	1000	500	1100	1100	2200	2000	2200	2100	1800	2400	1400	2300	1900	800	1450	2200	1800	2100	1600	500	1900	1000	2150	1300	2150	2100	1200	2200	950	400	2700	1150	1400	2250	1750	2050	300	2400	300	1150	950	2250	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	44862	728	399	249	543	1043	794	944	180	946	846	908	668	287	1288	1104	731	579	424	589	358	538	687	373	255	537	467	1194	995	996	1053	860	1164	626	1139	789	430	659	1038	816	750	618	245	757	442	774	491	843	827	469	947	353	148	1294	561	579	1020	808	1045	131	1229	103	499	370	918	417									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3757	126	60	89	221	78	137	65	23	79	64	122	77	31	61	28	32	62	28	107	38	28	40	179	7	39	39	37	48	37	46	78	72	23	40	44	25	33	23	30	88	76	44	40	19	60	74	41	52	40	64	52	24	221	39	34	28	61	36	48	51	24	58	29	38	20									
6	Число погашенных избирательных бюллетеней	54031	1246	541	512	136	1279	1069	1391	297	1275	1390	1470	1105	532	651	1168	637	859	598	704	404	634	873	448	238	524	594	969	957	1167	1001	862	1164	751	1121	1067	345	758	1139	954	1262	906	211	1103	539	1316	735	1266	1221	691	1189	545	228	1185	550	787	1202	881	969	121	1120	173	593	551	1294	563									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3757	126	60	89	221	78	137	65	23	79	64	122	77	31	61	28	32	62	28	107	38	28	40	179	7	39	39	37	48	37	46	78	72	23	40	44	25	33	23	30	88	76	44	40	19	60	74	41	52	40	64	52	24	221	39	34	28	61	36	48	51	24	58	29	38	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	44851	728	399	249	543	1041	794	944	180	946	843	908	668	287	1288	1104	731	579	424	589	358	538	687	373	255	537	467	1194	995	996	1053	858	1164	626	1139	789	430	659	1038	816	750	617	245	757	441	774	491	843	827	469	945	353	148	1294	561	579	1020	808	1045	131	1229	103	499	370	918	417									
9	Число недействительных избирательных бюллетеней	1584	36	25	8	18	39	38	24	3	35	34	33	27	9	30	46	29	28	21	22	10	21	17	20	6	19	16	37	23	30	39	28	30	22	38	19	13	26	27	30	31	18	15	27	9	31	14	32	46	33	51	15	5	19	18	31	27	30	35	1	32	5	13	21	32	17									
10	Число действительных избирательных бюллетеней	47024	818	434	330	746	1080	893	985	200	990	873	997	718	309	1319	1086	734	613	431	674	386	545	710	532	256	557	490	1194	1020	1003	1060	908	1206	627	1141	814	442	666	1034	816	807	675	274	770	451	803	551	852	833	476	958	390	167	1496	582	582	1021	839	1046	178	1248	122	544	378	924	420									
