Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																	
Дата голосования: 04.12.2011																	
																	
Наименование Избирательной комиссии:    Тазовская																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194					
1	"Число избирателей, внесенных в список избирателей"	13279	1551	1361	866	915	1193	895	1469	1871	963	2195					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13554	1475	1250	835	870	1190	880	1540	1920	1094	2500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	4798	0	0	0	0	0	660	680	1395	647	1416					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7296	1363	1168	691	745	973	220	749	470	230	687					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	135	14	26	39	7	39	0	10	0	0	0					
6	Число погашенных избирательных бюллетеней	1325	98	56	105	118	178	0	101	55	217	397					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4933	14	26	39	7	39	660	690	1395	647	1416					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7287	1363	1168	691	738	973	218	749	470	230	687					
9	Число недействительных избирательных бюллетеней	189	15	22	11	17	29	6	34	11	13	31					
10	Число действительных избирательных бюллетеней	12031	1362	1172	719	728	983	872	1405	1854	864	2072					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	263	35	35	25	25	45	25	30	35	8	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	227	35	19	25	10	45	25	30	35	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	333	42	40	12	15	35	10	4	4	9	162					
14	Число погашенных неиспользованных открепительных удостоверений	36	0	16	0	15	0	0	0	0	5	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	137	10	5	15	6	18	32	36	10	5	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	565	31	98	26	9	65	30	27	80	53	146					
		4.62%	2.25%	8.21%	3.56%	1.21%	6.42%	3.42%	1.88%	4.29%	6.04%	6.94%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1318	186	155	95	45	204	32	120	102	151	228					
		10.79%	13.51%	12.98%	13.01%	6.04%	20.16%	3.64%	8.34%	5.47%	17.22%	10.84%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	137	9	10	5	11	19	15	8	19	16	25					
		1.12%	0.65%	0.84%	0.68%	1.48%	1.88%	1.71%	0.56%	1.02%	1.82%	1.19%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	579	97	75	36	31	70	43	23	41	23	140					
		4.74%	7.04%	6.28%	4.93%	4.16%	6.92%	4.90%	1.60%	2.20%	2.62%	6.66%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	150	22	11	9	1	21	9	12	15	11	39					
		1.23%	1.60%	0.92%	1.23%	0.13%	2.08%	1.03%	0.83%	0.80%	1.25%	1.85%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9219	1010	818	546	630	598	740	1211	1590	606	1470					
		75.44%	73.35%	68.51%	74.79%	84.56%	59.09%	84.28%	84.16%	85.25%	69.10%	69.90%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	63	7	5	2	1	6	3	4	7	4	24					
		0.52%	0.51%	0.42%	0.27%	0.13%	0.59%	0.34%	0.28%	0.38%	0.46%	1.14%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
