Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																
Дата голосования: 02.12.2007																
																
Наименование Избирательной комиссии:    Тазовская																
																
Сводная таблица результатов выборов																
																
		Сумма	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187					
1	"Число избирателей, внесенных в списки избирателей"	11981	1575	1174	1206	807	1209	626	1380	1779	2225					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11230	1375	1070	1050	680	1090	620	1390	1730	2225					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	4236	218	383	0	0	11	417	601	1205	1401					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	6615	986	632	977	661	1037	200	775	523	824					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	143	10	36	53	10	34	0	0	0	0					
6	Число погашенных избирательных бюллетеней	236	161	19	20	9	8	3	14	2	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4379	228	419	53	10	45	417	601	1205	1401					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6613	986	632	977	661	1037	200	773	523	824					
9	Число недействительных избирательных бюллетеней	783	163	20	106	94	91	60	35	145	69					
10	Число действительных избирательных бюллетеней	10209	1051	1031	924	577	991	557	1339	1583	2156					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	310	40	50	40	40	60	20	30	30	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	204	37	17	18	19	60	4	20	29	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	197	97	16	4	5	15	6	5	6	43					
14	Число погашенных неиспользованных открепительных удостоверений	106	3	33	22	21	0	16	10	1	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	40	12	7	10	2	4	0	5	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
																
18	1.Политическая партия «Аграрная партия России»	65	5	10	4	9	9	1	2	10	15					
		0.59%	0.41%	0.95%	0.39%	1.34%	0.83%	0.16%	0.15%	0.58%	0.67%					
19	2.Всероссийская политическая партия «Гражданская Сила»	38	6	3	3	3	8	5	0	5	5					
		0.35%	0.49%	0.29%	0.29%	0.45%	0.74%	0.81%	0.00%	0.29%	0.22%					
20	3.Политическая партия «Демократическая партия России»	18	3	2	4	2	0	2	0	5	0					
		0.16%	0.25%	0.19%	0.39%	0.30%	0.00%	0.32%	0.00%	0.29%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	87	2	11	12	19	6	3	3	5	26					
		0.79%	0.16%	1.05%	1.17%	2.83%	0.55%	0.49%	0.22%	0.29%	1.17%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	22	6	1	4	2	2	0	0	7	0					
		0.20%	0.49%	0.10%	0.39%	0.30%	0.18%	0.00%	0.00%	0.41%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	19	1	3	2	0	4	0	1	6	2					
		0.17%	0.08%	0.29%	0.19%	0.00%	0.37%	0.00%	0.07%	0.35%	0.09%					
24	7.Политическая партия «Либерально-демократическая партия России»	731	157	108	84	82	157	15	61	20	47					
		6.65%	12.93%	10.28%	8.16%	12.22%	14.51%	2.43%	4.44%	1.16%	2.11%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	201	12	44	14	42	44	2	7	5	31					
		1.83%	0.99%	4.19%	1.36%	6.26%	4.07%	0.32%	0.51%	0.29%	1.39%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	39	5	4	3	7	3	0	5	9	3					
		0.35%	0.41%	0.38%	0.29%	1.04%	0.28%	0.00%	0.36%	0.52%	0.13%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	8955	849	840	791	407	754	529	1259	1501	2025					
		81.47%	69.93%	79.92%	76.80%	60.66%	69.69%	85.74%	91.63%	86.86%	91.01%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	34	5	5	3	4	4	0	1	10	2					
		0.31%	0.41%	0.48%	0.29%	0.60%	0.37%	0.00%	0.07%	0.58%	0.09%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
