Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																															
Дата голосования: 02.12.2007																																																															
																																																															
Наименование Избирательной комиссии:    Дахадаевская																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429					
1	"Число избирателей, внесенных в списки избирателей"	22631	1196	782	981	547	418	339	85	825	648	549	409	386	252	581	630	240	627	203	183	118	606	1027	1056	1019	19	1033	293	157	412	438	83	200	155	179	323	147	82	73	100	186	83	496	350	149	325	123	394	61	256	963	863	163	254	190	250	124					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	22577	1181	787	975	546	410	339	85	825	645	546	414	480	252	581	630	240	622	200	180	110	600	1029	1046	1011	15	1030	290	150	380	430	80	200	155	179	320	147	80	73	100	180	80	490	350	149	330	120	394	61	260	960	860	160	250	190	260	120					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14709	771	674	714	533	275	227	67	522	351	404	294	366	160	479	393	151	261	135	103	95	11	687	802	771	3	504	195	92	202	201	53	103	78	93	170	147	80	67	100	123	68	272	185	104	143	109	225	50	180	489	652	148	170	190	195	72					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	717	0	16	15	0	53	12	5	29	116	20	38	0	0	30	25	0	114	9	10	4	0	11	15	11	0	17	29	0	8	18	0	21	0	10	23	0	0	6	0	0	0	15	10	0	0	0	0	0	14	0	0	7	0	0	6	0					
6	Число погашенных избирательных бюллетеней	7151	410	97	246	13	82	100	13	274	178	122	82	114	92	72	212	89	247	56	67	11	589	331	229	229	12	509	66	58	170	211	27	76	77	76	127	0	0	0	0	57	12	203	155	45	187	11	169	11	66	471	208	5	80	0	59	48					
7	Число избирательных бюллетеней в переносных ящиках для голосования	717	0	16	15	0	53	12	5	29	116	20	38	0	0	30	25	0	114	9	10	4	0	11	15	11	0	17	29	0	8	18	0	21	0	10	23	0	0	6	0	0	0	15	10	0	0	0	0	0	14	0	0	7	0	0	6	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14709	771	674	714	533	275	227	67	522	351	404	294	366	160	479	393	151	261	135	103	95	11	687	802	771	3	504	195	92	202	201	53	103	78	93	170	147	80	67	100	123	68	272	185	104	143	109	225	50	180	489	652	148	170	190	195	72					
9	Число недействительных избирательных бюллетеней	229	18	11	11	8	4	8	4	15	0	0	20	41	2	30	5	0	5	0	0	0	0	0	2	0	0	5	0	0	5	0	1	0	3	0	0	0	0	0	0	0	1	8	3	1	0	0	0	0	0	6	5	0	7	0	0	0					
10	Число действительных избирательных бюллетеней	15197	753	679	718	525	324	231	68	536	467	424	312	325	158	479	413	151	370	144	113	99	11	698	815	782	3	516	224	92	205	219	52	124	75	103	193	147	80	73	100	123	67	279	192	103	143	109	225	50	194	483	647	155	163	190	201	72					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	299	16	11	13	7	6	5	1	13	10	8	6	7	4	8	8	3	8	3	2	2	8	14	14	14	0	13	3	2	5	5	1	2	2	2	4	2	1	1	1	2	1	6	5	2	4	1	4	0	4	13	12	2	3	2	2	1					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	298	16	11	13	7	6	5	1	13	10	8	6	7	4	7	8	3	8	3	2	2	8	14	14	14	0	13	3	2	5	5	1	2	2	2	4	2	1	1	1	2	1	6	5	2	4	1	4	0	4	13	12	2	3	2	2	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
