Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
"Наименование Избирательной комиссии:    Казань, Кировская"																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	82617	2659	2642	2806	437	2218	2026	2224	2512	1720	2018	2087	1933	1590	2386	2396	2005	1720	1514	807	2076	2547	2676	2568	2109	1586	907	1168	2000	1921	2185	1150	470	965	1659	1092	1957	2227	2839	2470	2342	1996	1914	419	917	70	567	120									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	78300	2500	2500	2700	400	2000	2000	2100	2400	1600	2000	2000	1800	1500	2300	2300	2000	1700	1500	700	2000	2400	2500	2500	2000	1500	700	1000	2000	1900	2100	1000	400	900	1500	1000	1900	2000	2700	2400	2200	1900	1800	350	800	100	600	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	45610	1307	1171	2662	279	1174	1002	1128	1280	1020	1181	1033	1009	828	1306	1126	1555	1017	888	383	871	1491	1516	1591	759	720	549	882	986	1492	1046	617	273	473	975	597	884	1124	1309	1380	1228	1007	1059	174	501	70	567	120									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	983	31	27	8	3	24	20	78	66	28	35	21	16	12	9	24	17	15	10	19	10	15	11	14	14	9	5	15	16	12	59	29	8	28	0	38	21	12	21	19	13	11	54	80	6	0	0	0									
6	Число погашенных избирательных бюллетеней	31707	1162	1302	30	118	802	978	894	1054	552	784	946	775	660	985	1150	428	668	602	298	1119	894	973	895	1227	771	146	103	998	396	995	354	119	399	525	365	995	864	1370	1001	959	882	687	96	293	30	33	30									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	983	31	27	8	3	24	20	78	66	28	35	21	16	12	9	24	17	15	10	19	10	15	11	14	14	9	5	15	16	12	59	29	8	28	0	38	21	12	21	19	13	11	54	80	6	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	45586	1307	1171	2662	279	1174	998	1127	1280	1020	1181	1033	1009	828	1301	1120	1552	1016	888	381	871	1491	1516	1591	759	720	549	882	986	1492	1046	617	273	473	975	597	884	1124	1309	1378	1228	1007	1059	174	501	70	567	120									
9	Число недействительных избирательных бюллетеней	452	32	20	0	6	10	2	10	22	10	12	1	3	2	16	10	0	6	11	6	17	17	30	4	25	29	5	3	21	5	10	10	0	8	8	5	12	0	15	5	4	10	13	0	14	0	3	0									
10	Число действительных избирательных бюллетеней	46117	1306	1178	2670	276	1188	1016	1195	1324	1038	1204	1053	1022	838	1294	1134	1569	1025	887	394	864	1489	1497	1601	748	700	549	894	981	1499	1095	636	281	493	967	630	893	1136	1315	1392	1237	1008	1100	254	493	70	564	120									
