Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																	
Дата голосования: 02.12.2007																																																																	
																																																																	
Наименование Избирательной комиссии:    Шадринская																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161					
1	"Число избирателей, внесенных в списки избирателей"	24639	254	222	204	1177	112	215	200	202	147	923	278	329	120	328	1173	389	501	762	633	162	376	797	511	380	519	197	551	1376	771	377	210	188	588	933	557	536	168	253	95	585	118	106	267	251	168	499	1379	212	399	335	334	139	174	720	467	199	181	392					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	24486	256	222	202	1131	111	206	200	211	157	925	278	321	121	323	1159	398	498	770	627	155	371	786	520	375	496	189	547	1356	764	387	209	193	571	921	534	531	163	256	94	586	119	107	273	263	168	488	1367	225	390	340	333	145	177	716	463	216	183	393					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	16189	181	151	141	711	69	145	142	131	104	567	202	198	90	190	713	237	342	609	454	93	228	538	303	228	345	121	381	794	533	278	143	138	436	612	372	358	121	169	84	451	90	89	177	164	138	345	780	148	253	202	191	106	133	428	321	134	131	256					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1719	9	9	41	153	9	10	7	7	0	28	9	39	8	20	34	62	56	74	23	17	32	20	43	30	29	27	9	84	28	14	15	14	19	17	44	63	16	22	8	32	6	8	24	24	13	23	155	37	34	54	43	10	9	27	8	32	27	4					
6	Число погашенных избирательных бюллетеней	6578	66	62	20	267	33	51	51	73	53	330	67	84	23	113	412	99	100	87	150	45	111	228	174	117	122	41	157	478	203	95	51	41	116	292	118	110	26	65	2	103	23	10	72	75	17	120	432	40	103	84	99	29	35	261	134	50	25	133					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1719	9	9	41	153	9	10	7	7	0	28	9	39	8	20	34	62	56	74	23	17	32	20	43	30	29	27	9	84	28	14	15	14	19	17	44	63	16	22	8	32	6	8	24	24	13	23	155	37	34	54	43	10	9	27	8	32	27	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16188	181	151	141	711	69	145	142	131	104	567	202	198	90	190	713	237	342	609	454	93	228	538	303	228	345	121	381	794	533	278	143	138	436	612	372	358	121	169	84	451	90	89	177	164	138	345	779	148	253	202	191	106	133	428	321	134	131	256					
9	Число недействительных избирательных бюллетеней	75	0	0	0	1	2	1	4	0	0	3	1	0	1	2	5	0	2	1	2	0	1	3	0	1	2	0	2	2	0	0	0	1	1	2	3	3	0	0	0	1	1	2	0	0	1	3	7	1	2	0	2	0	1	1	0	1	3	3					
10	Число действительных избирательных бюллетеней	17832	190	160	182	863	76	154	145	138	104	592	210	237	97	208	742	299	396	682	475	110	259	555	346	257	372	148	388	876	561	292	158	151	454	627	413	418	137	191	92	482	95	95	201	188	150	365	927	184	285	256	232	116	141	454	329	165	155	257					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	418	4	4	4	20	4	4	4	7	9	15	4	4	4	4	12	9	6	19	6	4	4	15	10	4	10	2	6	20	14	12	4	7	16	10	6	6	4	4	4	11	4	4	4	4	4	4	10	9	9	4	4	4	4	4	8	14	4	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	341	4	1	1	20	0	4	4	7	9	15	4	2	3	1	12	9	6	19	6	2	3	13	10	1	10	1	6	20	14	12	0	7	16	7	4	3	0	3	2	7	0	2	4	4	0	1	7	9	4	4	4	0	0	4	8	14	4	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	170	2	1	2	0	0	4	2	0	1	6	3	3	2	1	4	3	3	7	12	6	9	0	1	4	3	1	3	6	10	1	1	4	5	1	6	6	2	4	4	1	0	2	0	0	0	3	8	2	8	1	1	0	1	3	4	0	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	77	0	3	3	0	4	0	0	0	0	0	0	2	1	3	0	0	0	0	0	2	1	2	0	3	0	1	0	0	0	0	4	0	0	3	2	3	4	1	2	4	4	2	0	0	4	3	3	0	5	0	0	4	4	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																	
18	1.Политическая партия «Аграрная партия России»	699	14	8	8	20	2	3	5	8	4	28	9	12	6	6	25	16	18	35	15	6	6	41	16	5	7	3	27	34	30	14	5	11	29	15	6	18	4	11	8	20	2	0	4	1	2	13	26	3	14	16	10	1	3	14	9	7	9	7					
