Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    район Люблино																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №3703	УИК №3704	УИК №3705									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	112797	2724	1939	1421	1549	1834	1939	2125	1174	1147	1615	1597	1715	2306	2412	2549	2042	2384	2638	2591	2280	2387	2169	2493	2582	3022	2830	1983	1593	1549	2545	1690	2418	2115	2734	2450	2204	2253	2116	1825	1572	2565	2634	2519	2091	1773	1797	2354	2720	2709	3114	3406	325	135	127	17									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	74212	1765	1240	921	1013	1188	1260	1386	761	749	1048	1041	1117	1496	1568	1659	1330	1552	1726	1695	1484	1554	1404	1631	1679	1967	1850	1279	1035	995	1663	1105	1580	1380	1777	1603	1435	1409	1378	1192	1025	1672	1704	1647	1351	1156	1173	1541	1768	1765	2145	2500	500	200	130	20									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	35791	989	633	396	547	590	544	684	429	336	508	531	511	686	737	808	577	747	780	819	771	801	744	652	779	854	872	662	511	434	784	545	774	647	870	663	704	700	620	540	508	775	869	863	585	544	466	713	757	778	1290	1463	154	135	95	17									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1315	16	22	16	8	29	27	17	18	11	21	20	10	29	39	33	28	23	37	27	15	9	16	10	12	8	12	11	5	16	21	16	21	28	26	20	13	30	21	19	8	13	8	11	4	11	5	4	12	21	258	18	163	0	19	0									
6	Число погашенных избирательных бюллетеней	37106	760	585	509	458	569	689	685	314	402	519	490	596	781	792	818	725	782	909	849	698	744	644	969	888	1105	966	606	519	545	858	544	785	705	881	920	718	679	737	633	509	884	827	773	762	601	702	824	999	966	597	1019	183	65	16	3									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1311	16	22	16	8	28	27	17	18	11	21	20	10	29	39	33	28	23	37	27	15	9	16	9	12	8	10	11	5	16	21	16	21	28	26	20	13	30	21	19	8	13	8	11	4	11	5	4	12	21	258	18	163	0	19	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	35748	988	633	395	545	590	544	684	429	331	508	531	511	686	737	808	575	747	778	818	771	799	744	652	779	852	872	662	511	434	784	545	772	643	870	663	704	700	620	540	506	773	869	863	581	533	466	713	757	778	1290	1463	154	135	95	17									
9	Число недействительных избирательных бюллетеней	720	8	9	11	11	5	11	13	18	7	24	12	15	15	15	23	12	11	12	13	18	26	16	8	16	18	18	9	3	10	11	13	16	18	21	13	13	14	8	15	14	13	19	6	9	11	6	12	12	19	26	29	7	6	2	0									
10	Число действительных избирательных бюллетеней	36339	996	646	400	542	613	560	688	429	335	505	539	506	700	761	818	591	759	803	832	768	782	744	653	775	842	864	664	513	440	794	548	777	653	875	670	704	716	633	544	500	773	858	868	576	533	465	705	757	780	1522	1452	310	129	112	17									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1055	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	35	20	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	634	14	8	11	13	9	2	14	5	8	6	7	12	9	10	11	16	12	20	19	17	18	15	19	6	20	20	11	7	7	14	13	8	11	13	17	13	16	16	5	7	16	11	11	12	15	8	17	20	12	14	19	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	478	20	38	1	4	13	4	9	5	6	6	2	3	3	2	5	8	7	2	7	7	14	28	2	4	7	4	16	2	21	4	4	5	3	9	2	14	16	9	2	3	5	5	0	10	8	3	1	11	2	10	24	9	47	5	17									
14	Число погашенных неиспользованных открепительных удостоверений	421	6	12	9	7	11	18	6	15	12	14	13	8	11	10	9	4	8	0	1	3	2	5	1	14	0	0	9	13	13	6	7	12	9	7	3	7	4	4	15	13	4	9	9	8	5	12	3	0	8	6	16	20	0	0	0									
