Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																	
Дата голосования: 04.12.2011																																	
																																	
Наименование Избирательной комиссии:    Красногорская																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627					
1	"Число избирателей, внесенных в список избирателей"	11121	995	885	441	574	778	668	693	158	110	195	466	251	279	310	155	330	708	359	319	196	381	734	356	326	318	136					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11250	990	942	436	574	785	674	679	159	104	199	476	243	287	307	149	341	720	372	324	204	378	738	361	332	331	145					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8793	776	853	330	454	497	439	496	140	68	160	380	221	185	252	135	285	630	230	303	157	322	496	271	314	293	106					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	666	36	32	29	37	44	27	15	9	12	25	22	19	48	18	3	11	10	74	0	18	53	72	52	0	0	0					
6	Число погашенных избирательных бюллетеней	1791	178	57	77	83	244	208	168	10	24	14	74	3	54	37	11	45	80	68	21	29	3	170	38	18	38	39					
7	Число избирательных бюллетеней в переносных ящиках для голосования	666	36	32	29	37	44	27	15	9	12	25	22	19	48	18	3	11	10	74	0	18	53	72	52	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8793	776	853	330	454	497	439	496	140	68	160	380	221	185	252	135	285	630	230	303	157	322	496	271	314	293	106					
9	Число недействительных избирательных бюллетеней	26	5	0	0	0	0	1	0	0	2	0	1	0	0	0	1	0	6	0	0	1	0	9	0	0	0	0					
10	Число действительных избирательных бюллетеней	9433	807	885	359	491	541	465	511	149	78	185	401	240	233	270	137	296	634	304	303	174	375	559	323	314	293	106					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	115	9	14	7	9	7	7	7	3	1	3	3	3	3	3	3	5	1	3	3	3	3	3	6	0	3	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	78	8	14	2	9	5	6	2	2	0	1	1	2	3	2	0	5	1	3	1	1	0	1	6	0	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	39	2	1	2	1	2	1	1	2	3	0	1	5	2	4	3	1	2	1	0	0	1	3	1	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	37	1	0	5	0	2	1	5	1	1	2	2	1	0	1	3	0	0	0	2	2	3	2	0	0	1	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	33	2	5	2	1	6	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	2	7	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	107	7	7	0	4	2	5	3	2	1	5	3	1	2	4	2	1	11	1	4	2	1	30	6	1	1	1					
