Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва														
Дата голосования: 04.12.2011														
														
Наименование Избирательной комиссии:    Тенькинская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79					
1	"Число избирателей, внесенных в список избирателей"	4016	117	1498	1491	108	46	418	338					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3972	105	1467	1532	117	41	385	325					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	131	0	99	32	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	1552	83	488	532	87	41	186	135					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	184	7	58	43	7	0	38	31					
6	Число погашенных избирательных бюллетеней	2105	15	822	925	23	0	161	159					
7	Число избирательных бюллетеней в переносных ящиках для голосования	315	7	157	75	7	0	38	31					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1552	83	488	532	87	41	186	135					
9	Число недействительных избирательных бюллетеней	23	1	7	7	2	3	2	1					
10	Число действительных избирательных бюллетеней	1844	89	638	600	92	38	222	165					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	138	10	33	34	16	5	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	51	6	6	8	16	5	5	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	22	2	5	3	2	1	6	3					
14	Число погашенных неиспользованных открепительных удостоверений	87	4	27	26	0	0	15	15					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	4	8	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	268	7	104	84	14	2	31	26					
		14.35%	7.78%	16.12%	13.84%	14.89%	4.88%	13.84%	15.66%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	409	22	137	129	18	8	54	41					
		21.91%	24.44%	21.24%	21.25%	19.15%	19.51%	24.11%	24.70%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	19	0	7	8	0	0	2	2					
		1.02%	0.00%	1.09%	1.32%	0.00%	0.00%	0.89%	1.20%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	374	9	126	163	9	4	40	23					
		20.03%	10.00%	19.53%	26.85%	9.57%	9.76%	17.86%	13.86%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	42	1	12	18	5	0	3	3					
		2.25%	1.11%	1.86%	2.97%	5.32%	0.00%	1.34%	1.81%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	719	50	245	196	46	23	90	69					
		38.51%	55.56%	37.98%	32.29%	48.94%	56.10%	40.18%	41.57%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	13	0	7	2	0	1	2	1					
		0.70%	0.00%	1.09%	0.33%	0.00%	2.44%	0.89%	0.60%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
