Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
"Наименование Избирательной комиссии:    Краснодар, Западная"																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099					
1	"Число избирателей, внесенных в списки"	128163	2043	2279	3686	2667	2369	2301	2484	2650	1422	2192	2622	2096	2626	1898	2529	2764	2207	2480	2408	2604	2253	2652	1611	2673	1870	1722	2423	2704	2894	2740	1549	2372	2246	2017	2768	1900	2077	2347	1329	1525	1882	2592	2935	1693	2663	3030	2629	2869	2980	3000	2121	2475	2374	2210	160	18	141	14	346	32					
2	"Число бюллетеней, полученных участковыми комиссиями"	119304	1900	2200	3000	2500	2200	2100	2300	2500	1300	2000	2500	2000	2500	1700	2200	2500	2100	2200	2300	2400	2100	2500	1500	2400	1700	1600	2200	2500	2700	2600	1500	2100	2100	1700	2500	1800	1900	2300	2700	1400	1700	2400	2700	1500	2400	2800	2400	2700	2700	2800	1900	2100	2200	2000	160	17	163	14	400	50					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	63981	806	1168	1923	1332	1254	1169	1464	1128	648	1059	1226	1103	1148	837	1202	1254	1187	1636	1213	1158	1132	1436	677	1315	988	806	1079	1466	1451	1494	836	1198	1247	875	1565	1048	995	1069	1253	624	836	1152	1372	676	1362	1466	1371	1381	1392	1506	950	1155	1143	1150	127	17	126	14	284	32					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2475	30	56	51	56	48	50	63	37	52	43	48	30	59	38	66	34	19	85	60	52	75	40	77	25	42	40	50	36	47	23	26	18	41	57	41	29	40	81	76	37	81	64	63	36	21	38	38	33	32	26	23	18	33	29	0	0	0	0	62	0					
6	Число погашенных бюллетеней	52848	1064	976	1026	1112	898	881	773	1335	600	898	1226	867	1293	825	932	1212	894	479	1027	1190	893	1024	746	1060	670	754	1071	998	1202	1083	638	884	812	768	894	723	865	1150	1371	739	783	1184	1265	788	1017	1296	991	1286	1276	1268	927	927	1024	821	33	0	37	0	54	18					
7	Число бюллетеней в переносных ящиках для голосования	2475	30	56	51	56	48	50	63	37	52	43	48	30	59	38	66	34	19	85	60	52	75	40	77	25	42	40	50	36	47	23	26	18	41	57	41	29	40	81	76	37	81	64	63	36	21	38	38	33	32	26	23	18	33	29	0	0	0	0	62	0					
8	Число бюллетеней в стационарных ящиках для голосования	63650	806	1168	1920	1332	1248	1169	1226	1128	647	1059	1178	1095	1148	837	1191	1250	1186	1636	1211	1158	1132	1436	677	1314	987	806	1079	1466	1451	1494	836	1198	1247	875	1565	1048	995	1069	1253	624	836	1152	1372	676	1362	1459	1371	1381	1392	1506	950	1155	1143	1150	127	17	126	14	284	32					
9	Число недействительных бюллетеней	883	16	10	17	17	20	17	20	25	6	11	17	9	17	13	24	10	3	9	12	6	11	15	10	7	1	5	8	28	12	32	18	22	18	13	46	30	20	18	42	11	8	19	29	12	5	11	19	15	14	29	5	23	11	24	4	0	1	0	8	0					
10	Число действительных бюллетеней	65242	820	1214	1954	1371	1276	1202	1269	1140	693	1091	1209	1116	1190	862	1233	1274	1202	1712	1259	1204	1196	1461	744	1332	1028	841	1121	1474	1486	1485	844	1194	1270	919	1560	1047	1015	1132	1287	650	909	1197	1406	700	1378	1486	1390	1399	1410	1503	968	1150	1165	1155	123	17	125	14	338	32					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2997	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	82	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	652	9	16	17	20	12	8	21	12	10	11	4	8	11	10	7	15	12	10	32	8	13	18	5	13	5	10	18	21	14	23	8	7	22	1	16	14	7	9	11	5	5	9	12	8	14	23	16	13	14	11	4	6	12	12	0	0	0	0	0	0					
