Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																			
Дата голосования: 07.12.2003 0:00:00																			
																			
Наименование Избирательной комиссии:    Сусуманская																			
																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																			
																			
		Сумма	УИК №104	УИК №105	УИК №106	УИК №107	УИК №109	УИК №111	УИК №112	УИК №114	УИК №116	УИК №117	УИК №118	УИК №120					
1	"Число избирателей, внесенных в списки"	8532	2683	1526	390	720	369	93	862	60	133	1393	238	65					
2	"Число бюллетеней, полученных участковыми комиссиями"	8430	2649	1496	376	726	394	87	871	69	132	1290	270	70					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	57	0	0	0	0	33	10	0	0	0	0	14	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4440	1288	756	150	353	156	66	491	60	126	851	82	61					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	106	22	55	3	10	0	0	12	0	0	4	0	0					
6	Число погашенных бюллетеней	3827	1339	685	223	363	205	11	368	9	6	435	174	9					
7	Число бюллетеней в переносных ящиках для голосования	163	22	55	3	10	33	10	12	0	0	4	14	0					
8	Число бюллетеней в стационарных ящиках для голосования	4439	1287	756	150	353	156	66	491	60	126	851	82	61					
9	Число недействительных бюллетеней	35	7	6	3	5	2	0	1	0	1	10	0	0					
10	Число действительных бюллетеней	4567	1302	805	150	358	187	76	502	60	125	845	96	61					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	205	41	15	10	15	39	5	22	5	10	28	10	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	148	21	9	5	10	37	1	22	5	9	21	5	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	16	5	0	0	1	4	2	0	0	0	2	1	1					
14	Число погашенных открепительных удостоверений	57	20	6	5	5	2	4	0	0	1	7	5	2					
15	Число открепительных удостоверений выданных ТИК	25	3	8	2	1	0	0	0	1	10	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	"1. ""ЕДИНЕНИЕ"""	54	12	8	2	6	2	1	12	0	2	8	0	1					
		1.17%	0.91%	0.98%	1.30%	1.65%	1.05%	1.31%	2.38%	0.0%	1.58%	0.93%	0.0%	1.63%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	104	36	22	4	8	4	0	5	0	2	21	0	2					
		2.25%	2.75%	2.71%	2.61%	2.20%	2.11%	0.0%	0.99%	0.0%	1.58%	2.45%	0.0%	3.27%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	138	33	33	2	12	6	0	15	0	8	27	1	1					
		2.99%	2.52%	4.06%	1.30%	3.30%	3.17%	0.0%	2.98%	0.0%	6.34%	3.15%	1.04%	1.63%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	203	62	39	8	16	3	4	29	1	5	31	3	2					
		4.41%	4.73%	4.80%	5.22%	4.40%	1.58%	5.26%	5.76%	1.66%	3.96%	3.62%	3.12%	3.27%					
22	"5. ""За Русь Святую"""	17	7	2	0	2	0	0	3	0	1	2	0	0					
		0.36%	0.53%	0.24%	0.0%	0.55%	0.0%	0.0%	0.59%	0.0%	0.79%	0.23%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	16	4	2	1	1	0	0	4	0	0	3	1	0					
		0.34%	0.30%	0.24%	0.65%	0.27%	0.0%	0.0%	0.79%	0.0%	0.0%	0.35%	1.04%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	20	6	3	0	1	2	0	1	2	0	3	1	1					
		0.43%	0.45%	0.36%	0.0%	0.27%	1.05%	0.0%	0.19%	3.33%	0.0%	0.35%	1.04%	1.63%					
25	"8. ""Народно-республиканская партия России"""	2	0	0	0	0	0	1	0	0	0	0	1	0					
