Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Перемышльская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК  582	УИК  583	УИК  584	УИК  585	УИК  586	УИК  587	УИК  588	УИК  589	УИК  590	УИК  591	УИК  592	УИК  593	УИК  594	УИК  595	УИК  596	УИК  597	УИК  598	УИК  599	УИК  600					
1	"Число избирателей, внесенных в списки"	10425	580	212	114	243	188	1072	827	271	205	619	875	369	193	2664	174	457	566	508	288					
2	"Число бюллетеней, полученных участковыми комиссиями"	9880	590	195	113	212	192	1000	790	260	200	610	765	355	198	2500	170	430	535	480	285					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5038	278	138	31	87	85	706	423	124	81	259	390	176	79	1418	81	166	236	149	131					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1642	71	33	51	81	52	67	128	60	45	88	158	86	75	55	49	126	123	236	58					
6	Число погашенных бюллетеней	3200	241	24	31	44	55	227	239	76	74	263	217	93	44	1027	40	138	176	95	96					
7	Число бюллетеней в переносных ящиках для голосования	1642	71	33	51	81	52	67	128	60	45	88	158	86	75	55	49	126	123	236	58					
8	Число бюллетеней в стационарных ящиках для голосования	5036	278	138	31	87	85	704	423	124	81	259	390	176	79	1418	81	166	236	149	131					
9	Число недействительных бюллетеней	113	3	5	2	2	2	1	10	6	1	4	11	2	0	45	1	5	9	1	3					
10	Число действительных бюллетеней	6565	346	166	80	166	135	770	541	178	125	343	537	260	154	1428	129	287	350	384	186					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	178	10	4	2	4	4	16	14	5	4	16	16	7	4	30	4	8	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	87	4	0	2	0	0	4	8	3	3	16	9	3	1	15	0	1	10	0	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	60	4	1	2	3	0	2	5	5	2	3	2	0	0	10	4	4	12	1	0					
14	Число погашенных открепительных удостоверений	91	6	4	0	4	4	12	6	2	1	0	7	4	3	15	4	7	0	10	2					
15	Число открепительных удостоверений выданных ТИК	14	1	0	0	1	0	2	1	0	0	0	0	0	0	6	0	3	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	"1. ""ЕДИНЕНИЕ"""	73	7	4	0	1	3	4	6	3	0	4	1	3	0	19	4	2	4	4	4					
		1.09%	2.00%	2.33%	0.0%	0.59%	2.18%	0.51%	1.08%	1.63%	0.0%	1.15%	0.18%	1.14%	0.0%	1.28%	3.07%	0.68%	1.11%	1.03%	2.11%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	75	3	2	0	1	1	10	9	0	5	4	5	2	1	17	2	1	4	5	3					
		1.12%	0.85%	1.16%	0.0%	0.59%	0.72%	1.29%	1.63%	0.0%	3.96%	1.15%	0.91%	0.76%	0.64%	1.15%	1.53%	0.34%	1.11%	1.29%	1.58%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	128	5	5	3	4	4	13	8	6	2	4	12	3	4	27	3	12	5	3	5					
		1.91%	1.43%	2.92%	3.65%	2.38%	2.91%	1.68%	1.45%	3.26%	1.58%	1.15%	2.18%	1.14%	2.59%	1.83%	2.30%	4.10%	1.39%	0.77%	2.64%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	129	12	6	1	5	1	8	10	1	1	7	7	6	0	45	0	6	5	2	6					
		1.93%	3.43%	3.50%	1.21%	2.97%	0.72%	1.03%	1.81%	0.54%	0.79%	2.01%	1.27%	2.29%	0.0%	3.05%	0.0%	2.05%	1.39%	0.51%	3.17%					
22	"5. ""За Русь Святую"""	48	2	1	0	0	0	7	8	2	1	0	0	2	0	14	0	3	4	2	2					
		0.71%	0.57%	0.58%	0.0%	0.0%	0.0%	0.90%	1.45%	1.08%	0.79%	0.0%	0.0%	0.76%	0.0%	0.95%	0.0%	1.02%	1.11%	0.51%	1.05%					
23	"6. ""Объединенная Российская партия ""Русь"""	24	2	0	0	0	2	2	1	2	1	0	4	6	0	3	0	0	0	0	1					
		0.35%	0.57%	0.0%	0.0%	0.0%	1.45%	0.25%	0.18%	1.08%	0.79%	0.0%	0.72%	2.29%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.52%					
24	"7. ""Новый курс - Автомобильная Россия"""	36	0	0	0	0	0	4	1	2	1	4	4	1	0	15	0	2	1	1	0					
		0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.18%	1.08%	0.79%	1.15%	0.72%	0.38%	0.0%	1.01%	0.0%	0.68%	0.27%	0.25%	0.0%					
25	"8. ""Народно-республиканская партия России"""	13	2	0	0	1	0	0	2	0	0	2	0	0	0	4	0	0	0	1	1					
		0.19%	0.57%	0.0%	0.0%	0.59%	0.0%	0.0%	0.36%	0.0%	0.0%	0.57%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.25%	0.52%					
26	"9. ""Российская экологическая партия ""Зеленые"""	17	2	0	0	1	1	1	0	0	2	0	1	0	0	7	0	0	2	0	0					
		0.25%	0.57%	0.0%	0.0%	0.59%	0.72%	0.12%	0.0%	0.0%	1.58%	0.0%	0.18%	0.0%	0.0%	0.47%	0.0%	0.0%	0.55%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	475	31	18	4	25	2	47	50	18	5	11	45	24	21	56	6	14	35	40	23					
		7.11%	8.88%	10.52%	4.87%	14.88%	1.45%	6.09%	9.07%	9.78%	3.96%	3.17%	8.21%	9.16%	13.63%	3.80%	4.61%	4.79%	9.74%	10.38%	12.16%					
28	"11. ""Истинные патриоты России"""	12	1	0	0	0	0	2	0	0	2	0	0	0	2	1	0	0	1	3	0					
		0.17%	0.28%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	1.58%	0.0%	0.0%	0.0%	1.29%	0.06%	0.0%	0.0%	0.27%	0.77%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	90	3	0	0	1	1	1	12	3	2	1	3	1	0	47	0	2	11	2	0					
		1.34%	0.85%	0.0%	0.0%	0.59%	0.72%	0.12%	2.17%	1.63%	1.58%	0.28%	0.54%	0.38%	0.0%	3.19%	0.0%	0.68%	3.06%	0.51%	0.0%					
30	"13. ""Демократическая партия России"""	15	1	0	0	0	0	3	3	0	0	0	3	1	0	3	0	0	1	0	0					
		0.22%	0.28%	0.0%	0.0%	0.0%	0.0%	0.38%	0.54%	0.0%	0.0%	0.0%	0.54%	0.38%	0.0%	0.20%	0.0%	0.0%	0.27%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	23	0	1	0	0	0	2	5	2	0	0	2	2	0	4	0	2	2	0	1					
		0.34%	0.0%	0.58%	0.0%	0.0%	0.0%	0.25%	0.90%	1.08%	0.0%	0.0%	0.36%	0.76%	0.0%	0.27%	0.0%	0.68%	0.55%	0.0%	0.52%					
32	"15. ""Партия СЛОН"""	7	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	2	0					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.13%	0.0%	0.68%	0.0%	0.51%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	407	13	16	9	6	6	53	27	4	8	14	31	21	12	137	9	11	6	10	14					
		6.09%	3.72%	9.35%	10.97%	3.57%	4.37%	6.87%	4.90%	2.17%	6.34%	4.03%	5.65%	8.01%	7.79%	9.30%	6.92%	3.76%	1.67%	2.59%	7.40%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	25	3	1	0	0	0	4	1	1	2	0	3	1	2	3	0	0	0	1	3					
		0.37%	0.85%	0.58%	0.0%	0.0%	0.0%	0.51%	0.18%	0.54%	1.58%	0.0%	0.54%	0.38%	1.29%	0.20%	0.0%	0.0%	0.0%	0.25%	1.58%					
35	"18. ""ЛДПР"""	826	35	25	11	31	6	74	84	20	15	50	74	23	18	199	13	39	43	53	13					
		12.36%	10.02%	14.61%	13.41%	18.45%	4.37%	9.59%	15.24%	10.86%	11.90%	14.40%	13.50%	8.77%	11.68%	13.50%	10.0%	13.35%	11.97%	13.76%	6.87%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	101	3	0	1	0	6	8	9	3	2	8	21	4	2	19	2	3	5	2	3					
		1.51%	0.85%	0.0%	1.21%	0.0%	4.37%	1.03%	1.63%	1.63%	1.58%	2.30%	3.83%	1.52%	1.29%	1.28%	1.53%	1.02%	1.39%	0.51%	1.58%					
37	"20. ""Политическая партия ""Единая Россия"""	3006	146	71	45	72	92	391	210	91	55	186	247	101	67	554	79	145	172	203	79					
		45.01%	41.83%	41.52%	54.87%	42.85%	67.15%	50.71%	38.11%	49.45%	43.65%	53.60%	45.07%	38.54%	43.50%	37.61%	60.76%	49.65%	47.91%	52.72%	41.79%					
38	"21. ""Российская Конституционно-демократическая партия"""	15	2	1	1	0	0	2	0	0	0	1	1	0	0	3	0	1	2	0	1					
		0.22%	0.57%	0.58%	1.21%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.28%	0.18%	0.0%	0.0%	0.20%	0.0%	0.34%	0.55%	0.0%	0.52%					
39	"22. ""Развитие предпринимательства"""	9	0	0	0	2	0	0	1	0	0	1	2	0	0	0	0	1	0	0	2					
		0.13%	0.0%	0.0%	0.0%	1.19%	0.0%	0.0%	0.18%	0.0%	0.0%	0.28%	0.36%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	1.05%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	687	44	14	5	9	9	87	56	18	13	35	48	50	14	179	8	30	34	22	12					
		10.28%	12.60%	8.18%	6.09%	5.35%	6.56%	11.28%	10.16%	9.78%	10.31%	10.08%	8.75%	19.08%	9.09%	12.15%	6.15%	10.27%	9.47%	5.71%	6.34%					
																										
41	Против всех	324	29	1	0	7	1	47	38	2	8	11	23	9	10	70	3	11	13	28	13					
		4.85%	8.30%	0.58%	0.0%	4.16%	0.72%	6.09%	6.89%	1.08%	6.34%	3.17%	4.19%	3.43%	6.49%	4.75%	2.30%	3.76%	3.62%	7.27%	6.87%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
