Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
"Наименование Избирательной комиссии:    Владивосток, Первореченская"																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	106121	1986	2106	1998	1686	2170	2397	2234	2366	2043	2186	2282	2509	1762	1707	1699	1849	2106	1267	1909	1838	1672	1468	2686	3097	2342	2482	2264	1572	2284	2005	1993	1785	1958	2135	2042	1924	1860	1920	1769	2000	3109	2584	2237	1903	2175	2097	2799	2851	2728	2280									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	80900	1500	1600	1500	1300	1700	1800	1700	1800	1600	1700	1800	2000	1400	1300	1300	1400	1600	1000	1500	1400	1300	1100	2000	2300	1800	1900	1700	1100	1700	1500	1500	1300	1500	1600	1600	1500	1400	1500	1400	1500	2500	2000	1700	1500	1500	1500	2100	2200	2100	1700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	32121	673	624	638	435	535	782	648	805	545	540	646	768	619	537	513	604	566	421	523	608	470	502	758	1199	711	818	810	447	795	662	649	495	626	500	633	495	565	494	487	547	803	523	552	522	1141	480	817	847	992	751									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	295	9	12	4	10	2	11	6	7	6	17	10	8	19	5	5	6	4	3	7	0	4	6	10	2	4	9	7	5	4	9	5	6	2	0	7	11	3	4	8	7	9	4	13	0	1	4	0	0	0	0									
6	Число погашенных избирательных бюллетеней	48484	818	964	858	855	1163	1007	1046	988	1049	1143	1144	1224	762	758	782	790	1030	576	970	792	826	592	1232	1099	1085	1073	883	648	901	829	846	799	872	1100	960	994	832	1002	905	946	1688	1473	1135	978	358	1016	1283	1353	1108	949									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	295	9	12	4	10	2	11	6	7	6	17	10	8	19	5	5	6	4	3	7	0	4	6	10	2	4	9	7	5	4	9	5	6	2	0	7	11	3	4	8	7	9	4	13	0	1	4	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	32036	673	616	637	430	535	782	646	805	544	539	646	768	617	535	513	602	566	421	523	608	470	502	758	1192	710	818	810	447	795	661	649	495	626	500	632	495	565	494	487	547	803	523	552	522	1138	480	815	847	991	706									
9	Число недействительных избирательных бюллетеней	998	19	17	16	10	7	30	15	35	27	13	17	33	34	19	15	21	11	11	21	16	15	23	38	22	21	12	23	15	6	24	23	17	11	12	16	19	23	15	29	13	31	28	26	9	46	16	15	16	31	16									
10	Число действительных избирательных бюллетеней	31333	663	611	625	430	530	763	637	777	523	543	639	743	602	521	503	587	559	413	509	592	459	485	730	1172	693	815	794	437	793	646	631	484	617	488	623	487	545	483	466	541	781	499	539	513	1093	468	800	831	960	690									
