Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Туркменская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202					
1	"Число избирателей, внесенных в списки"	20043	2223	1486	549	341	230	1900	288	1900	1604	1720	663	141	860	225	810	577	1074	1025	130	955	216	1126					
2	"Число бюллетеней, полученных участковыми комиссиями"	20104	2199	1513	549	339	230	1903	290	1907	1605	1720	667	144	861	230	814	577	1084	1028	132	962	219	1131					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9968	1022	692	256	180	143	796	170	943	753	954	283	60	506	71	465	291	523	697	83	374	131	575					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	780	72	14	17	0	6	20	7	112	72	38	49	21	54	89	11	25	35	30	0	58	23	27					
6	Число погашенных бюллетеней	9356	1105	807	276	159	81	1087	113	852	780	728	335	63	301	70	338	261	526	301	49	530	65	529					
7	Число бюллетеней в переносных ящиках для голосования	780	72	14	17	0	6	20	7	112	72	38	49	21	54	89	11	25	35	30	0	58	23	27					
8	Число бюллетеней в стационарных ящиках для голосования	9964	1022	692	256	180	143	796	170	943	753	954	283	60	502	71	465	291	523	697	83	374	131	575					
9	Число недействительных бюллетеней	292	22	16	17	5	4	15	5	39	23	34	0	1	4	2	5	35	12	30	1	0	6	16					
10	Число действительных бюллетеней	10452	1072	690	256	175	145	801	172	1016	802	958	332	80	552	158	471	281	546	697	82	432	148	586					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	190	40	20	4	4	4	12	4	12	12	12	4	4	4	4	4	4	10	4	4	10	4	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	50	13	8	0	0	0	9	0	2	1	1	0	0	3	4	3	1	1	0	0	1	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	22	3	0	0	0	2	1	0	3	4	0	1	1	1	2	1	0	0	1	0	0	1	1					
14	Число погашенных открепительных удостоверений	140	27	12	4	4	4	3	4	10	11	11	4	4	1	0	1	3	9	4	4	9	4	7					
15	Число открепительных удостоверений выданных ТИК	8	1	1	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	"1. ""ЕДИНЕНИЕ"""	194	18	18	8	2	6	14	4	9	12	9	5	0	6	3	9	11	7	26	0	8	5	14					
		1.80%	1.64%	2.54%	2.93%	1.11%	4.02%	1.71%	2.25%	0.85%	1.45%	0.90%	1.50%	0.0%	1.07%	1.87%	1.89%	3.48%	1.25%	3.57%	0.0%	1.85%	3.24%	2.32%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	83	10	6	3	0	0	8	0	7	5	11	0	0	3	2	4	1	1	12	1	3	0	6					
		0.77%	0.91%	0.84%	1.09%	0.0%	0.0%	0.98%	0.0%	0.66%	0.60%	1.10%	0.0%	0.0%	0.53%	1.25%	0.84%	0.31%	0.17%	1.65%	1.20%	0.69%	0.0%	0.99%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	327	39	22	12	13	0	30	6	31	40	23	6	1	23	1	9	1	20	9	0	20	6	15					
		3.04%	3.56%	3.11%	4.39%	7.22%	0.0%	3.67%	3.38%	2.93%	4.84%	2.31%	1.80%	1.23%	4.13%	0.62%	1.89%	0.31%	3.58%	1.23%	0.0%	4.62%	3.89%	2.49%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	74	16	5	0	2	1	7	0	12	0	4	1	0	5	2	0	1	2	5	0	2	1	8					
		0.68%	1.46%	0.70%	0.0%	1.11%	0.67%	0.85%	0.0%	1.13%	0.0%	0.40%	0.30%	0.0%	0.89%	1.25%	0.0%	0.31%	0.35%	0.68%	0.0%	0.46%	0.64%	1.32%					
22	"5. ""За Русь Святую"""	34	6	2	0	1	1	1	2	0	4	5	1	0	5	0	2	0	0	0	0	0	0	4					
		0.31%	0.54%	0.28%	0.0%	0.55%	0.67%	0.12%	1.12%	0.0%	0.48%	0.50%	0.30%	0.0%	0.89%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.66%					
23	"6. ""Объединенная Российская партия ""Русь"""	25	3	0	1	0	3	5	1	0	0	5	0	0	2	1	0	0	1	0	0	1	0	2					
		0.23%	0.27%	0.0%	0.36%	0.0%	2.01%	0.61%	0.56%	0.0%	0.0%	0.50%	0.0%	0.0%	0.35%	0.62%	0.0%	0.0%	0.17%	0.0%	0.0%	0.23%	0.0%	0.33%					
24	"7. ""Новый курс - Автомобильная Россия"""	45	13	4	1	0	0	0	0	5	12	5	0	0	1	0	0	0	0	0	0	2	0	2					
		0.41%	1.18%	0.56%	0.36%	0.0%	0.0%	0.0%	0.0%	0.47%	1.45%	0.50%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.33%					
25	"8. ""Народно-республиканская партия России"""	15	0	0	0	0	0	5	0	0	1	1	0	0	2	0	2	1	2	0	0	1	0	0					
		0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.61%	0.0%	0.0%	0.12%	0.10%	0.0%	0.0%	0.35%	0.0%	0.42%	0.31%	0.35%	0.0%	0.0%	0.23%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	18	2	3	0	0	1	4	0	0	0	3	0	0	1	0	0	0	2	0	0	0	0	2					
		0.16%	0.18%	0.42%	0.0%	0.0%	0.67%	0.49%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.33%					
27	"10. ""Аграрная партия России"""	1644	95	68	13	22	19	237	86	167	95	130	54	6	167	33	115	5	117	36	6	46	22	105					
		15.30%	8.68%	9.63%	4.76%	12.22%	12.75%	29.04%	48.58%	15.82%	11.51%	13.10%	16.26%	7.40%	30.03%	20.62%	24.15%	1.58%	20.96%	4.95%	7.22%	10.64%	14.28%	17.44%					
28	"11. ""Истинные патриоты России"""	130	19	6	6	2	6	2	0	1	1	1	7	0	4	25	1	2	2	18	7	5	2	13					
		1.20%	1.73%	0.84%	2.19%	1.11%	4.02%	0.24%	0.0%	0.09%	0.12%	0.10%	2.10%	0.0%	0.71%	15.62%	0.21%	0.63%	0.35%	2.47%	8.43%	1.15%	1.29%	2.15%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	94	9	6	1	13	2	8	0	12	8	7	3	0	2	1	0	2	9	3	0	4	2	2					
		0.87%	0.82%	0.84%	0.36%	7.22%	1.34%	0.98%	0.0%	1.13%	0.96%	0.70%	0.90%	0.0%	0.35%	0.62%	0.0%	0.63%	1.61%	0.41%	0.0%	0.92%	1.29%	0.33%					
30	"13. ""Демократическая партия России"""	32	3	1	1	1	1	4	0	4	1	1	1	1	0	0	1	0	2	3	0	4	0	3					
		0.29%	0.27%	0.14%	0.36%	0.55%	0.67%	0.49%	0.0%	0.37%	0.12%	0.10%	0.30%	1.23%	0.0%	0.0%	0.21%	0.0%	0.35%	0.41%	0.0%	0.92%	0.0%	0.49%					
31	"14. ""Великая Россия - Евразийский Союз"""	51	1	0	2	0	2	3	0	0	2	1	0	1	0	0	1	13	1	15	1	7	0	1					
		0.47%	0.09%	0.0%	0.73%	0.0%	1.34%	0.36%	0.0%	0.0%	0.24%	0.10%	0.0%	1.23%	0.0%	0.0%	0.21%	4.11%	0.17%	2.06%	1.20%	1.62%	0.0%	0.16%					
32	"15. ""Партия СЛОН"""	13	2	0	0	0	0	1	0	3	1	0	1	0	1	0	1	0	0	0	0	2	0	1					
		0.12%	0.18%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.28%	0.12%	0.0%	0.30%	0.0%	0.17%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.16%					
33	"16. ""Родина"" (народно-патриотический союз)"""	438	61	37	6	2	8	33	8	57	65	47	6	6	12	4	16	9	14	6	5	10	4	22					
		4.07%	5.57%	5.24%	2.19%	1.11%	5.36%	4.04%	4.51%	5.40%	7.87%	4.73%	1.80%	7.40%	2.15%	2.5%	3.36%	2.84%	2.50%	0.82%	6.02%	2.31%	2.59%	3.65%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	69	5	3	3	1	1	3	3	4	4	5	1	0	4	2	6	3	4	6	3	1	1	6					
		0.64%	0.45%	0.42%	1.09%	0.55%	0.67%	0.36%	1.69%	0.37%	0.48%	0.50%	0.30%	0.0%	0.71%	1.25%	1.26%	0.94%	0.71%	0.82%	3.61%	0.23%	0.64%	0.99%					
35	"18. ""ЛДПР"""	1236	155	94	4	15	23	88	20	146	122	173	66	15	57	4	64	3	85	8	6	9	14	65					
		11.50%	14.16%	13.31%	1.46%	8.33%	15.43%	10.78%	11.29%	13.83%	14.78%	17.43%	19.87%	18.51%	10.25%	2.5%	13.44%	0.94%	15.23%	1.10%	7.22%	2.08%	9.09%	10.79%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	245	23	22	11	6	3	11	2	28	21	9	13	1	15	0	9	4	11	14	3	25	2	12					
		2.28%	2.10%	3.11%	4.02%	3.33%	2.01%	1.34%	1.12%	2.65%	2.54%	0.90%	3.91%	1.23%	2.69%	0.0%	1.89%	1.26%	1.97%	1.92%	3.61%	5.78%	1.29%	1.99%					
37	"20. ""Политическая партия ""Единая Россия"""	3268	380	257	101	65	36	146	28	274	202	227	111	32	168	28	103	137	138	445	37	111	60	182					
		30.41%	34.73%	36.40%	36.99%	36.11%	24.16%	17.89%	15.81%	25.97%	24.48%	22.88%	33.43%	39.50%	30.21%	17.5%	21.63%	43.35%	24.73%	61.21%	44.57%	25.69%	38.96%	30.23%					
38	"21. ""Российская Конституционно-демократическая партия"""	13	0	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	2	2	0	2	1	1					
		0.12%	0.0%	0.0%	0.0%	0.55%	0.0%	0.12%	0.56%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.27%	0.0%	0.46%	0.64%	0.16%					
39	"22. ""Развитие предпринимательства"""	35	1	1	3	0	3	4	0	3	1	4	1	0	1	3	2	0	3	0	1	2	0	2					
		0.32%	0.09%	0.14%	1.09%	0.0%	2.01%	0.49%	0.0%	0.28%	0.12%	0.40%	0.30%	0.0%	0.17%	1.87%	0.42%	0.0%	0.53%	0.0%	1.20%	0.46%	0.0%	0.33%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1976	169	98	71	26	20	159	7	218	170	258	33	11	60	45	104	75	112	86	7	141	26	80					
		18.39%	15.44%	13.88%	26.00%	14.44%	13.42%	19.48%	3.95%	20.66%	20.60%	26.00%	9.93%	13.58%	10.79%	28.12%	21.84%	23.73%	20.07%	11.82%	8.43%	32.63%	16.88%	13.28%					
																													
41	Против всех	393	42	37	9	3	9	27	4	35	33	29	22	6	13	4	22	13	11	3	5	26	2	38					
		3.65%	3.83%	5.24%	3.29%	1.66%	6.04%	3.30%	2.25%	3.31%	4.0%	2.92%	6.62%	7.40%	2.33%	2.5%	4.62%	4.11%	1.97%	0.41%	6.02%	6.01%	1.29%	6.31%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
