Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Сокольская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №1025									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	41187	1600	808	740	1609	1513	1747	1618	1491	1622	1396	1911	978	1618	1637	1494	1675	1516	1751	1528	1489	537	879	1952	1981	289	191	260	215	604	1180	445	283	605	732	196	398	644	55									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	41243	1600	805	734	1619	1513	1758	1620	1498	1624	1394	1918	974	1614	1635	1514	1668	1524	1718	1541	1496	538	879	1920	1983	293	190	273	216	600	1188	445	281	614	734	198	402	652	70									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12574	364	244	264	543	438	545	520	514	688	483	552	212	417	404	430	485	469	498	586	427	116	219	709	711	126	66	54	48	132	282	156	74	217	212	58	105	183	23									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1132	42	7	8	13	13	8	19	13	9	13	28	29	31	20	11	13	1	32	17	22	26	30	38	55	15	12	36	48	81	74	21	15	63	119	16	31	71	32									
6	Число погашенных избирательных бюллетеней	27537	1194	554	462	1063	1062	1205	1081	971	927	898	1338	733	1166	1211	1073	1170	1054	1188	938	1047	396	630	1173	1217	152	112	183	120	387	832	268	192	334	403	124	266	398	15									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1132	42	7	8	13	13	8	19	13	9	13	28	29	31	20	11	13	1	32	17	22	26	30	38	55	15	12	36	48	81	74	21	15	63	119	16	31	71	32									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12573	364	244	264	543	437	545	520	514	688	483	552	212	417	404	430	485	469	498	586	427	116	219	709	711	126	66	54	48	132	282	156	74	217	212	58	105	183	23									
9	Число недействительных избирательных бюллетеней	416	19	7	13	6	17	18	24	6	27	18	19	6	14	10	12	16	9	10	21	12	2	10	26	23	8	1	5	2	10	13	6	2	3	12	1	1	5	2									
10	Число действительных избирательных бюллетеней	13289	387	244	259	550	433	535	515	521	670	478	561	235	434	414	429	482	461	520	582	437	140	239	721	743	133	77	85	94	203	343	171	87	277	319	73	135	249	53									
