Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																														
Дата голосования: 04.12.2011																														
																														
Наименование Избирательной комиссии:    Сакмарская																														
																														
Сводная таблица результатов выборов																														
																														
		Сумма	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438					
1	"Число избирателей, внесенных в список избирателей"	22074	2454	1680	2614	878	1181	1174	755	429	965	341	466	1207	574	555	592	567	101	1715	419	1709	620	660	418					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22100	2470	1690	2630	870	1185	1080	745	425	920	340	470	1225	580	560	595	570	100	1810	420	1710	615	670	420					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9963	1172	880	1135	429	497	544	317	146	534	203	242	473	239	212	239	265	60	749	153	773	276	246	179					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1213	38	49	80	53	75	63	101	38	15	27	24	160	45	41	71	37	10	33	10	79	64	51	49					
6	Число погашенных избирательных бюллетеней	10924	1260	761	1415	388	613	473	327	241	371	110	204	592	296	307	285	268	30	1028	257	858	275	373	192					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1213	38	49	80	53	75	63	101	38	15	27	24	160	45	41	71	37	10	33	10	79	64	51	49					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9961	1172	880	1134	429	497	544	317	146	534	203	242	473	239	211	239	265	60	749	153	773	276	246	179					
9	Число недействительных избирательных бюллетеней	192	19	13	20	7	12	14	4	2	11	4	4	14	8	7	8	6	1	14	1	14	6	2	1					
10	Число действительных избирательных бюллетеней	10982	1191	916	1194	475	560	593	414	182	538	226	262	619	276	245	302	296	69	768	162	838	334	295	227					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	149	13	7	21	4	6	9	3	4	8	2	2	14	4	4	3	5	1	14	2	14	4	3	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	131	12	7	21	4	6	7	2	4	7	2	2	14	4	2	3	5	1	8	2	11	2	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	123	17	3	11	2	5	6	15	2	24	4	0	3	3	1	2	2	0	6	3	10	2	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	18	1	0	0	0	0	2	1	0	1	0	0	0	0	2	0	0	0	6	0	3	2	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2150	274	222	223	88	88	134	96	39	106	37	54	91	45	51	59	47	4	176	23	133	63	38	59					
		19.24%	22.64%	23.90%	18.37%	18.26%	15.38%	22.08%	22.97%	21.20%	19.31%	16.09%	20.30%	14.38%	15.85%	20.24%	19.03%	15.56%	5.71%	22.51%	14.11%	15.61%	18.53%	12.79%	25.88%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1755	211	151	206	87	101	42	29	29	72	42	42	102	40	44	49	55	10	51	26	185	68	56	57					
		15.71%	17.44%	16.25%	16.97%	18.05%	17.66%	6.92%	6.94%	15.76%	13.11%	18.26%	15.79%	16.11%	14.08%	17.46%	15.81%	18.21%	14.29%	6.52%	15.95%	21.71%	20.00%	18.86%	25.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	122	14	11	15	5	2	6	6	3	12	3	1	3	4	3	2	1	1	14	1	3	6	4	2					
		1.09%	1.16%	1.18%	1.24%	1.04%	0.35%	0.99%	1.44%	1.63%	2.19%	1.30%	0.38%	0.47%	1.41%	1.19%	0.65%	0.33%	1.43%	1.79%	0.61%	0.35%	1.76%	1.35%	0.88%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2807	287	252	357	129	130	167	83	27	101	86	47	158	71	53	54	67	13	201	54	271	87	69	43					
		25.12%	23.72%	27.13%	29.41%	26.76%	22.73%	27.51%	19.86%	14.67%	18.40%	37.39%	17.67%	24.96%	25.00%	21.03%	17.42%	22.19%	18.57%	25.70%	33.13%	31.81%	25.59%	23.23%	18.86%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	166	26	13	19	10	5	19	6	2	4	0	0	16	3	0	6	1	0	17	3	10	2	4	0					
		1.49%	2.15%	1.40%	1.57%	2.07%	0.87%	3.13%	1.44%	1.09%	0.73%	0.00%	0.00%	2.53%	1.06%	0.00%	1.94%	0.33%	0.00%	2.17%	1.84%	1.17%	0.59%	1.35%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3947	374	265	372	155	231	223	194	81	240	56	118	246	112	93	132	125	41	307	55	235	104	123	65					
		35.32%	30.91%	28.53%	30.64%	32.16%	40.38%	36.74%	46.41%	44.02%	43.72%	24.35%	44.36%	38.86%	39.44%	36.90%	42.58%	41.39%	58.57%	39.26%	33.74%	27.58%	30.59%	41.41%	28.51%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	35	5	2	2	1	3	2	0	1	3	2	0	3	1	1	0	0	0	2	0	1	4	1	1					
		0.31%	0.41%	0.22%	0.16%	0.21%	0.52%	0.33%	0.00%	0.54%	0.55%	0.87%	0.00%	0.47%	0.35%	0.40%	0.00%	0.00%	0.00%	0.26%	0.00%	0.12%	1.18%	0.34%	0.44%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
