Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
"Наименование Избирательной комиссии:    Сочи, Хостинская"																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №4501	УИК №4502	УИК №4503	УИК №4504	УИК №4505	УИК №4506	УИК №4507	УИК №4508	УИК №4509	УИК №4510	УИК №4511	УИК №4512	УИК №4513	УИК №4514	УИК №4515	УИК №4516	УИК №4517	УИК №4518	УИК №4519	УИК №4520	УИК №4521	УИК №4522	УИК №4523	УИК №4524	УИК №4525	УИК №4526	УИК №4527	УИК №4528	УИК №4529	УИК №4530	УИК №4531	УИК №4532	УИК №4533	УИК №4534	УИК №4535	УИК №4536	УИК №4537	УИК №4538	УИК №4539									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	65701	2315	1796	2620	2518	1187	2363	1347	1897	1704	1552	2284	1945	2711	2342	1971	1395	1013	1744	2000	1458	2869	1042	1130	2688	926	455	1671	1463	1416	736	2455	1598	1242	428	2440	1043	1229	1810	898									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	62100	2200	1750	2500	2400	1200	2250	1300	1750	1600	1450	2150	1800	2650	2250	1900	1350	900	1650	1800	1350	2800	950	1100	2500	650	400	1550	1500	1350	650	2350	1500	1150	400	2300	1000	1150	1750	850									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31735	1879	1387	2372	1299	579	711	722	870	558	710	1443	744	1039	1116	776	724	801	901	714	478	1358	335	440	902	509	142	603	765	578	355	923	630	552	372	1225	857	418	611	337									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1755	100	17	65	232	69	76	87	136	20	55	49	70	71	34	27	8	22	63	19	45	179	11	33	50	19	7	28	18	6	36	19	0	31	6	2	3	12	18	12									
6	Число погашенных избирательных бюллетеней	28610	221	346	63	869	552	1463	491	744	1022	685	658	986	1540	1100	1097	618	77	686	1067	827	1263	604	627	1548	122	251	919	717	766	259	1408	870	567	22	1073	140	720	1121	501									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1755	100	17	65	232	69	76	87	136	20	55	49	70	71	34	27	8	22	63	19	45	179	11	33	50	19	7	28	18	6	36	19	0	31	6	2	3	12	18	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31672	1879	1387	2372	1299	579	711	722	864	558	710	1443	743	1039	1116	776	721	801	901	714	478	1358	335	440	852	509	142	603	765	578	355	923	630	552	372	1225	854	418	611	337									
9	Число недействительных избирательных бюллетеней	571	13	38	11	16	14	18	20	0	17	6	55	11	15	20	22	6	6	7	10	5	26	7	10	12	9	1	14	26	5	4	26	39	10	1	33	6	6	15	11									
10	Число действительных избирательных бюллетеней	32856	1966	1366	2426	1515	634	769	789	1000	561	759	1437	802	1095	1130	781	723	817	957	723	518	1511	339	463	890	519	148	617	757	579	387	916	591	573	377	1194	851	424	614	338									
