Выборы Президента Российской Федерации																					
																					
Наименование Избирательной комиссии:    Баксанская городская																					
																					
Итоги голосования 																					
																					
		Сумма	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39					
1	"Число избирателей, внесенных в список"	29985	2662	1250	2834	1790	1566	1869	1994	2430	2681	2274	2743	2190	2170	1532					
2	Число полученных избирательных бюллетеней	30062	2660	1256	2848	1799	1569	1873	1999	2434	2679	2274	2757	2201	2181	1532					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	29855	2654	1242	2825	1778	1562	1861	1988	2426	2673	2271	2732	2178	2166	1499					
5	"Число избирательных бюллетеней, выданных вне помещения"	72	5	7	0	9	0	0	0	2	0	0	8	10	0	31					
6	Число погашенных избирательных бюллетеней	135	1	7	23	12	7	12	11	6	6	3	17	13	15	2					
7	Число избирательных бюллетеней в переносных ящиках	72	5	7	0	9	0	0	0	2	0	0	8	10	0	31					
8	Число бюллетеней в стационарных ящиках для голосования	29855	2654	1242	2825	1778	1562	1861	1988	2426	2673	2271	2732	2178	2166	1499					
9	Число недействительных избирательных бюллетеней	65	2	24	6	7	5	2	6	1	9	0	3	0	0	0					
10	Число действительных избирательных бюллетеней	29862	2657	1225	2819	1780	1557	1859	1982	2427	2664	2271	2737	2188	2166	1530					
11	Число полученных открепительных  удостоверений	249	18	18	18	18	18	18	18	18	18	17	17	17	18	18					
12	Число выданных открепительных удостоверений	34	8	0	6	1	4	2	3	0	2	0	4	2	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	215	10	18	12	17	14	16	15	18	16	17	13	15	16	18					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																					
18	. Глазьев Сергей Юрьевич	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	29819	2655	1222	2819	1773	1553	1857	1980	2425	2656	2269	2732	2186	2164	1528					
		99.64%	99.85%	97.84%	99.79%	99.22%	99.42%	99.79%	99.60%	99.88%	99.36%	99.91%	99.71%	99.91%	99.91%	99.87%					
22	. Хакамада Ирина Муцуовна	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	5	0	3	0	0	0	0	0	0	0	0	0	0	2	0					
		0.02%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%					
																					
24	Против всех	38	2	0	0	7	4	2	2	2	8	2	5	2	0	2					
		0.13%	0.08%	0.00%	0.00%	0.39%	0.26%	0.11%	0.10%	0.08%	0.30%	0.09%	0.18%	0.09%	0.00%	0.13%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
