Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Сабинская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №2460	УИК №2461	УИК №2462	УИК №2463	УИК №2464	УИК №2465	УИК №2466	УИК №2467	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №2472	УИК №2473	УИК №2474	УИК №2475	УИК №2476	УИК №2477	УИК №2478	УИК №2479	УИК №2480	УИК №2481	УИК №2482	УИК №2483	УИК №2484	УИК №2485	УИК №2486	УИК №2487	УИК №2488	УИК №2489	УИК №2490	УИК №2491	УИК №2492	УИК №2493	УИК №2494	УИК №2495	УИК №2496	УИК №2497	УИК №2498	УИК №2499									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24466	588	540	207	431	611	219	442	542	414	395	397	467	434	216	346	211	866	362	506	263	308	261	1279	1351	1282	1342	1324	538	167	679	608	352	213	635	1231	1082	1143	1422	190	602									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24750	592	547	211	436	614	222	451	550	419	397	399	472	439	216	353	211	872	368	517	270	311	265	1294	1365	1291	1355	1340	541	167	682	616	356	215	645	1250	1102	1156	1445	193	605									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22857	529	482	197	406	553	170	371	465	394	375	390	463	397	204	280	172	772	361	494	262	242	231	1230	1322	1224	1290	1284	533	149	498	594	337	200	572	1163	1032	1096	1353	178	592									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1137	56	53	9	23	52	48	68	73	16	16	3	1	33	11	63	37	90	0	10	0	62	30	13	4	20	7	3	2	16	177	12	12	10	58	15	11	2	10	5	6									
6	Число погашенных избирательных бюллетеней	756	7	12	5	7	9	4	12	12	9	6	6	8	9	1	10	2	10	7	13	8	7	4	51	39	47	58	53	6	2	7	10	7	5	15	72	59	58	82	10	7									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1136	56	53	9	23	52	48	68	73	16	16	3	1	33	11	63	37	90	0	10	0	62	30	13	4	20	7	3	2	15	177	12	12	10	58	15	11	2	10	5	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22857	529	482	197	406	553	170	371	465	394	375	390	463	397	204	280	172	772	361	494	262	242	231	1230	1322	1224	1290	1284	533	149	498	594	337	200	572	1163	1032	1096	1353	178	592									
9	Число недействительных избирательных бюллетеней	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	23984	585	535	206	429	605	218	439	538	410	391	393	464	430	215	343	209	862	361	504	262	302	261	1243	1326	1244	1297	1287	535	164	674	606	349	210	630	1172	1043	1098	1363	183	598									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	404	6	12	8	10	10	3	5	9	5	5	5	6	5	3	4	3	10	5	11	4	9	4	30	15	20	30	25	6	3	7	12	4	3	7	25	15	15	35	3	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	287	3	10	4	6	9	3	3	9	5	0	2	3	2	1	4	2	4	5	11	2	7	2	28	15	16	20	18	3	0	6	12	2	0	7	14	15	7	18	2	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	19	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	6	0	0	2	0	2	0	1	1	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	117	3	2	4	4	1	0	2	0	0	5	3	3	3	2	0	1	6	0	0	2	2	2	2	0	4	10	7	3	3	1	0	2	3	0	11	0	8	17	1	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	5	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	34	0	1	0	0	1	0	0	1	0	0	2	2	1	0	0	0	1	0	0	0	0	0	3	3	4	1	0	0	0	1	1	0	0	0	3	3	3	3	0	0									
		0.14%	0.00%	0.19%	0.00%	0.00%	0.17%	0.00%	0.00%	0.19%	0.00%	0.00%	0.51%	0.43%	0.23%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.23%	0.32%	0.08%	0.00%	0.00%	0.00%	0.15%	0.17%	0.00%	0.00%	0.00%	0.25%	0.29%	0.27%	0.22%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	109	2	3	0	0	4	0	4	2	0	0	2	1	0	4	1	2	3	2	0	0	1	0	2	5	12	9	0	0	1	2	0	6	7	2	6	7	7	12	0	0									
		0.45%	0.34%	0.56%	0.00%	0.00%	0.66%	0.00%	0.91%	0.37%	0.00%	0.00%	0.51%	0.22%	0.00%	1.86%	0.29%	0.96%	0.35%	0.55%	0.00%	0.00%	0.33%	0.00%	0.16%	0.38%	0.96%	0.69%	0.00%	0.00%	0.61%	0.30%	0.00%	1.72%	3.33%	0.32%	0.51%	0.67%	0.64%	0.88%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	69	1	3	0	0	0	0	0	0	0	0	1	2	0	4	2	0	1	1	0	0	0	1	3	3	7	2	10	0	0	3	0	0	0	0	5	5	6	9	0	0									
