Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Курская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	36060	1382	1485	1872	1873	1305	1133	566	172	245	1600	1700	682	1090	2647	1663	1338	705	1853	1347	689	884	993	1107	2020	450	222	1081	534	736	1233	136	228	1089									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27700	1000	1100	1300	1400	1000	1000	400	150	200	1200	1200	500	800	1900	1100	1000	650	1700	1200	600	800	900	800	1500	400	150	800	400	550	900	100	200	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12798	436	416	562	643	439	344	253	35	103	508	560	307	451	975	461	482	364	949	818	256	309	331	550	691	106	83	292	189	159	321	76	85	244									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1580	57	69	105	26	18	58	10	25	14	45	89	16	19	37	22	46	76	103	58	44	50	78	70	49	16	18	96	15	60	44	0	38	109									
6	Число погашенных избирательных бюллетеней	13322	507	615	633	731	543	598	137	90	83	647	551	177	330	888	617	472	210	648	324	300	441	491	180	760	278	49	412	196	331	535	24	77	447									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1580	57	69	105	26	18	58	10	25	14	45	89	16	19	37	22	46	76	103	58	44	50	78	70	49	16	18	96	15	60	44	0	38	109									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12798	436	416	562	643	439	344	253	35	103	508	560	307	451	975	461	482	364	949	818	256	309	331	550	691	106	83	292	189	159	321	76	85	244									
9	Число недействительных избирательных бюллетеней	465	20	19	29	26	22	19	7	5	1	41	35	33	43	8	26	12	5	11	21	12	10	3	11	5	4	0	0	11	8	7	0	0	11									
10	Число действительных избирательных бюллетеней	13913	473	466	638	643	435	383	256	55	116	512	614	290	427	1004	457	516	435	1041	855	288	349	406	609	735	118	101	388	193	211	358	76	123	342									
